Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Existing_Cap_MWh,Max_Cap_MW,Max_Cap_MWh,Min_Cap_MW,Min_Cap_MWh,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,LDS,region,cluster
CNQ_BATTERY,1,1,1,1,52,104,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,CNQ,1
GG_BATTERY,2,1,1,1,0,0,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,GG,1
SQ_BATTERY,3,1,1,1,200,350,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,SQ,1
NNSW_BATTERY,4,1,1,1,0,0,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,NNSW,2
CNSW_BATTERY,5,1,1,1,0,0,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,CNSW,2
SNW_BATTERY,6,1,1,1,50,75,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,SNW,2
SNSW_BATTERY,7,1,1,1,310.32,570,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,SNSW,2
VIC_BATTERY,8,1,1,1,580.4,736,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,VIC,3
SA_BATTERY,9,1,1,1,512.43,604.08,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,SA,4
TAS_BATTERY,10,1,1,1,0,0,-1,-1,0,0,122710.8035,61355.40173,10800,5400,0,0,0.000002,0.92,0.92,1,2,0.9,0.9,0,0,0,TAS,5
CNQ_PH,1,1,1,1,0,0,7350,148000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,CNQ,1
GG_PH,2,1,1,1,0,0,0,0,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,GG,1
SQ_PH,3,1,1,1,570,6000,2000,28000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,SQ,1
NNSW_PH,4,1,1,1,0,0,2250,46000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,NNSW,2
CNSW_PH,5,1,1,1,0,0,2000,23000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,CNSW,2
SNW_PH,6,1,1,1,0,0,0,0,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,SNW,2
SNSW_PH,7,1,1,1,250,9680,1100,18000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,SNSW,2
VIC_PH,8,1,1,1,0,0,3800,57000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,VIC,3
SA_PH,9,1,1,1,0,0,900,10000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,SA,4
TAS_PH,10,1,1,1,0,0,0,0,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,1,TAS,5
CNQ_PH_NEW,1,1,0,0,0,0,250,2000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,0,CNQ,1
SNSW_PH_SNOWY,7,1,0,0,0,0,2040,342720,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,200,0.9,0.9,0,0,0,SNSW,2
TAS_PH_NEW,10,1,0,0,0,0,2750,63000,0,0,316411.0729,13183.79471,19090,795.4166667,0,0.208333333,0.0001,0.85,0.85,8,48,0.9,0.9,0,0,0,TAS,5
