Time_Index,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ3_WIND,CNQ_WQ4_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNSW_WACT_WIND,SNW_WN9_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63263,0.454348,0.270243,0.336613,0.368783,0.446007,0.138245,0.359372,0.279033,0.007941,0.780795,0.801186,0.256811,0.382276,0.821631,0.650367,0.669837,0.300334,0.854741,0.46335
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65679,0.49112,0.296946,0.377941,0.445386,0.523092,0.152297,0.47116,0.320643,0.008243,0.775201,0.768974,0.095833,0.205122,0.804326,0.739276,0.778752,0.104115,0.839711,0.339606
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662402,0.498201,0.261246,0.382428,0.49604,0.522689,0.10634,0.498987,0.412287,0.00277,0.771456,0.719887,0.002562,0.105864,0.784769,0.760177,0.870789,0.003473,0.853938,0.31939
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.655438,0.469175,0.259538,0.441925,0.452269,0.475936,0.055389,0.525753,0.288335,0.005822,0.764795,0.735486,0.007961,0.053653,0.781012,0.795882,0.846623,0,0.832898,0.392212
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.623478,0.428752,0.286234,0.47789,0.416611,0.382546,0.077949,0.503028,0.228868,0.008896,0.722863,0.739656,0.011113,0.072178,0.66265,0.862083,0.823147,0.009681,0.837624,0.35891
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5945,0.466548,0.288107,0.517548,0.408116,0.368001,0.065878,0.416389,0.28424,0.01209,0.717081,0.660798,0.027883,0.087748,0.701777,0.84574,0.778689,0.020237,0.849709,0.388854
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,1.85E-04,0.002284,0,0,0,0,0,0,0,0,0,0,0,0,0.583515,0.380349,0.252226,0.517316,0.38525,0.268968,0.041649,0.385148,0.145442,0.017854,0.705209,0.605126,0.026355,0.082204,0.704012,0.849306,0.774135,0.02007,0.851684,0.444583
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.232899,0.34605,0.218417,0.176016,0.166831,0.236613,0.292501,0.34923,0.094444,0.013992,0.105719,0.002371,0.004717,0,0,0,0,0.578635,0.372519,0.294621,0.420604,0.331839,0.192306,0.024829,0.268509,0.175219,0.008219,0.753001,0.686722,0.006927,0.025517,0.798371,0.837178,0.868813,0.03921,0.849371,0.524944
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.765997,0.744638,0.405074,0.300748,0.515107,0.465262,0.71278,0.681057,0.658953,0.349938,0.316036,0.332316,0.073828,0.29586,0.334631,0.285327,0.065084,0.698813,0.24899,0.163342,0.409791,0.283891,0.041784,0.007774,0.215241,0.117492,0.009935,0.701627,0.766696,0.004951,0.019628,0.87042,0.81686,0.874108,0.080708,0.80762,0.628605
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.798368,0.769294,0.562854,0.454145,0.553363,0.55838,0.592963,0.671602,0.615324,0.590063,0.362032,0.676305,0.336066,0.397103,0.731661,0.696655,0.091878,0.711921,0.310407,0.184811,0.432057,0.260818,0.019662,0.002433,0.094177,0.081978,0.001281,0.760539,0.731264,0.015605,0.006353,0.789802,0.830854,0.808455,0.068269,0.843712,0.665853
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.790783,0.759992,0.462977,0.462989,0.50272,0.532274,0.51034,0.487256,0.63852,0.623344,0.529123,0.623598,0.47512,0.503177,0.696859,0.668366,0.104668,0.591825,0.316276,0.23829,0.456797,0.243559,0.005364,0.010934,0.077637,0.19003,0.001527,0.748127,0.81181,0.006809,0.004208,0.632537,0.670131,0.735533,0.060067,0.843654,0.723918
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.758765,0.762504,0.345986,0.459975,0.346656,0.531615,0.573111,0.524358,0.587131,0.567244,0.587248,0.544305,0.491032,0.585988,0.666697,0.600445,0.174073,0.551406,0.315395,0.28266,0.463323,0.264071,0.000315,0.009371,0.060448,0.255197,0.003334,0.782629,0.892938,0.002388,0.037009,0.559036,0.719377,0.680072,0.164151,0.901362,0.831293
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.747969,0.757674,0.382384,0.345403,0.13117,0.512705,0.574592,0.497327,0.596806,0.550899,0.583628,0.545436,0.475792,0.487302,0.628206,0.444158,0.166757,0.558338,0.304824,0.290565,0.437758,0.254976,0.000347,0.009636,0.057719,0.318606,0.005196,0.759199,0.848711,0.005332,0.100411,0.575523,0.749104,0.506422,0.214999,0.90911,0.854931
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.749645,0.579445,0.202654,0.259823,0.075039,0.356928,0.51958,0.649507,0.640011,0.532435,0.6368,0.479131,0.402668,0.582403,0.636346,0.54057,0.078992,0.597867,0.293627,0.287602,0.49305,0.252351,0.00016,0.016675,0.052589,0.320227,0.011367,0.712755,0.815185,0.03682,0.077256,0.513273,0.709369,0.385291,0.192198,0.887831,0.762948
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.692024,0.472745,0.178112,0.109333,0.091599,0.226648,0.619374,0.600753,0.644261,0.471203,0.668366,0.188702,0.235892,0.635858,0.671738,0.548855,0.032481,0.458175,0.290856,0.290391,0.498938,0.264357,0.000391,0.010816,0.044233,0.149452,0.00272,0.682497,0.751338,0.163818,0.093057,0.369689,0.587803,0.29074,0.098262,0.903101,0.779805
16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.633929,0.149737,0.080338,0.062787,0.071298,0.124373,0.366366,0.287766,0.362782,0.470427,0.351122,0.439161,0.107599,0.657087,0.698947,0.608394,0.022685,0.516847,0.286223,0.276326,0.485799,0.247594,0.002096,0.021288,0.041293,0.12099,0.001838,0.658459,0.752729,0.381832,0.155955,0.234326,0.431717,0.222974,0.056876,0.904694,0.793273
17,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.340442,0.083195,0.052737,0.025506,0.011901,0.031778,0.047254,0.039138,0.048823,0.061967,0.01956,0.07605,0.00663,0.310968,0.363237,0.283035,0.001279,0.528727,0.271668,0.230378,0.500754,0.254495,0.006686,0.031806,0.085325,0.091367,0.000535,0.633246,0.710722,0.357975,0.171258,0.302381,0.332103,0.188362,0.044766,0.890483,0.808949
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.012777,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029533,0.002408,0,0.581574,0.280791,0.255511,0.567255,0.250048,0.005732,0.022649,0.160909,0.350413,0.001408,0.601736,0.750485,0.323588,0.270261,0.403105,0.385458,0.190931,0.100962,0.838204,0.802291
19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663239,0.339982,0.28982,0.618685,0.282712,0.034575,0.010426,0.28526,0.34468,0.001068,0.577278,0.728975,0.374509,0.340753,0.518742,0.430914,0.208378,0.147097,0.770181,0.823444
20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62897,0.382305,0.327273,0.591079,0.276087,0.082525,0.0234,0.16058,0.569667,0.001173,0.608076,0.743429,0.425503,0.53064,0.605308,0.561491,0.280466,0.10378,0.555403,0.50249
21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568236,0.395652,0.435114,0.584249,0.289168,0.102466,0.002779,0.231277,0.721535,0.01266,0.57448,0.749574,0.25057,0.628106,0.531933,0.518154,0.256511,0.196757,0.640879,0.649747
22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579334,0.380021,0.524102,0.607032,0.286489,0.180025,0.005056,0.242954,0.755121,0.015233,0.487046,0.692939,0.180646,0.502145,0.546605,0.483401,0.288925,0.190039,0.587125,0.720568
23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.555552,0.3539,0.444838,0.500907,0.26217,0.180362,0.009777,0.27918,0.611265,0.015004,0.364448,0.560324,0.180442,0.49528,0.420438,0.374705,0.229761,0.202143,0.523289,0.678151
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.536318,0.318964,0.34063,0.390296,0.239304,0.17042,0.023814,0.305117,0.456206,0.011858,0.24851,0.418635,0.211763,0.466704,0.300626,0.281528,0.175177,0.186946,0.437778,0.591178
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513396,0.278325,0.208856,0.272189,0.222634,0.145836,0.044923,0.33063,0.320218,0.007544,0.148701,0.286874,0.262678,0.448609,0.177758,0.200712,0.118908,0.158001,0.342597,0.48615
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509424,0.235098,0.070107,0.158919,0.209703,0.098531,0.079271,0.354911,0.219652,0.005956,0.072449,0.155813,0.32141,0.43352,0.061771,0.130056,0.061481,0.123463,0.256612,0.376919
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47577,0.206792,0.006436,0.097404,0.209099,0.058447,0.097642,0.367024,0.151893,0.008112,0.029621,0.073861,0.366025,0.442254,0.002505,0.082232,0.030296,0.071109,0.184958,0.281281
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.511743,0.200619,0.002231,0.098059,0.251214,0.073986,0.161729,0.376666,0.520711,0.019128,0.04625,0.057912,0.335864,0.297998,0.001032,0.094262,0.054373,0.041196,0.177701,0.338247
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525789,0.186259,0.02095,0.097029,0.253678,0.121023,0.26601,0.454222,0.738548,0.091859,0.050742,0.034405,0.297439,0.296938,0.003602,0.098922,0.081921,0.012548,0.194333,0.354701
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513998,0.165945,0.027493,0.132263,0.281391,0.22489,0.35916,0.482451,0.864957,0.10499,0.067319,0.021765,0.258254,0.187758,0.004393,0.110752,0.107686,0.015509,0.206714,0.358435
