Time_Index,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
1,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543451,0.334373,0.055252,0.049686,0.032404,0.049466,0.055727,0.150251,0.355894,0.385275,0.114932,0.185726,0.685926,0.919328,0.021046,0.062286,0.008846,0.164326,0.569326,0.727905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620466,0.336556,0.058356,0.043667,0.026085,0.024545,0.041839,0.13859,0.324946,0.37548,0.120652,0.191414,0.671841,0.951069,0.028607,0.032135,0.003883,0.122874,0.579092,0.695593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.595038,0.301271,0.059395,0.055601,0.035808,0.014701,0.020132,0.146629,0.258846,0.453957,0.115899,0.195965,0.669194,0.900801,0.027163,0.016855,0.003009,0.082015,0.494637,0.675885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.612535,0.3171,0.052971,0.069856,0.039461,0.011451,0.013431,0.144247,0.235109,0.529533,0.122772,0.195166,0.675868,0.923699,0.0178,0.013718,0.013436,0.0639,0.501866,0.605037,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.610799,0.298239,0.071555,0.082571,0.03393,0.026115,0.011088,0.111934,0.257864,0.493118,0.133318,0.159364,0.630619,0.911872,0.013101,0.011804,0.010853,0.024614,0.472779,0.476715,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.587589,0.366248,0.090125,0.065086,0.055147,0.040594,0.021405,0.114496,0.253834,0.489433,0.117988,0.180402,0.571147,0.880254,0.02345,0.014906,0.013994,0.01114,0.538543,0.43065,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.00457,0.023901,0.051146,0.073254,0.049457,0.003902,0.031539,0.000249,0.0,0.004255,0.0,0.0,0.0,0.0,0.0,0.0,0.610352,0.363751,0.11428,0.071431,0.079171,0.036247,0.020607,0.079422,0.242278,0.468751,0.10369,0.171913,0.504341,0.719376,0.01477,0.029991,0.015265,0.007199,0.525546,0.444599,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.373452,0.399583,0.434112,0.446385,0.389287,0.42546,0.414038,0.425971,0.374208,0.085153,0.386136,0.077688,0.084597,0.044157,0.026761,0.036647,0.083746,0.568128,0.238092,0.17119,0.076881,0.083364,0.036508,0.025684,0.064754,0.264405,0.37717,0.034935,0.148997,0.427685,0.524424,0.034804,0.050442,0.037268,0.009968,0.350679,0.308201,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.854969,0.833722,0.884027,0.87332,0.843537,0.831042,0.831151,0.83181,0.741881,0.468333,0.825582,0.163164,0.745939,0.406161,0.410192,0.396235,0.360299,0.605319,0.18846,0.094309,0.026922,0.027781,0.002644,0.028781,0.014384,0.149753,0.236751,0.016541,0.068072,0.422048,0.379832,0.032221,0.035937,0.034163,0.005053,0.380707,0.259222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.711922629,0.0,0.0,0.0,0.218226962,0.0,0.218226962,0.090728354,0.0,0.893533856,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.890267,0.891789,0.90224,0.876814,0.707426,0.83443,0.836447,0.845516,0.805548,0.504675,0.821524,0.260432,0.758477,0.795882,0.84453,0.808078,0.546284,0.668781,0.248492,0.195301,0.132655,0.051981,0.003097,0.070202,0.033103,0.160286,0.21066,0.018946,0.063011,0.516216,0.378219,0.007956,0.016894,0.013763,0.00218,0.40233,0.422355,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
