Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
CNQ_RS,1,163.4,163.4,163.4,163.4
GG_RS,2,0.0,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0,0.0
NNSW_RS,4,32.97,32.97,32.97,0.0
CNSW_RS,5,48.0,48.0,48.0,48.0
SNW_RS,6,0.0,0.0,0.0,0.0
SNSW_RS,7,2342.0,2342.0,2342.0,2342.0
VIC_RS,8,2292.23,2292.23,2292.23,2292.23
SA_RS,9,0.0,0.0,0.0,0.0
TAS_RS,10,2294.2,2294.2,2294.2,2294.2
CNQ_COAL,1,3060.0,3060.0,0.0,0.0
GG_COAL,2,1850.0,1850.0,0.0,0.0
SQ_COAL,3,3292.0,3292.0,0.0,0.0
CNSW_COAL,5,4040.0,4040.0,0.0,0.0
SNW_COAL,6,4200.0,4200.0,0.0,0.0
VIC_COAL,8,4630.0,146.92011254414794,0.0,0.0
CNQ_CCGT,1,244.0,244.0,780.0299284193749,1114.539559561713
GG_CCGT,2,180.0,180.0,1077.8525809586615,1077.8525809586615
SQ_CCGT,3,1100.0,1100.0,1815.4143714014185,1815.4143714014185
NNSW_CCGT,4,0.0,274.0061765973918,412.9791954321025,413.5021073887554
CNSW_CCGT,5,0.0,0.0,1227.077933434118,1227.077933434118
SNW_CCGT,6,501.7699999999999,501.7699999999999,2390.8081772846067,2390.8081772846067
SNSW_CCGT,7,0.0,530.4506748407758,530.4506748407758,530.4506748407758
VIC_CCGT,8,21.0,3532.7997254573143,3532.7997254573143,3532.7997254573143
SA_CCGT,9,713.4,1420.5509735541814,1420.5509735541814,1420.5509735541814
TAS_CCGT,10,208.0,728.3505139521437,728.3505139521437,728.3505139521437
CNQ_OCGT,1,120.0,120.0,2633.5367941322584,6581.373379191919
GG_OCGT,2,0.0,0.0,7663.673599505688,7663.673599505688
SQ_OCGT,3,1600.0,1600.0,1600.0,1600.0
NNSW_OCGT,4,16.0,16.0,16.0,16.0
CNSW_OCGT,5,12.0,2583.1349297727247,2583.1349297727247,2583.1349297727247
SNW_OCGT,6,1270.0,1270.0,1270.0,1270.0
SNSW_OCGT,7,692.0,692.0,692.0,692.0
VIC_OCGT,8,2400.0,2400.0,2400.0,2400.0
SA_OCGT,9,2000.0,2000.0,2000.0,2000.0
TAS_OCGT,10,178.0,450.2155704062687,2333.391763295798,2333.391763295798
CNQ_BIO,1,270.0,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,24.11284089,1911.7040344829697,5210.56913117341,8000.0
CNQ_SQ3_SOLAR,1,916.1614677,916.1614677,1028.499478339448,3400.0000000000005
CNQ_SQ4_SOLAR,1,423.0383483,423.0383483,423.0383483,423.0383483
GG_SQ6_SOLAR,2,113.8374463,113.8374463,174.9018349623922,174.9018349623922
SQ_SQ7_SOLAR,3,427.9138106,427.9138106,807.6461555153252,2438.576983095217
SQ_SQ8_SOLAR,3,1694.936086,1694.936086,2870.1825804050964,2870.1825804050964
NNSW_SN1_SOLAR,4,494.8402631,494.8402631,6000.0,6000.0
NNSW_SN2_SOLAR,4,710.3859735,710.3859735,710.3859735,7000.0
CNSW_SN3_SOLAR,5,1004.9239489999999,1004.9239489999999,4024.1045502939814,6850.0
SNSW_SN5_SOLAR,7,1389.47513,1389.47513,1705.996337043719,3200.0
SNW_SN9_SOLAR,6,0.0,0.0,1000.0,1000.0
VIC_SV2_SOLAR,8,696.51,731.2737992388838,4700.0,4700.0
VIC_SV6_SOLAR,8,400.59,400.59,1411.674131828977,2000.0
SA_SS3_SOLAR,9,0.0,0.0,0.0,4000.0
SA_SS7_SOLAR,9,175.0,700.0,700.0,700.0
SA_SS5_SOLAR,9,175.0,211.54313384320437,3000.0,3000.0
TAS_ST2_SOLAR,10,0.0,0.0,0.0,500.0
CNQ_WQ1_WIND,1,180.52,1400.0,1400.0,1400.0
CNQ_WQ2_WIND,1,212.0,809.4764139636973,6000.0,6000.0
