Resource,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO
t1,5043.168696774255,661.7388250362203,404.0248181406238,0.0,25846.143774012216,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,5488.58493048133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,5674.145336443648,0.0,0.0,0.0,31472.770333188542,1314.1084046175708,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,6118.559140368683,0.0,13220.356900318455,0.0,19196.288462433455,0.0,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,6731.279578393008,0.0,15536.882199325257,0.0,17982.840713809655,0.0,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,7100.71419625001,14293.930906527574,0.0,21638.4,0.0,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,7278.574509174433,0.0,18049.808477707797,0.0,38640.0,1337.2668643768307,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,4456.6432851196405,0.0,26652.032,13381.343427255759,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,10759.808398322695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,588.6500442828689,0.0,13326.016,0.0,30378.471860368078,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,16634.403737932567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,22976.879951019997,1807.1173842930198,0.0,0.0,457.80883510304085,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,10798.033428359144,1807.1173842930198,0.0,0.0,0.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,396.14530535989695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,5962.637725176859,826.4569247240258,0.0,0.0,0.0,824.0734245113316,0.0,3863.6289999999995,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,1337.2668643768307,0.0,0.0,0.0,104.0264435365923,0.0,3581.308336828547,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2103089183234346,0.0,0.0,4084.4701962739737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,1337.2668643768307,0.0,0.0,958.3012112746088,2109.847559799917,0.0,3742.6795190240523,3701.1843290870884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,7249.647784809587,1807.1173842930198,0.0,125.70186377866041,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,8961.819970444098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,888.5432140523441,13326.016,16353.919999999998,24251.247784809584,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,23956.609075108347,3313.625902304992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,9402.370688528837,0.0,19127.535895761248,30933.932403944676,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,10646.840033701495,0.0,28752.47198919054,25733.071221245315,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,11398.449885443935,0.0,27258.701595435003,9379.151221245314,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,1908.7135915241913,7488.8,23516.558098176214,24460.194366219654,35216.200463769754,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,8348.820361804574,1228.6870190551085,21153.790893036403,8106.274366219654,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,8717.48701905511,7827.7748930364005,15588.023322259916,38640.0,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,8297.37796608784,12731.8246253583,0.0,32008.571942258277,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,9044.134610777113,9400.455967300324,0.0,30035.558809179707,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,23195.780080705077,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,8076.8137496050385,9686.791777893066,0.0,26003.67653000138,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4024.920492941228,21939.435730022324,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,8952.490090931195,10786.587167787773,0.0,19835.433440822442,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,3843.4575179000017,22047.35130943506,10541.53264251316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,5787.199781032685,2347.335719320537,12105.24490277105,0.0,17673.53061929383,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,0.0,26402.90215115563,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,9836.135719320537,13435.686231356513,0.0,15498.500470365958,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,25472.668482282024,10079.84852363796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,9893.699829706231,15318.209623892288,0.0,17186.16424994773,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,11871.914966021239,19710.192209991055,0.0,29261.940986562233,1807.1173842930198,1878.8,1386.0,8470.0,2109.847559799917,0.0,3863.6289999999995,4084.4701962739737,27202.55788602132,10938.242496367197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
