Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,Total
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10,0
AnnualSum,780274.0181483496,0.0,0.0,0.0,78192.47911114364,0.0,3.8112518857006356e6,943755.160097963,0.0,7.631844609105998e6,2.4654927689537616e6,1.7767367741921828e6,3.578641751809265e6,1.7567083366047202e6,9.71987382029039e6,958104.5136229035,1.2535455328354e6,965889.8822956141,5.721920077349015e6,1.494596219306719e6,0.0,2.650679583914543e6,2.924587359984885e6,1.6043594310589012e7,5.2762236849529445e6,3.394075846791592e6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102654.98532785932,81066.14038954902,13974.07194603567,0.0,5.210850918820125e6,2.514958185257563e6,873743.9570361066,267676.2879832918,767135.0356854568,3.964239996219687e6,1.1995565544021435e6,1.4759365390078146e6,2.416132683006613e6,2.9725077122631334e6,0.0,1.7488881380146088e6,922693.9635054094,0.0,1.7605777792462686e6,483890.350867189,0.0,5.120480571440865e6,1.8198867781982787e6,0.0,0.0,0.0,1.216130940613815e7,3.7065068968478777e6,1.6169599898987094e7,3.1579599062775983e6,1.0014599609129086e7,6.519472243075257e6,5.872660961261097e6,568797.9274692888,0.0,1.01787332282039e6,4.341584110568968e6,1.2699966751755953e6,584800.970663228,1.5440352960092123e6,2.1456221083190087e6,60367.38560345832,0.0,210552.7182189092,0.0,0.0,42205.496719529205,278464.2252919552,483012.23686124856,423454.2709777627,0.0,0.0,0.0,758833.140181481,0.0,0.0,0.0,303187.7507179775,0.0,0.0,0.0,0.0,0.0,0.0,1.785777358215892e8
t1,116.32815757860001,0.0,0.0,0.0,20.949788351999995,0.0,884.4605646490415,0.0,0.0,1257.2493150537816,548.1705105189409,71.9281331561109,43.915741102241725,0.0,2809.3634536969803,146.92011254414794,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,712.803237724848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,975.6753999999999,320.0613077463482,0.0,0.0,0.0,1430.8960998977582,9.192877903555145,21.458619632018948,316.86446781805415,868.641,1865.1976799999998,1797.0839999999998,74.64337920514221,0.0,335.17460033886476,1021.3987716177568,458.9645175667189,124.85608800000001,283.0476,476.6344427806193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,20642.106718321695
t2,163.4,0.0,0.0,0.0,0.0,0.0,89.6128176490244,0.0,0.0,1292.3326409560937,616.7549278743096,0.0,0.0,0.0,3420.9532970857117,106.83808167622527,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.5481999999998,284.8701301256904,0.0,0.0,0.0,830.7613092825795,13.884822280491669,21.3908555700231,385.28264728376774,1621.1039999999998,1895.37028,1813.824,74.60833573074724,0.0,326.97253228172394,1249.858765243296,463.92887088478983,114.143736,256.93735680000003,465.67012407830686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,268.1422683182826,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,19821.41685055923
t3,116.32815757860001,0.0,0.0,0.0,31.424682527999995,0.0,384.02416664902415,0.0,0.0,1239.5634710132883,665.0607761270309,0.0,1436.995315252006,0.0,2086.5530937427666,0.0,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.491,278.92695429436895,0.0,0.0,0.0,616.0922347479942,33.16794449849145,3.9077275750939773,364.46479305825653,1276.8929999999998,1753.4068399999999,1830.19,59.56086251151988,0.0,327.7469192314464,1322.0503867536029,456.42428657623987,127.93788,271.4879616,470.39384122111267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,19207.31914639701
t4,69.25631515720002,0.0,0.0,0.0,0.0,0.0,900.8349572850941,0.0,0.0,1230.7432123075941,731.6608237383705,0.0,1688.7915434049194,0.0,1954.6565993271365,0.0,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.9412,249.43530010442953,0.0,0.0,0.0,393.99477559508034,39.35977273362901,27.896205521624633,385.5033268202183,821.6460000000001,1716.546,1828.454,54.27066067966281,0.0,331.33601051969873,1384.2734868317161,483.031861040169,125.36479200000001,280.2388704,470.6611631268063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,172.73831736392944,0.0,0.0,0.0,0.0,0.0,0.0,19164.862045395446
t5,116.32815757860001,0.0,0.0,0.0,0.0,0.0,1226.7757116490236,0.0,0.0,1244.9271000290664,0.0,771.8167604619576,1553.6881420138668,0.0,2352.0000000000005,0.0,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.631,231.6624359594426,0.0,0.0,0.0,311.1631350054584,61.35422346453063,43.82076009064922,327.1122737919807,686.091,1653.6874,1796.2800000000002,53.17769365047775,0.0,329.11053069914396,1253.4001662436021,485.90342650766706,130.67292000000003,293.23199999999997,477.17063180533427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19162.23232038897
t6,163.4,0.0,0.0,0.0,41.89957670399999,0.0,64.34771849608286,0.0,0.0,1313.8844344842262,791.1494031711342,0.0,1961.9357040986736,0.0,4200.0,108.72088328266915,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,918.3817999999999,250.85188382886602,0.0,0.0,0.0,234.0362689840106,69.65742666928962,31.14323349225908,367.6358075337319,549.9719999999999,1685.26892,1810.998,55.02896252837599,0.0,319.63272487072794,1332.1648153480678,494.5441765613454,135.680832,300.8143104,466.6832689501746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.89560102471995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20761.95460386652
t7,116.32815757860001,0.0,0.0,0.0,0.0,0.0,0.0,157.83681913320268,0.0,1455.2414529805596,484.4177483825697,0.0,2896.96,1454.4938507886695,4200.0,146.92011254414794,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,1397.3777140678824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9138613060253002,1.709074927132,1.6580424053594998,19.3964772068768,32.827522113648,0.0,7.512331669762499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,916.5981999999999,260.4984142540714,0.0,0.0,0.0,180.48258063220194,91.57239637522675,32.78651199565843,336.58017822231466,490.48800000000006,1703.95304,1779.986,53.672196011384415,0.0,274.9862181022596,1324.161537299055,501.1991852877954,142.03896000000003,309.5778144,471.170568453841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24074.571817576412
t8,116.32815757860001,0.0,0.0,0.0,0.0,0.0,1573.8030918749541,0.0,0.0,1689.0203623241046,63.98370046552923,0.0,1448.48,0.0,3302.007810909574,146.92011254414794,244.0,180.0,1100.0,274.0061765973918,0.0,501.7699999999999,530.4506748407758,2160.3121737574766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371.4001247072479,333.656844921663,167.1234146876565,34.5317924729809,177.340320526958,607.4752628389159,192.29987464329102,293.4909922497105,364.803472270184,109.54482977407001,0.0,50.783308988144285,37.63382814,0.0,1.9900999999999998,0.6900537025965326,0.0,698.6924,147.63149890228516,0.0,0.0,0.0,200.37435205341336,268.2856358636336,84.06131890585108,528.0786075603646,572.0369999999999,1588.53252,1826.32,79.72701922403786,0.0,308.52023291288276,1490.418245399382,502.29230587009744,128.06942400000003,292.1452704,436.12461511029613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19563325757806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25287.352560275795
t9,116.32815757860001,0.0,0.0,0.0,0.0,0.0,849.3813807921039,1218.8639078963474,0.0,1624.1900681677337,0.0,0.0,0.0,0.0,2497.486951197826,146.92011254414794,0.0,0.0,59.45569287052478,274.0061765973918,0.0,501.7699999999999,530.4506748407758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,935.0928231310343,744.1008470971337,348.5785225390204,65.9694831555278,354.580081308425,1207.470772730314,401.5450592561784,602.7362142337305,804.3732863459679,672.90057385692,0.0,295.0353393981246,158.49263231999998,0.0,267.75280000000004,77.82079573316727,0.0,902.4932,115.23868124469986,0.0,0.0,0.0,1.0116841598732447,188.73025768223283,80.26088442891718,347.08001025775593,707.2320000000001,1681.4056,1785.528,79.49398011931137,0.0,331.4595829052928,1442.243663328078,484.61093885543227,145.725216,314.75326079999996,465.20501486666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23827.774328239255
