Line,1,2,3,4,5,6,7,8,9,10
t1,618.1599457619329,2337.6637816796792,1190.5010461688228,1365.003155021573,-2700.0,5145.660203715394,1438.8426562344464,1162.7154925610344,-3131.5989661096432,0.0
t2,617.7240895606149,2476.0102131077933,0.0,1041.7423440215723,-2700.0,4792.018671715393,473.39820400981546,1134.4342964981813,-3131.5989661096432,0.0
t3,614.5142826157404,2300.9092277187838,0.0,373.71154220376656,-2700.0,4376.1307217153935,1300.2060838167124,958.2939001417427,-3131.5989661096432,0.0
t4,612.051478904916,1854.9124543618789,0.0,-143.93652956789737,-2700.0,4089.2297077153935,1561.3909155046183,1073.8420716600003,-3131.5989661096432,0.0
t5,611.5476117492069,1232.614774659019,0.0,-162.06736556789747,-2700.0,4059.703175715393,829.9104819572747,971.4008946607498,-3131.5989661096432,0.0
t6,608.1396513493324,1322.81821949346,0.0,-151.2365435678975,-2700.0,4598.5756487100725,1087.253913864195,1016.4790060971336,-3131.5989661096432,0.0
t7,601.1770841964121,2110.250734803643,281.96957200082846,1396.0431817304272,-2700.0,5792.487977715391,2201.755400828351,1284.6088035867465,-3131.5989661096432,0.0
t8,1592.5413053564791,2659.4714533684914,1213.011858294789,3615.2552609381355,-455.972865010394,4664.189865680939,2244.8123252038326,1421.7467350872055,-3131.5989661096432,0.0
t9,1662.8156663098441,3145.7349949829973,2043.0149987131863,5375.6336943495235,1096.7079928843516,4842.221359,2244.8123252038326,906.2526672308991,-3131.5989661096432,0.0
t10,1390.8082008034437,2047.1655124892818,1509.4560279996927,5375.6336943495235,2700.0,3714.372601,2244.8123252038326,-1418.5744125083202,-2197.7750323515543,0.0
t11,1352.0419326901558,798.3455738509263,899.2736425718301,4747.862725183772,2700.0,3150.9163129999993,2244.8123252038326,-1141.9802777877258,-1768.883404798424,0.0
t12,1236.275793425301,835.2487318069423,1531.9502316211315,4855.2288432679,2700.0,3205.918977,2244.8123252038326,-1283.2356918864004,-1954.8598703795076,0.0
t13,1405.6457623957172,1792.4726587312325,1856.8826014776744,4767.940547245075,2700.0,3252.0286187379143,2244.8123252038326,-1265.5586607793327,-2338.008364358801,0.0
t14,1464.3720223098442,213.5704533014131,1127.8062569244105,4622.723063824552,2700.0,3286.4865710000004,2244.8123252038326,-1334.886291415765,-2600.9368291560077,0.0
t15,1635.791184134505,2123.792231485474,862.32704874896,4480.468143565473,2700.0,3321.4981577140375,2244.8123252038326,-1496.615261391265,-1939.701511173218,0.0
t16,1665.4728504918614,3145.7349949829973,1547.5028784085923,4726.507806461157,1478.2562374294512,4720.525601391303,2244.8123252038326,-698.9733373872522,-3131.5989661096432,0.0
t17,1618.3440047702663,3145.7349949829973,875.6236825440704,3193.617000223065,-1568.4649887037801,5439.078295106697,1576.8112337686603,0.0,-3131.5989661096432,0.0
t18,1684.744810532559,3145.7349949829973,2015.940397447634,4415.811428918022,-663.7796413174343,7420.1675707153945,2244.8123252038326,413.84124156871445,-3131.5989661096432,0.0
t19,1667.853871029326,3145.7349949829973,2092.264778737703,4260.2675084887405,-614.7346532747131,7570.348232715394,2244.8123252038326,0.0,-3131.5989661096432,0.0
t20,1675.4793048213485,3145.7349949829973,2092.264778737703,4459.383938488741,-409.9827981174271,7396.8732397153935,2244.8123252038326,764.054385633981,-3131.5989661096432,0.0
t21,1685.3639845247403,3145.7349949829973,2092.264778737703,4075.69519348874,-857.5541300987139,7283.238291715394,2244.8123252038326,866.2326006285257,-3131.5989661096432,0.0
t22,1690.7780916550882,3145.7349949829973,2092.264778737703,4128.21295248874,-821.6442130950328,6956.698971711713,2244.8123252038326,296.24463123270675,-3131.5989661096432,0.0
t23,1690.7780916550882,3145.7349949829973,2092.264778737703,3907.8723464887403,-885.9110360987121,6643.697660715395,2244.8123252038326,-325.6831306032431,-3131.5989661096432,0.0
t24,1689.8945079784605,3145.7349949829973,2092.264778737703,3923.73443948874,-848.9653152786813,6335.721018715393,864.7552657922661,-684.6675690956574,-3131.5989661096432,0.0
t25,1689.11936530007,3145.7349949829973,2092.264778737703,2275.009078036994,-2700.0,5189.1356226471125,507.8396540741709,-1323.779625940911,-3131.5989661096432,0.0
t26,1687.8132253132428,3145.7349949829973,2092.264778737703,1765.5519094887404,-2700.0,4486.222759098858,447.7866124424127,-999.9221479994836,-3131.5989661096432,0.0
t27,1680.3545856152757,3145.7349949829973,2092.264778737703,1911.7107514887402,-2700.0,4896.775048626858,-226.3723055209833,-1043.5030295828055,-3131.5989661096432,0.0
t28,1676.2844507563375,3145.7349949829973,2092.264778737703,1911.7988574887404,-2570.7004981665914,4640.517448089449,26.763141170641173,-533.0528040428283,-3131.5989661096432,0.0
t29,1668.307026560352,3145.7349949829973,2092.264778737703,1930.7921414887403,-2325.602866792533,4501.021633715392,0.0,-661.645138106869,-3131.5989661096432,0.0
t30,1665.568013968961,3145.7349949829973,2092.264778737703,1926.5943054887396,-2700.0,4683.923707922857,0.0,-728.6096475685518,-3131.5989661096432,0.0
t31,1649.059808292646,3145.7349949829973,2092.264778737703,1974.4485116470707,-2700.0,4636.148584115276,0.0,-727.1725058025497,-3131.5989661096432,0.0
t32,1563.187952525329,2771.8351088845106,2092.264778737703,2588.9277086741567,-2485.5405854424503,4052.2850317153925,71.12937839742406,-1193.4691451818978,-3131.5989661096432,0.0
t33,1661.597834309844,3145.7349949829973,1758.3657313373303,5375.6336943495235,1755.0508013946455,4576.279460000001,2244.8123252038326,-1609.480368293555,-2919.203701264354,0.0
t34,1550.6263161593736,1864.1244607671897,2092.264778737703,5375.6336943495235,2566.153604051832,3868.34724,2244.8123252038326,-1609.480368293555,-1084.3226723799253,0.0
t35,1328.1888477628202,2956.0238534211676,2076.688217613729,5375.6336943495235,2506.0017971906573,3815.546634388887,1195.6868405150394,-1609.480368293555,-879.7030693755019,0.0
t36,1359.2031743098441,3145.7349949829973,2092.264778737703,5361.935402630326,2099.542797646057,4005.9253587944904,176.23533287540974,-1609.480368293555,0.0,0.0
t37,1366.288243690156,3145.7349949829973,2092.264778737703,5326.982490321137,2098.409244110427,3931.936943038372,482.57216809073424,-1609.480368293555,-126.96274525635448,0.0
t38,1426.3044003098441,2776.372687960123,2092.264778737703,5375.6336943495235,2331.10613574121,3942.1928800000005,354.71600754175086,-1609.480368293555,308.74376505975414,0.0
t39,1640.0471503957172,2695.139436720732,2092.264778737703,5375.6336943495235,2501.6626709464153,3887.528365,595.1607857394696,-1609.480368293555,389.95059415812096,0.0
t40,1668.504886309844,3145.7349949829973,1488.2374638936776,4524.666845278084,256.00891660999,5079.745004714038,-1308.8579391368191,-1609.480368293555,-1428.3862665100976,0.0
t41,1572.71484089698,3145.7349949829973,2092.264778737703,3669.8892250147055,-2700.0,5761.748411106698,309.9857722158443,-1609.480368293555,-3131.5989661096432,0.0
t42,1605.9124777489783,3145.7349949829973,2092.264778737703,4202.61852748874,-2700.0,7719.501976715393,0.0,-351.1903329696842,-3131.5989661096432,0.0
