Resource,Fuel,Zone,AnnualSumCosts
CNQ_COAL,QL_CO,1,0.0
GG_COAL,QL_CO,2,0.0
SQ_COAL,QL_CO,3,0.0
CNSW_COAL,NSW_CO,5,0.0
SNW_COAL,NSW_CO,6,0.0
VIC_COAL,VIC_CO,8,0.0
CNQ_CCGT,QL_GA,1,1.3600046795745695e8
GG_CCGT,QL_GA,2,8.520270914107275e7
SQ_CCGT,QL_GA,3,1.718819270371619e8
NNSW_CCGT,NSW_GA,4,4.708812785433407e7
CNSW_CCGT,NSW_GA,5,5.497572112448838e7
SNW_CCGT,NSW_GA,6,2.75958096185359e8
SNSW_CCGT,NSW_GA,7,4.717782528790963e7
VIC_CCGT,VIC_GA,8,2.8957944316189414e8
SA_CCGT,SA_GA,9,9.100197485945961e7
TAS_CCGT,TAS_GA,10,7.420832147717172e7
CNQ_OCGT,QL_GA,1,0.0
GG_OCGT,QL_GA,2,0.0
SQ_OCGT,QL_GA,3,0.0
NNSW_OCGT,NSW_GA,4,0.0
CNSW_OCGT,NSW_GA,5,0.0
SNW_OCGT,NSW_GA,6,0.0
SNSW_OCGT,NSW_GA,7,0.0
VIC_OCGT,VIC_GA,8,0.0
SA_OCGT,SA_GA,9,0.0
TAS_OCGT,TAS_GA,10,0.0
CNQ_BIO,QL_BI,1,0.0
