Resource,Zone,AnnualSum,Capacity,CapacityFactor
CNQ_RS,1,401350.1366247776,163.4,0.2803930577851826
GG_RS,2,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0
NNSW_RS,4,0.0,0.0,0.0
CNSW_RS,5,60711.602883705295,48.0,0.14438642238324426
SNW_RS,6,0.0,0.0,0.0
SNSW_RS,7,3.037186560084151e6,2342.0,0.1480404758881987
VIC_RS,8,658273.1082204614,2292.23,0.03278263175538174
SA_RS,9,0.0,0.0,0.0
TAS_RS,10,6.537360048052552e6,2294.2,0.32528723654790614
CNQ_COAL,1,0.0,0.0,0.0
GG_COAL,2,0.0,0.0,0.0
SQ_COAL,3,0.0,0.0,0.0
CNSW_COAL,5,0.0,0.0,0.0
SNW_COAL,6,0.0,0.0,0.0
VIC_COAL,8,0.0,0.0,0.0
CNQ_CCGT,1,1.4993547059451058e6,1114.539559561713,0.15356943729726663
GG_CCGT,2,939328.2598843821,1077.8525809586615,0.09948415516720267
SQ_CCGT,3,1.8949344810394263e6,1815.4143714014185,0.11915556304253602
NNSW_CCGT,4,522678.7418618543,413.5021073887554,0.1442955718421435
CNSW_CCGT,5,610231.1147129367,1227.077933434118,0.05676989558396812
SNW_CCGT,6,3.063137930795421e6,2390.8081772846067,0.14625735476959936
SNSW_CCGT,7,523674.38437017804,530.4506748407758,0.11269696448613414
VIC_CCGT,8,3.0575382025329275e6,3532.7997254573143,0.09879813986338067
SA_CCGT,9,1.0049692426391455e6,1420.5509735541814,0.08075916909618322
TAS_CCGT,10,726258.0518225068,728.3505139521437,0.11382729703795058
CNQ_OCGT,1,0.0,6581.373379191919,0.0
GG_OCGT,2,0.0,7663.673599505688,0.0
SQ_OCGT,3,0.0,1600.0,0.0
NNSW_OCGT,4,0.0,16.0,0.0
CNSW_OCGT,5,0.0,2583.1349297727247,0.0
SNW_OCGT,6,0.0,1270.0,0.0
SNSW_OCGT,7,0.0,692.0,0.0
VIC_OCGT,8,0.0,2400.0,0.0
SA_OCGT,9,0.0,2000.0,0.0
TAS_OCGT,10,0.0,2333.391763295798,0.0
CNQ_BIO,1,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,1.0808033719058817e7,8000.0,0.15422422544319406
CNQ_SQ3_SOLAR,1,7.6285034325259775e6,3400.0000000000005,0.2561275662277106
CNQ_SQ4_SOLAR,1,256528.81874757045,423.0383483,0.06922330291533835
GG_SQ6_SOLAR,2,146396.4900325059,174.9018349623922,0.09555033021521063
SQ_SQ7_SOLAR,3,1.5438942019682664e6,2438.576983095217,0.07227314601238333
SQ_SQ8_SOLAR,3,4.0547307684174334e6,2870.1825804050964,0.16126807135549986
NNSW_SN1_SOLAR,4,7.981862549802135e6,6000.0,0.15186192065833903
