Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10
cTotal,1.4921548934075941e10,2.613404720833728e10,5.9392429110125885e9,6.972147844204368e9,1.6328817755617958e10,6.639176540741547e9,3.0635125929795e9,5.403644000031174e9,1.1114558685524853e10,8.348231151692811e9,3.256729201240222e9
cFix,9.171440845934634e10,2.5978923063528225e10,5.845783506467132e9,6.781958376672621e9,1.627528103907665e10,6.576824936425415e9,2.760629514382449e9,5.327867102871056e9,1.0792574779626448e10,8.247660966686334e9,3.126905173610009e9
cVar,2.126248179496561e8,1.91236768515994e7,8.256695404383739e6,1.8307540494583756e7,6.448588686970733e6,7.37588319164303e6,2.6924982411691636e7,2.8599071872209013e7,3.240446273651005e7,9.568210147018228e6,5.561570615304091e7
cFuel,1.2730746140863123e9,1.3600046795745695e8,8.520270914107275e7,1.718819270371619e8,4.708812785433407e7,5.497572112448838e7,2.75958096185359e8,4.717782528790963e7,2.8957944316189414e8,9.100197485945961e7,7.420832147717172e7
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-
cNetworkExp,9.162998846775894e9,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
