BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,6.621011377655937e7,1.0711971804186339e7,-1.4831447014102282e7,0.0,0.0,0.0,0.0,-3.496818962557097e7,-612956.2824715704,-2.6509492658600874e7,8.86159780884026e6,415454.9911138261,-490853.3203572688,0.0,0.0,0.0,0.0,1.0327093816903865e7,0.0,-1.911329329650068e7,2.6532693365924284e7,1.2886939633796936e7,-1.6399823242478676e7,0.0,0.0,0.0,0.0,1.3166561608274508e7,-989343.9020773647,-3.519702746343961e7,4.306297364579575e7,2.62410056986811e7,-3.2328395687012788e7,0.0,0.0,0.0,0.0,-3.200925241956177e7,-376387.6196057994,-4.58994361829634e6,2.980155401008694e7,5.453160262706629e6,-7.562089301295339e6,0.0,0.0,0.0,0.0,-1.7335691775619484e7,0.0,-1.035693319587878e7,9.50372597116982e6,4.798701185298665e6,-5.669583089308132e6,0.0,0.0,0.0,0.0,5.307036199291132e7,0.0,-6.1703206060071565e7,1.514384176260323e7,8.077514467425325e6,-1.1251231782066202e7,0.0,0.0,0.0,0.0,-4.1081414594674595e6,-338027.61178334954,-7.523955376711563e6,4.235446880539723e7,4.1751725104548465e6,-5.502585963813828e6,0.0,0.0,0.0,0.0,2.0824843382117268e7,-719616.032351206,-6.113228270180429e7,2.418935392406859e7,1.1140837131354721e7,-1.3683964566345932e7,0.0,0.0,0.0,0.0,-3.527616860085476e6,-132124.87842634736,-1.7986484750565518e7,2.05255043104785e7,7.6978021098375665e6,-1.0695739850823738e7,0.0,0.0,0.0,0.0,-5.439968659901565e6,-249463.54214150808,-1.1838134367449313e7
t1,6607.842510611513,3544.2235556337446,-0.0,0.0,0.0,0.0,0.0,-6995.500773852992,-90.2132553922652,-3066.352037,1239.4265809586616,-0.0006236606396797576,-0.0,0.0,0.0,0.0,0.0,981.2837477019788,-0.0,-2220.709705,1914.0943714014186,1763.2612239040561,-0.0,0.0,0.0,0.0,0.0,2107.939569930103,-148.80741723557884,-5636.487748,3287.151507388756,2249.969451031934,-0.0,0.0,0.0,0.0,0.0,-4438.703347577376,-58.59416184331365,-1039.823449,1304.920156432,814.3795076418988,-0.0,0.0,0.0,0.0,0.0,-559.6012720739001,-0.0,-1559.698392,904.8944000000001,0.0,-0.0,0.0,0.0,0.0,0.0,8595.211387000001,-0.0,-9500.105787,2588.774632578,2606.4212852394553,-0.0,0.0,0.0,0.0,0.0,-3596.245887176722,-58.58424864073362,-1540.365782,4013.367867354679,950.8713664398094,-0.0,0.0,0.0,0.0,0.0,5010.453972877112,-135.95965667159984,-9838.73355,550.0586999999999,572.0192012577825,-0.0,0.0,0.0,0.0,0.0,2026.7615692814393,-30.40142353922159,-3118.438047,3494.3435216608,1278.999568940489,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1594.77014
t2,6690.312310611513,1740.5609310770565,-0.0,0.0,0.0,0.0,0.0,-5396.150329240581,-67.24076644798863,-2967.482146,1301.8070809586616,0.0,-0.0,0.0,0.0,0.0,0.0,913.4325660413383,-0.0,-2215.239647,2103.1023714014186,1371.7425766503811,-0.0,0.0,0.0,0.0,0.0,1911.5452520632293,-105.80835411502883,-5280.581846,3508.537307388756,2250.0,-0.0,0.0,0.0,0.0,0.0,-4629.988386721716,-38.5675876670402,-1089.981333,1222.624156432,814.379507641899,-0.0,0.0,0.0,0.0,0.0,-487.9120360738973,-0.0,-1549.091628,852.9120000000001,0.0,-0.0,0.0,0.0,0.0,0.0,8655.802427999999,-0.0,-9508.714428,2566.7636325779995,2524.360578477717,-0.0,0.0,0.0,0.0,0.0,-3487.147407356396,-37.80626869932035,-1566.170535,4497.30696735468,950.8713664398094,-0.0,0.0,0.0,0.0,0.0,4434.191437031963,-103.04763482645055,-9779.322136,580.8098,1049.1278612697822,-0.0,0.0,0.0,0.0,0.0,1217.8254423657038,-18.267381635485556,-2829.495722,3629.8787216608002,1151.9993399404889,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1603.305111
t3,6264.644261661314,410.32029807094045,-0.0,0.0,0.0,0.0,0.0,-3712.523477330197,-44.26083740205737,-2918.180245,1294.2575809586615,156.4534141816331,-0.0,0.0,0.0,0.0,0.0,761.8009838597054,-0.0,-2212.511979,2658.8783714014185,0.0,-0.0,0.0,0.0,0.0,0.0,2496.109635864725,-51.08003026614387,-5103.907977,3089.490107388756,2633.766282142637,-0.0,0.0,0.0,0.0,0.0,-4578.137322667305,-6.819192864086495,-1138.299874,1110.744156432,792.5551831895199,-0.0,0.0,0.0,0.0,0.0,-379.83071962151985,-0.0,-1523.46862,2701.811106095522,917.4933591212905,-0.0,0.0,0.0,0.0,0.0,5808.824438783187,-0.0,-9428.128904,1978.724632578,2277.5850238980106,-0.0,0.0,0.0,0.0,0.0,-2641.9754439008266,-33.685978575183455,-1580.648234,4688.9053673546805,950.8713664398094,-0.0,0.0,0.0,0.0,0.0,4236.685755013956,-97.76963980844685,-9778.692849,485.3222,1020.467212633702,-0.0,0.0,0.0,0.0,0.0,1140.6451161079176,-17.109676741618763,-2629.324852,4036.8083216608,745.7060729404888,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1603.941444
t4,5947.346759561713,198.66767411994638,-0.0,0.0,0.0,0.0,0.0,-3232.0806604258914,-35.9262352557683,-2878.007538,1373.2910809586613,0.0,-0.0,0.0,0.0,0.0,0.0,836.9983100413385,-0.0,-2210.289391,2938.1503714014184,0.0,-0.0,0.0,0.0,0.0,0.0,2063.9790158720375,-40.89278527345603,-4961.236602,2285.0953073887554,4556.286911184551,-0.0,0.0,0.0,0.0,0.0,-5659.5942825556185,-4.9665500176877355,-1176.821386,1033.712156432,0.0,-0.0,0.0,0.0,0.0,0.0,475.7098785680007,-0.0,-1509.422035,2434.2661685535213,0.0,-0.0,0.0,0.0,0.0,0.0,6966.445189446479,-0.0,-9400.711358,3418.640632578,2277.5850238980106,-0.0,0.0,0.0,0.0,0.0,-4060.59774999035,-39.13710448566007,-1596.490802,4929.52156735468,950.8713664398094,-0.0,0.0,0.0,0.0,0.0,4028.963817891745,-111.78772068623327,-9797.569031,438.51950000000005,377.5036284470244,-0.0,0.0,0.0,0.0,0.0,1711.7754472619038,-25.676631708928557,-2502.121944,4122.9258216608005,660.5650279404884,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1604.917899
t5,5935.542710611513,104.86211901306231,-0.0,0.0,0.0,0.0,0.0,-3083.2830658573353,-33.364561767239955,-2923.757202,1353.8415809586613,0.0,-0.0,0.0,0.0,0.0,0.0,858.9789480413385,-0.0,-2212.820529,2922.9183714014184,2912.7080225699196,-0.0,0.0,0.0,0.0,0.0,-632.0958664402548,-76.21056153108373,-5127.319966,1718.8325073887556,456.50812222398474,-0.0,0.0,0.0,0.0,0.0,-952.3350408488956,-42.84599976384378,-1180.159589,870.984156432,0.0,-0.0,0.0,0.0,0.0,0.0,632.8899325680002,-0.0,-1503.874089,2974.388977284607,0.0,-0.0,0.0,0.0,0.0,0.0,6398.971582715392,-0.0,-9373.36056,2820.1106325779997,2587.9050238980103,-0.0,0.0,0.0,0.0,0.0,-3804.351467811511,-8.718374664498997,-1594.945814,4960.70086735468,1175.4508260585553,-0.0,0.0,0.0,0.0,0.0,3712.8239437429097,-55.692359156143645,-9793.283278,401.8583,2050.157235,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2452.015535,4368.568921660801,415.11860494048824,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1605.114576
t6,6208.958310611513,104.8621190130624,-0.0,0.0,0.0,0.0,0.0,-3221.047747000193,-35.959640624382814,-3056.813042,1396.4435809586612,0.0,-0.0,0.0,0.0,0.0,0.0,823.7383720413385,-0.0,-2220.181953,2861.086371401418,383.83446926411,-0.0,0.0,0.0,0.0,0.0,2397.3093749588547,-35.959640624382814,-5606.270575,1272.9603073887554,3815.1370790078,-0.0,0.0,0.0,0.0,0.0,-3946.7893373965544,-0.0,-1141.308049,610.712312864,0.0,-0.0,0.0,0.0,0.0,0.0,920.324960136,-0.0,-1531.037273,2931.992177284607,0.0,-0.0,0.0,0.0,0.0,0.0,6544.0224697153935,-0.0,-9476.014647,3688.520265156,2536.2741465204317,-0.0,0.0,0.0,0.0,0.0,-4620.524190210103,-16.54449146632897,-1587.72573,5047.860931499816,593.3116955932495,-0.0,0.0,0.0,0.0,0.0,4234.565063864908,-63.51847595797361,-9812.219215,415.0314000000001,2113.602621,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-2528.634021,4386.5794216608,398.17923594048807,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1606.185707
t7,6662.098959561713,152.53624811531546,-0.0,0.0,0.0,0.0,0.0,-3503.858704488049,-41.37506218897995,-3269.401441,1331.482091432147,155.37441534513363,-0.0,0.0,0.0,0.0,0.0,745.521225222719,-0.0,-2232.377732,2643.4148466509646,2062.7776572755274,-0.0,0.0,0.0,0.0,0.0,1737.2734122674574,-56.691023193948055,-6386.774893,1154.8637073887553,5347.400803495479,-0.0,0.0,0.0,0.0,0.0,-5414.970703879266,-15.315961004968099,-1071.977846,429.728,0.0,-0.0,0.0,0.0,0.0,0.0,1151.6530399999992,-0.0,-1581.38104,2860.2305772846066,795.7817651617804,-0.0,0.0,0.0,0.0,0.0,6014.365721553615,-0.0,-9670.378064,2426.091,2279.5596081012513,-0.0,0.0,0.0,0.0,0.0,-3094.3049566122154,-35.4648144890361,-1575.880837,4604.412703209544,979.2415455748984,-0.0,0.0,0.0,0.0,0.0,4742.326964706326,-93.74269349076661,-10232.23852,400.6682,1694.1279211710273,-0.0,0.0,0.0,0.0,0.0,753.5929673390579,-11.303894510085868,-2837.085194,4353.0828216608,457.56856894048803,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1632.07844
t8,8974.409992514007,0.0,-0.0,0.0,0.0,0.0,0.0,-6374.661593224778,-82.66573328923008,-2517.082666,1335.9939907238952,0.0,-0.0,0.0,0.0,0.0,0.0,863.6127072761051,-0.0,-2199.606698,3170.0743058858316,0.0,-0.0,0.0,0.0,0.0,0.0,998.6681661996339,-150.35144408546563,-4018.391028,4712.432307388755,0.0,-0.0,0.0,0.0,0.0,0.0,-3657.2073315925213,-67.68571079623557,-987.539265,911.07835,0.0,-0.0,0.0,0.0,0.0,0.0,709.1095379999999,-0.0,-1620.187888,892.0562000000001,0.0,-0.0,0.0,0.0,0.0,0.0,8898.905733000001,-0.0,-9790.961933,4506.481400000001,2277.5850238980106,-0.0,0.0,0.0,0.0,0.0,-5189.278743047179,-56.26277285083106,-1538.524908,6117.965673546799,661.7835073738242,-0.0,0.0,0.0,0.0,0.0,4463.832772181604,-139.51602310222736,-11104.06593,438.0921,538.1356904429746,-0.0,0.0,0.0,0.0,0.0,2418.617717316777,-36.279265759751645,-3358.566242,3909.739259440113,1041.3844411611751,-0.0,0.0,0.0,0.0,0.0,-3131.5989661096432,-46.97398449164464,-1772.55075
