Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
15000,1,1,1,1,8760,8760,1,1941.993632,1173.399561,3629.743985,590.297474,1217.210207,6435.233055,979.708175,5999.046053,2146.067802,1238.729383
,,,,,,,2,1870.352375,1169.43595,3375.307275,549.605964,1165.778428,6081.897709,918.318753,5375.442295,1890.07403,1217.190932
,,,,,,,3,1844.70956,1168.01724,3284.317662,500.269042,1103.419429,5653.492316,843.886452,5010.05462,1706.513445,1197.334363
,,,,,,,4,1835.614922,1167.514072,3252.116181,473.815351,1069.983007,5423.785935,803.976702,4766.201484,1596.114553,1196.181594
,,,,,,,5,1834.943218,1167.476909,3249.807983,473.104771,1069.084167,5417.612821,802.904243,4667.22607,1544.708686,1211.444342
,,,,,,,6,1822.908235,1166.812588,3207.084859,491.634688,1092.504351,5578.510623,830.859117,4739.038503,1520.093733,1228.991344
,,,,,,,7,1855.708993,1168.747538,3326.254044,535.324789,1150.888335,5977.982373,898.926606,4948.251588,1591.534807,1272.493025
,,,,,,,8,1615.746772,1158.163762,2535.432528,442.935823,1151.605263,5922.525098,839.585032,5136.040578,1701.696645,1344.635086
,,,,,,,9,1389.082277,1148.04756,1785.617804,313.233891,1127.956527,5687.958952,739.480785,4994.174066,1407.804786,1371.021437
,,,,,,,10,1245.128387,1141.437328,1304.423409,175.570943,1061.261787,5174.615761,604.895742,5038.696352,958.53886,1352.300317
,,,,,,,11,1214.356775,1139.605109,1188.89892,0,930.582013,4268.78906,402.401006,4733.663072,411.084926,1303.907897
,,,,,,,12,1310.535056,1144.438635,1522.41665,0,736.641228,3635.707213,273.779044,4376.749372,95.106227,1254.098319
,,,,,,,13,1338.331487,1145.727735,1616.209214,0,698.512303,3462.217371,247.956452,4504.407584,78.511122,1184.931583
,,,,,,,14,1435.153991,1150.223737,1940.529739,0,740.717095,3520.856407,275.647295,4606.556363,234.838088,1187.235147
,,,,,,,15,1576.118561,1156.827559,2413.992803,43.372112,903.749918,4087.587462,411.979793,4854.138283,382.223782,1218.852118
,,,,,,,16,1769.159196,1166.226685,3070.50004,284.920872,1060.357362,5239.901253,675.093365,5261.250563,672.438657,1304.255399
,,,,,,,17,2063.814329,1180.75418,4076.651171,640.082136,1310.809358,7062.497182,1075.713005,6140.749844,1333.715605,1470.673515
,,,,,,,18,2218.352289,1188.735073,4612.663392,792.674466,1473.956686,8198.597378,1285.674867,7217.737911,2240.16245,1585.55415
,,,,,,,19,2194.998647,1187.397272,4528.638482,802.249752,1485.100997,8275.651045,1299.467809,7220.345855,2569.507634,1566.919723
,,,,,,,20,2170.215728,1186.026137,4440.512137,775.340189,1451.090102,8041.993405,1258.871375,6954.960906,2535.474373,1514.86566
,,,,,,,21,2142.531365,1184.494477,4342.084748,747.925359,1416.440528,7803.948186,1217.512636,6730.293007,2486.236864,1472.889037
,,,,,,,22,2098.607017,1182.064326,4186.00355,703.250607,1359.975424,7416.03058,1150.114667,6324.493716,2359.584868,1412.787729
,,,,,,,23,2044.560167,1179.074139,3994.01276,662.250067,1308.153802,7060.014992,1088.259494,6001.851031,2175.026784,1309.682312
,,,,,,,24,1984.481791,1175.750254,3780.618315,624.041673,1259.86093,6728.242834,1030.616477,6333.051209,2344.27362,1224.204941
,,,,,,,25,1899.936784,1171.072732,3481.834608,578.051029,1201.736905,6328.916922,961.235946,5784.267994,2126.897856,1227.795796
,,,,,,,26,1859.878801,1168.856491,3339.540615,542.23102,1156.462287,6017.88154,907.195847,5364.095466,1861.912104,1205.306403
,,,,,,,27,1843.647392,1167.958475,3281.956789,500.635881,1103.888046,5656.698378,844.44296,4992.833345,1711.422802,1192.919881
,,,,,,,28,1839.100276,1167.706902,3265.901885,480.883195,1078.921184,5485.178067,814.642626,4876.104567,1618.851722,1203.317605
,,,,,,,29,1824.234124,1166.88442,3213.14626,494.255236,1095.821863,5601.287643,834.815899,4912.580638,1597.009707,1228.451596
,,,,,,,30,1905.369751,1171.37484,3501.569995,555.458863,1173.178843,6132.73121,927.150418,5309.394046,1668.077172,1285.10243
,,,,,,,31,2045.877901,1179.219189,4002.51483,663.207149,1312.049623,7085.393357,1091.533181,6284.644261,1921.278032,1446.956415
,,,,,,,32,2030.984808,1179.558906,3976.392669,601.897148,1338.032917,7210.717759,1069.530752,7061.026349,2272.332617,1636.446429
,,,,,,,33,1949.098275,1175.974787,3707.055457,417.584127,1254.854616,6562.302367,893.506228,7043.766906,2316.522818,1536.582332
,,,,,,,34,1880.577343,1172.777878,3477.03641,230.81663,1141.082922,5717.837684,695.050302,6897.669564,2128.236353,1358.313073
,,,,,,,35,1833.912306,1170.528732,3318.456276,77.686318,1035.132611,4944.937916,523.705807,6475.422359,1859.322544,1246.018799
,,,,,,,36,1768.775451,1167.039537,3086.875191,0,959.593387,4435.662806,421.993233,6088.993774,1702.674154,1172.806169
,,,,,,,37,1804.631911,1168.921471,3213.975798,2.972794,947.148191,4350.738108,415.165613,5693.118828,1587.691772,1148.265138
,,,,,,,38,1847.873505,1170.982637,3361.033712,90.902729,988.916117,4661.94248,500.744776,5255.179893,1632.679287,1149.712051
,,,,,,,39,1908.802309,1173.850163,3566.04387,178.37242,1036.793153,5020.900818,590.040295,5247.343834,1717.863348,1180.59552
,,,,,,,40,1988.290041,1177.719159,3836.457665,375.61915,1159.760341,5930.617013,801.546837,5786.214449,1904.632689,1285.169939
,,,,,,,41,2199.905313,1188.186902,4559.969032,700.692566,1386.681282,7584.102457,1166.65129,7166.427536,2202.030387,1455.914669
,,,,,,,42,2333.895531,1195.123032,5025.229865,850.474949,1547.115701,8701.131863,1372.945226,8342.48133,2696.849984,1613.329499
,,,,,,,43,2321.233556,1194.381322,4979.261859,854.722093,1551.429542,8731.309509,1378.63444,8219.104116,2896.3059,1591.221401
,,,,,,,44,2286.258092,1192.446276,4854.873511,818.140284,1505.193313,8413.664485,1323.445832,7880.025943,2767.979338,1556.937121
,,,,,,,45,2237.630859,1189.755934,4681.960907,793.810017,1474.442153,8202.402099,1286.740446,7535.929077,2649.350565,1517.538183
