Resource,Zone,StartEnergyCap_p1,EndEnergyCap_p1,EndEnergyCap_p2,EndEnergyCap_p3
CNQ_RS,1,0.0,0.0,0.0,0.0
GG_RS,2,0.0,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0,0.0
NNSW_RS,4,0.0,0.0,0.0,0.0
CNSW_RS,5,0.0,0.0,0.0,0.0
SNW_RS,6,0.0,0.0,0.0,0.0
SNSW_RS,7,0.0,0.0,0.0,0.0
VIC_RS,8,0.0,0.0,0.0,0.0
SA_RS,9,0.0,0.0,0.0,0.0
TAS_RS,10,0.0,0.0,0.0,0.0
CNQ_COAL,1,0.0,0.0,0.0,0.0
GG_COAL,2,0.0,0.0,0.0,0.0
SQ_COAL,3,0.0,0.0,0.0,0.0
CNSW_COAL,5,0.0,0.0,0.0,0.0
SNW_COAL,6,0.0,0.0,0.0,0.0
VIC_COAL,8,0.0,0.0,0.0,0.0
CNQ_CCGT,1,0.0,0.0,0.0,0.0
GG_CCGT,2,0.0,0.0,0.0,0.0
SQ_CCGT,3,0.0,0.0,0.0,0.0
NNSW_CCGT,4,0.0,0.0,0.0,0.0
CNSW_CCGT,5,0.0,0.0,0.0,0.0
SNW_CCGT,6,0.0,0.0,0.0,0.0
SNSW_CCGT,7,0.0,0.0,0.0,0.0
VIC_CCGT,8,0.0,0.0,0.0,0.0
SA_CCGT,9,0.0,0.0,0.0,0.0
TAS_CCGT,10,0.0,0.0,0.0,0.0
CNQ_OCGT,1,0.0,0.0,0.0,0.0
GG_OCGT,2,0.0,0.0,0.0,0.0
SQ_OCGT,3,0.0,0.0,0.0,0.0
NNSW_OCGT,4,0.0,0.0,0.0,0.0
CNSW_OCGT,5,0.0,0.0,0.0,0.0
SNW_OCGT,6,0.0,0.0,0.0,0.0
SNSW_OCGT,7,0.0,0.0,0.0,0.0
VIC_OCGT,8,0.0,0.0,0.0,0.0
SA_OCGT,9,0.0,0.0,0.0,0.0
TAS_OCGT,10,0.0,0.0,0.0,0.0
CNQ_BIO,1,0.0,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,0.0,0.0,0.0,0.0
CNQ_SQ3_SOLAR,1,0.0,0.0,0.0,0.0
CNQ_SQ4_SOLAR,1,0.0,0.0,0.0,0.0
GG_SQ6_SOLAR,2,0.0,0.0,0.0,0.0
SQ_SQ7_SOLAR,3,0.0,0.0,0.0,0.0
SQ_SQ8_SOLAR,3,0.0,0.0,0.0,0.0
NNSW_SN1_SOLAR,4,0.0,0.0,0.0,0.0
NNSW_SN2_SOLAR,4,0.0,0.0,0.0,0.0
CNSW_SN3_SOLAR,5,0.0,0.0,0.0,0.0
SNSW_SN5_SOLAR,7,0.0,0.0,0.0,0.0
SNW_SN9_SOLAR,6,0.0,0.0,0.0,0.0
VIC_SV2_SOLAR,8,0.0,0.0,0.0,0.0
VIC_SV6_SOLAR,8,0.0,0.0,0.0,0.0
SA_SS3_SOLAR,9,0.0,0.0,0.0,0.0
SA_SS7_SOLAR,9,0.0,0.0,0.0,0.0
SA_SS5_SOLAR,9,0.0,0.0,0.0,0.0
TAS_ST2_SOLAR,10,0.0,0.0,0.0,0.0
CNQ_WQ1_WIND,1,0.0,0.0,0.0,0.0
CNQ_WQ2_WIND,1,0.0,0.0,0.0,0.0
CNQ_WQ4_WIND,1,0.0,0.0,0.0,0.0
CNQ_WQ3_WIND,1,0.0,0.0,0.0,0.0
GG_WQ6_WIND,2,0.0,0.0,0.0,0.0
SQ_WQ8_WIND,3,0.0,0.0,0.0,0.0
NNSW_WN2_WIND,4,0.0,0.0,0.0,0.0
CNSW_WN3_WIND,5,0.0,0.0,0.0,0.0
SNW_WN9_WIND,6,0.0,0.0,0.0,0.0
SNSW_WACT_WIND,7,0.0,0.0,0.0,0.0
VIC_WV3_WIND,8,0.0,0.0,0.0,0.0
VIC_WV4_WIND,8,0.0,0.0,0.0,0.0
VIC_WV5_WIND,8,0.0,0.0,0.0,0.0
VIC_WV7_WIND,8,0.0,0.0,0.0,0.0
SA_WS1_WIND,9,0.0,0.0,0.0,0.0
SA_WS3_WIND,9,0.0,0.0,0.0,0.0
SA_WS4_WIND,9,0.0,0.0,0.0,0.0
TAS_WT1_WIND,10,0.0,0.0,0.0,0.0
TAS_WT2_WIND,10,0.0,0.0,0.0,0.0
TAS_WT3_WIND,10,0.0,0.0,0.0,0.0
CNQ_BATTERY,1,104.0,104.0,104.0,2417.5009178016235
GG_BATTERY,2,0.0,0.0,21.29108839591671,517.4622915741132
SQ_BATTERY,3,350.0,350.0,1106.8807808090912,14971.31731346001
NNSW_BATTERY,4,0.0,0.0,0.0,8595.40824531159
CNSW_BATTERY,5,0.0,0.0,0.0,0.0
SNW_BATTERY,6,75.0,75.0,895.1874578634652,3751.503819599728
SNSW_BATTERY,7,570.0,570.0,620.64,620.64
VIC_BATTERY,8,736.0,736.0,1160.8,2385.7278764196963
SA_BATTERY,9,604.08,604.08,1024.86,6194.172340349125
TAS_BATTERY,10,0.0,0.0,0.0,0.0
CNQ_PH,1,0.0,0.0,0.0,28213.981732336986
GG_PH,2,0.0,0.0,0.0,0.0
SQ_PH,3,6000.0,6000.0,14079.220535263747,17656.45234560912
NNSW_PH,4,0.0,0.0,4908.812818402452,34465.453208125626
CNSW_PH,5,0.0,0.0,7159.28238963072,14378.174649811644
SNW_PH,6,0.0,0.0,0.0,0.0
SNSW_PH,7,9680.0,9680.0,9680.0,9680.0
VIC_PH,8,0.0,0.0,0.0,8804.26324362594
