Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
CNQ_RS,1,163.4,163.4,163.4,163.4
GG_RS,2,0.0,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0,0.0
NNSW_RS,4,32.97,0.0,0.0,0.0
CNSW_RS,5,48.0,48.0,48.0,48.0
SNW_RS,6,0.0,0.0,0.0,0.0
SNSW_RS,7,2342.0,2342.0,2342.0,2342.0
VIC_RS,8,2292.23,2292.23,2292.23,2292.23
SA_RS,9,0.0,0.0,0.0,0.0
TAS_RS,10,2294.2,2294.2,2294.2,2294.2
CNQ_COAL,1,3060.0,3060.0,0.0,0.0
GG_COAL,2,1850.0,1850.0,0.0,0.0
SQ_COAL,3,3292.0,3292.0,0.0,0.0
CNSW_COAL,5,4040.0,4040.0,0.0,0.0
SNW_COAL,6,4200.0,4200.0,0.0,0.0
VIC_COAL,8,4630.0,0.0,0.0,0.0
CNQ_CCGT,1,244.0,244.0,1131.5708657746798,1131.5708657746798
GG_CCGT,2,180.0,180.0,598.742276634075,598.742276634075
SQ_CCGT,3,1100.0,1100.0,1100.0,1809.5554948168221
NNSW_CCGT,4,0.0,200.07214611765448,200.07214611765448,299.02664893806667
CNSW_CCGT,5,0.0,103.0912144538072,779.1879772370078,779.1879772370078
SNW_CCGT,6,501.7699999999999,2570.152905736995,3966.099657545856,3966.099657545856
SNSW_CCGT,7,0.0,570.8918194578036,570.8918194578036,570.8918194578036
VIC_CCGT,8,21.0,3100.2981721340057,3100.2981721340057,3712.808563790774
SA_CCGT,9,713.4,1079.2619318878956,1079.2619318878956,1079.2619318878956
TAS_CCGT,10,208.0,616.6143405957296,616.6143405957296,616.6143405957296
CNQ_OCGT,1,120.0,120.0,212.885764918063,212.885764918063
GG_OCGT,2,0.0,1021.8980639866211,10410.688518616154,10410.688518616154
SQ_OCGT,3,1600.0,1600.0,4615.350183303328,4615.350183303328
NNSW_OCGT,4,16.0,16.0,1184.1779569599607,1184.1779569599607
CNSW_OCGT,5,12.0,12.0,12.0,12.0
SNW_OCGT,6,1270.0,1270.0,1270.0,1270.0
SNSW_OCGT,7,692.0,692.0,727.9190702985883,727.9190702985883
VIC_OCGT,8,2400.0,4214.611449528866,4214.611449528866,4214.611449528866
SA_OCGT,9,2000.0,2106.2942553574812,2106.2942553574812,2106.2942553574812
TAS_OCGT,10,178.0,1036.7772403154293,2875.5504219403633,2875.5504219403633
CNQ_BIO,1,270.0,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,24.11284089,24.11284089,1329.9098177034894,8000.0
CNQ_SQ3_SOLAR,1,916.1614677,916.1614677,916.1614677,3400.0
CNQ_SQ4_SOLAR,1,423.0383483,423.0383483,423.0383483,423.0383483
GG_SQ6_SOLAR,2,113.8374463,113.8374463,113.8374463,283.8224156227107
SQ_SQ7_SOLAR,3,427.9138106,427.9138106,427.9138106,961.2040228137988
SQ_SQ8_SOLAR,3,1694.936086,1694.936086,2315.6920816189086,7000.0
NNSW_SN1_SOLAR,4,494.8402631,494.8402631,500.0,500.0
NNSW_SN2_SOLAR,4,710.3859735,710.3859735,710.3859735,7000.0
CNSW_SN3_SOLAR,5,1004.9239489999999,1157.61812512563,6567.081085214077,8000.0
SNSW_SN5_SOLAR,7,1389.47513,1389.47513,1389.47513,3200.0
SNW_SN9_SOLAR,6,0.0,0.0,0.0,1000.0
VIC_SV2_SOLAR,8,696.51,696.51,5083.410976738466,5700.0
VIC_SV6_SOLAR,8,400.59,400.59,400.59,2000.0
SA_SS3_SOLAR,9,0.0,0.0,0.0,4000.0
SA_SS7_SOLAR,9,175.0,175.0,700.0,700.0
SA_SS5_SOLAR,9,175.0,175.0,2973.0654207275747,3000.0
TAS_ST2_SOLAR,10,0.0,0.0,0.0,150.0
CNQ_WQ1_WIND,1,180.52,1400.0,1400.0,1400.0
CNQ_WQ2_WIND,1,212.0,6000.0,6000.0,6000.0
