Line,New_Trans_Capacity_p1,New_Trans_Capacity_p2,New_Trans_Capacity_p3
1,343.44177113739147,569.2234281371448,358.9026727254634
2,0.0,1899.4243552645246,705.212778766726
3,0.0,1191.5552829801877,1549.6631690374768
4,1085.0119439697621,2530.0919390426193,3362.3089882250183
5,0.0,0.0,1827.0629654941663
6,1355.0694900000008,2157.137234704947,1155.0145972950538
7,333.0434517365786,982.9532411410684,1878.0277972461452
8,4.107181727212805,1250.871079841713,344.5794997016696
9,562.8705314105493,1865.6958354061026,0.0
10,0.0,0.0,0.0
