Resource,Fuel,Zone,AnnualSumCosts
CNQ_COAL,QL_CO,1,5.056197873439186e7
GG_COAL,QL_CO,2,2.7555905689131897e7
SQ_COAL,QL_CO,3,4.999185900662701e7
CNSW_COAL,NSW_CO,5,4.213894852816249e7
SNW_COAL,NSW_CO,6,7.745560523444273e7
VIC_COAL,VIC_CO,8,0.0
CNQ_CCGT,QL_GA,1,6.383461714689651e7
GG_CCGT,QL_GA,2,4.91543212666127e7
SQ_CCGT,QL_GA,3,2.7744175758564657e8
NNSW_CCGT,NSW_GA,4,6.88650172610982e7
CNSW_CCGT,NSW_GA,5,2.5827955137767512e7
SNW_CCGT,NSW_GA,6,7.449681019752702e8
SNSW_CCGT,NSW_GA,7,1.40096845282077e8
VIC_CCGT,VIC_GA,8,7.991762475899001e8
SA_CCGT,SA_GA,9,2.5272840033055153e8
TAS_CCGT,TAS_GA,10,1.7476538962082192e8
CNQ_OCGT,QL_GA,1,0.0
GG_OCGT,QL_GA,2,0.0
SQ_OCGT,QL_GA,3,0.0
NNSW_OCGT,NSW_GA,4,0.0
CNSW_OCGT,NSW_GA,5,0.0
SNW_OCGT,NSW_GA,6,0.0
SNSW_OCGT,NSW_GA,7,0.0
VIC_OCGT,VIC_GA,8,8.055171543030776e7
SA_OCGT,SA_GA,9,3.749648905120849e7
TAS_OCGT,TAS_GA,10,4.150555382336698e7
CNQ_BIO,QL_BI,1,0.0
