Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
CNQ_RS,1,None,163.4,0.0,0.0,0.0,163.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_RS,2,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_RS,3,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_RS,4,None,32.97,32.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_RS,5,None,48.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_RS,6,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_RS,7,None,2342.0,0.0,0.0,0.0,2342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_RS,8,None,2292.23,0.0,0.0,0.0,2292.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_RS,9,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_RS,10,None,2294.2,0.0,0.0,0.0,2294.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_COAL,1,None,3060.0,0.0,0.0,0.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_COAL,2,None,1850.0,0.0,0.0,0.0,1850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_COAL,3,None,3292.0,0.0,0.0,0.0,3292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_COAL,5,None,4040.0,0.0,0.0,0.0,4040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_COAL,6,None,4200.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_COAL,8,None,4630.0,4630.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_CCGT,1,None,244.0,0.0,0.0,0.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_CCGT,2,None,180.0,0.0,0.0,0.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_CCGT,3,None,1100.0,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_CCGT,4,None,0.0,0.0,0.0,200.07214611765448,200.07214611765448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_CCGT,5,None,0.0,0.0,0.0,103.0912144538072,103.0912144538072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_CCGT,6,None,501.7699999999999,0.0,0.0,2068.382905736995,2570.152905736995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_CCGT,7,None,0.0,0.0,0.0,570.8918194578036,570.8918194578036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_CCGT,8,None,21.0,0.0,0.0,3079.2981721340057,3100.2981721340057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_CCGT,9,None,713.4,0.0,0.0,365.8619318878957,1079.2619318878956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_CCGT,10,None,208.0,0.0,0.0,408.61434059572963,616.6143405957296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_OCGT,1,None,120.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_OCGT,2,None,0.0,0.0,0.0,1021.8980639866211,1021.8980639866211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQ_OCGT,3,None,1600.0,0.0,0.0,0.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NNSW_OCGT,4,None,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNSW_OCGT,5,None,12.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNW_OCGT,6,None,1270.0,0.0,0.0,0.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNSW_OCGT,7,None,692.0,0.0,0.0,0.0,692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC_OCGT,8,None,2400.0,0.0,0.0,1814.611449528866,4214.611449528866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SA_OCGT,9,None,2000.0,0.0,0.0,106.29425535748094,2106.2942553574812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TAS_OCGT,10,None,178.0,0.0,0.0,858.7772403154293,1036.7772403154293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_BIO,1,None,270.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,None,24.11284089,0.0,0.0,0.0,24.11284089,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_SQ3_SOLAR,1,None,916.1614677,0.0,0.0,0.0,916.1614677,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CNQ_SQ4_SOLAR,1,None,423.0383483,0.0,0.0,0.0,423.0383483,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GG_SQ6_SOLAR,2,None,113.8374463,0.0,0.0,0.0,113.8374463,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
