BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,2.8666975516249888e7,97119.31197448686,-114744.75360187094,0.0,0.0,0.0,0.0,-1.0873731791129427e7,-121962.08980950291,-1.765365619368354e7,2.67764102216467e6,0.0,0.0,0.0,0.0,0.0,0.0,7.600548276145405e6,0.0,-1.0278189298310114e7,2.489170218711374e7,1.5770159334395002e6,-2.112642635236273e6,0.0,0.0,0.0,0.0,2.4508707433261983e6,-210177.777758618,-2.6596768450884532e7,7.06176079810308e6,0.0,0.0,0.0,0.0,0.0,0.0,-3.73764552117602e6,-88215.68794911566,-3.2358995889779767e6,2.3985454373451807e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.4490786956010744e7,0.0,-9.494667417441038e6,1.6599215453573374e7,75938.20187232552,-89719.58887312784,0.0,0.0,0.0,0.0,3.362747983444944e7,0.0,-5.0212913901022196e7,1.9268570140296698e7,1.4495044376613465e6,-1.905775545005716e6,0.0,0.0,0.0,0.0,-1.2595027406155596e7,-90529.44095395462,-6.126742185842705e6,4.302078950353003e7,916087.2000003953,-1.0823393117547738e6,0.0,0.0,0.0,0.0,962653.2913700897,-227944.37171577258,-4.358924631142997e7,1.2505666914066339e7,745233.3680846706,-880478.8600521291,0.0,0.0,0.0,0.0,989399.9448733132,-43518.43948104771,-1.331630292749117e7,1.493385742823857e7,0.0,0.0,0.0,0.0,0.0,0.0,-3.9337604156926125e6,-93896.49128076823,-1.0906200521265114e7
t1,5172.370819482252,0.0,-52.0,0.0,0.0,0.0,0.0,-3092.0974684822518,-31.5,-1996.773351,184.33282551774812,0.0,-0.0,0.0,0.0,0.0,0.0,992.0974684822519,-0.0,-1176.430294,2537.82151390023,0.0,-600.3053542455449,0.0,0.0,0.0,0.0,1922.6260771875027,-34.16060884218746,-3825.981628,633.7471206951072,0.0,-0.0,0.0,0.0,0.0,0.0,-33.5357878529198,-2.660608842187459,-597.550724,4921.771353549967,0.0,-0.0,0.0,0.0,0.0,0.0,-3695.403174549967,-0.0,-1226.368179,1278.9808000000003,0.0,-0.0,0.0,0.0,0.0,0.0,5219.193529,-0.0,-6498.174329,3652.0736325780003,0.0,-371.60636955186254,0.0,0.0,0.0,0.0,-2275.3849149585294,-14.4375640676087,-990.644784,6230.186390199542,0.0,-0.0,0.0,0.0,0.0,0.0,414.48662868251256,-25.84051488205407,-6618.832504,1411.7307430660585,159.86273293263736,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-2215.88905,1441.865657324349,0.0,-0.0,0.0,0.0,0.0,0.0,-106.08953923581203,-1.5913430885371804,-1334.184775
t2,5031.282128517548,19.691404159333484,-32.30859584066652,0.0,0.0,0.0,0.0,-3079.137676836214,-31.5,-1908.02726,192.38266716378595,0.0,-0.0,0.0,0.0,0.0,0.0,979.137676836214,-0.0,-1171.520344,2265.7303321090335,25.65045183342927,-570.0,0.0,0.0,0.0,0.0,1824.8907399581649,-35.62663890062753,-3510.644885,576.7675904855664,0.0,-0.0,0.0,0.0,0.0,0.0,-19.72078958493373,-4.126638900627531,-552.920162,5070.542631725885,0.0,-0.0,0.0,0.0,0.0,0.0,-3900.5840627258863,-0.0,-1169.958569,1179.5088,0.0,-0.0,0.0,0.0,0.0,0.0,4931.130131000001,-0.0,-6110.638931,2632.3439999999996,0.0,-371.60636955186254,0.0,0.0,0.0,0.0,-1328.5321297811306,-8.892241667006777,-923.313259,6043.545517585544,0.0,-0.0,0.0,0.0,0.0,0.0,-12.222801150992606,-19.439873434551494,-6011.882843,1294.9745549986956,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1939.270129,1355.0412954840717,0.0,-0.0,0.0,0.0,0.0,0.0,-49.068269442435145,-0.7360240416365271,-1305.237002
t3,5139.602709137392,0.0,-52.0,0.0,0.0,0.0,0.0,-3193.4417711373917,-31.5,-1862.660938,75.56864386260843,0.0,-0.0,0.0,0.0,0.0,0.0,1093.4417711373917,-0.0,-1169.010415,2206.6436232128094,-5.130090366400511e-5,-770.0000513009037,0.0,0.0,0.0,0.0,1946.6734240285693,-33.79989863957146,-3349.517046,576.2039895987479,0.0,-0.0,0.0,0.0,0.0,0.0,-72.20571395917521,-2.299898639571462,-501.698377,4765.177713777282,0.0,-0.0,0.0,0.0,0.0,0.0,-3659.9596987772816,-0.0,-1105.218015,1195.6671999999999,0.0,-50.0,0.0,0.0,0.0,0.0,4520.202933999999,-0.0,-5665.870134,2857.482,0.0,-681.9263695518624,0.0,0.0,0.0,0.0,-1319.249698155191,-10.268081292946192,-846.037851,6048.639220910799,0.0,-514.6725168163291,0.0,0.0,0.0,0.0,73.9235130531436,-20.73206814761354,-5587.158149,1079.4117999986956,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1723.707374,1338.9589500460363,0.0,-0.0,0.0,0.0,0.0,0.0,-43.49194191727701,-0.6523791287591552,-1294.814629
t4,5071.457859639991,23.836984748700182,-28.16301525129982,0.0,0.0,0.0,0.0,-3193.4417711373917,-31.5,-1842.190058,74.43607586260836,0.0,-0.0,0.0,0.0,0.0,0.0,1093.4417711373917,-0.0,-1167.877847,1662.3584059914767,8.968644313854343,-761.0313556861456,0.0,0.0,0.0,0.0,2402.616162823162,-36.03924244234744,-3276.872615,469.92106936857164,0.0,-0.0,0.0,0.0,0.0,0.0,12.544716073775774,-4.539242442347435,-477.926543,4546.24222249098,0.0,-0.0,0.0,0.0,0.0,0.0,-3471.0706094909797,-0.0,-1075.171613,1211.2351999999998,8.470491421143855,-41.52950857885615,0.0,0.0,0.0,0.0,4281.276124157712,-0.0,-5459.452307,2796.36,0.49240180367418956,-681.4339677481884,0.0,0.0,0.0,0.0,-1302.5858571024048,-2.6582919530810187,-810.174285,6089.516975021595,135.26240630183307,-445.13759369816694,0.0,0.0,0.0,0.0,-460.1781585517198,-12.720543073540588,-5306.743086,961.8270669986957,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1606.122641,1304.8872500313098,0.0,-0.0,0.0,0.0,0.0,0.0,-16.709559636758453,-0.2506433945513768,-1287.927047
t5,4930.8448020572405,47.493774176663784,-4.5062258233362105,0.0,0.0,0.0,0.0,-3100.6410394105683,-31.5,-1841.691311,167.20921358943212,0.0,-0.0,0.0,0.0,0.0,0.0,1000.641039410568,-0.0,-1167.850253,878.8789313914394,93.42771442297773,-676.5722855770222,0.0,0.0,0.0,0.0,3024.822944936655,-45.37234417404982,-3275.184961,310.19346135724254,0.0,-0.0,0.0,0.0,0.0,0.0,177.98376281680862,-13.872344174049823,-474.30488,4187.72443218925,0.0,-0.0,0.0,0.0,0.0,0.0,-3117.1310591892507,-0.0,-1070.593373,1228.1904000000002,22.920202556325833,-27.079797443674174,0.0,0.0,0.0,0.0,4203.970861887348,-0.0,-5428.001667,2584.53,284.5039664799876,-397.422403071875,0.0,0.0,0.0,0.0,-1658.9409428947608,-7.960583513352007,-804.710037,6389.286329980291,266.05784540727905,-314.342154592721,0.0,0.0,0.0,0.0,-1137.4610226561733,-18.48246713867781,-5185.058531,912.1891109986954,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1556.484685,1345.659583527258,0.0,-0.0,0.0,0.0,0.0,0.0,-47.3517266278403,-0.7102758994176044,-1297.597581
t6,4955.012330795986,52.0,-0.0,0.0,0.0,0.0,0.0,-3093.8871487959855,-31.5,-1881.625182,176.17553620401486,0.0,-0.0,0.0,0.0,0.0,0.0,993.8871487959851,-0.0,-1170.062685,758.86497479691,382.428608258151,-387.571391741849,0.0,0.0,0.0,0.0,2704.0233336921706,-40.56035000538256,-3417.185175,289.78695367183275,0.0,-0.0,0.0,0.0,0.0,0.0,213.16014133354977,-9.060350005382558,-493.886745,4292.078216812115,0.0,-0.0,0.0,0.0,0.0,0.0,-3196.7352868121147,-0.0,-1095.34293,1144.9632000000001,39.96712418151229,-10.032875818487712,0.0,0.0,0.0,0.0,4423.135401636974,-0.0,-5598.03285,3286.7939417303564,0.0,-681.9263695518624,0.0,0.0,0.0,0.0,-1766.4589099804416,-4.156870198052076,-834.251792,6231.09130506971,266.05784540727905,-314.342154592721,0.0,0.0,0.0,0.0,-893.1013310013677,-14.540435882900022,-5275.165229,917.2578069986952,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1561.553381,1356.1517665549231,0.0,-0.0,0.0,0.0,0.0,0.0,-38.13053059598344,-0.5719579589397517,-1317.449278
t7,5214.864058137392,0.0,-52.0,0.0,0.0,0.0,0.0,-3193.4417711373917,-31.5,-1937.922287,79.94273086260851,0.0,-0.0,0.0,0.0,0.0,0.0,1093.4417711373917,-0.0,-1173.384502,603.8620751265285,727.755467158079,-42.24493284272096,0.0,0.0,0.0,0.0,2368.0872655412322,-35.52130898311848,-3621.938566,277.40721345514635,0.0,-0.0,0.0,0.0,0.0,0.0,261.35509852797145,-4.021308983118479,-534.741003,3688.800381764472,0.0,-0.0,0.0,0.0,0.0,0.0,-2538.071584764472,-0.0,-1150.728797,1285.6512000000002,16.16360965236563,-33.83639034763437,0.0,0.0,0.0,0.0,4708.6292206952685,-0.0,-5976.60764,3711.4094090315093,258.1963817157712,-423.72998783609125,0.0,0.0,0.0,0.0,-2646.634945087502,-0.8004758236874765,-898.440382,6287.885590603609,318.4408610051993,-261.9591389948007,0.0,0.0,0.0,0.0,-711.8185345950803,-10.677278018926206,-5621.8715,969.8894339986955,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1614.185008,1350.5882725139616,0.0,-0.0,0.0,0.0,0.0,0.0,4.346297955369143,-0.06519446933053714,-1354.869376
t8,4750.918633201471,28.386826754405313,-23.613173245594684,0.0,0.0,0.0,0.0,-3097.7504857102813,-31.5,-1626.441801,161.7395302897187,0.0,-0.0,0.0,0.0,0.0,0.0,997.7504857102812,-0.0,-1159.490016,1583.4398500418786,200.0,-570.0,0.0,0.0,0.0,0.0,1420.3197359193318,-41.69520396121003,-2592.064382,835.8800249091116,0.0,-0.0,0.0,0.0,0.0,0.0,-414.3091219479017,-10.195203961210026,-411.375699,3108.266475822449,0.0,-0.0,0.0,0.0,0.0,0.0,-1976.2463538224492,-0.0,-1132.020122,1222.6432000000002,50.0,-0.0,0.0,0.0,0.0,0.0,4504.9179300000005,-0.0,-5777.56113,2301.7745039711654,310.32,-371.6071028221839,0.0,0.0,0.0,0.0,-1434.682190148981,-0.0,-805.805211,5872.680308908698,580.4,-0.0013714555765197568,0.0,0.0,0.0,0.0,-654.1071817272128,-9.811607725908193,-5789.160148,1045.8267589986954,0.0,-0.0,0.0,0.0,0.0,0.0,654.1071817272128,-9.811607725908193,-1690.122333,1434.91342,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1434.91342
