Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,1132.4932543726268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,1132.4932543726243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,1202.82191218929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,1204.8679494118692,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,1205.5692106033514,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,1205.5692106033514,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,1201.5772059462515,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.056523099615,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1391.5855834381023,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,993.4449558499915,0.0
AnnualSum,1.11895945315404e6,743987.7163106557,1.7417174438721153e6,227922.97653562695,533778.5077624817,2.828363389162297e6,505041.2151653674,2.866048355016596e6,901525.9579751253,739921.4641197341,1.220726647907404e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9454134159824,0.0,440.9454134159824
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.63759573292528,440.9454134159824,0.0,458.58300914890765
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1147.848608357441,0.0,0.0,1147.848608357441
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1008.1756846324739,440.9454134159824,0.0,1449.1210980484564
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.6368872753013,440.9454134159824,0.0,1138.5823006912838
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,830.9485370924631,0.0,0.0,830.9485370924631
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9454134159824,0.0,440.9454134159824
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9454134159824,0.0,440.9454134159824
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.592245082548,0.0,129.592245082548
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,0.0,104.66448345794659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.66448345794659
t42,393.36499188282716,244.62334202617095,0.0,0.0,0.0,28.55432805577496,0.0,0.0,0.0,0.0,666.5426619647731
t43,0.0,231.73190181216208,0.0,0.0,0.0,123.44201661356067,0.0,0.0,0.0,0.0,355.1739184257227
t44,279.13210477515736,244.62334202617095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,523.7554468013283
t45,111.6764043507129,244.62334202617095,0.0,0.0,0.0,43.07410263414332,0.0,0.0,0.0,0.0,399.3738490110272
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.73818431653204,0.0,90.73818431653204
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0687812035255,0.0,0.0,789.0687812035255
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0238644698615,0.0,0.0,981.0238644698615
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9454134159824,0.0,440.9454134159824
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.9454134159824,0.0,440.9454134159824
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,11.479913256131026,0.0,0.0,0.0,0.0,1249.5801875070579
t66,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,1570.5969846459645,0.0,0.0,0.0,0.0,2808.697258896891
t67,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,945.046761765264,0.0,0.0,0.0,0.0,2183.1470360161907
t68,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t69,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t70,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t71,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,0.0,0.0,0.0,3176.8444808930835
t72,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,128.43257312717446,1620.3976082862503,0.0,0.0,0.0,0.0,2986.9304556643515
t73,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1037.9280414662458,0.0,0.0,0.0,0.0,2594.374914073079
t74,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,1132.8021520474426,0.0,0.0,0.0,0.0,2370.9024262983694
t75,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,816.4648299940808,0.0,0.0,0.0,0.0,2372.911702600914
t76,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,577.9275342933214,0.0,0.0,0.0,0.0,2134.3744069001546
t77,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,799.9914725690376,0.0,0.0,386.438702916793,0.0,2424.5304497367574
t78,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1097.8519327680056,0.0,385.62374477204287,440.9454134159824,0.0,3480.8679635628637
t79,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,1266.6640218034138,440.9454134159824,0.0,4884.453916112479
t80,462.31685606263466,244.62334202617095,449.41820000000007,81.74187616212116,0.0,1620.3976082862503,0.0,1266.6640218034138,440.9454134159824,0.0,4566.107317756573
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0709890799585,397.32393520917736,0.0,1420.3949242891358
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,462.31685606263466,244.62334202617095,571.670585803849,81.74187616212116,318.34659835590634,1620.3976082862503,0.0,862.290614337645,0.0,0.0,4161.387481034577
t90,462.31685606263466,244.62334202617095,2918.79017449651,81.74187616212116,318.34659835590634,1620.3976082862503,233.2447035413192,1266.6640218034138,228.36577094426718,0.0,7374.490951678593
