Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,Total
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10,0
AnnualSum,447896.70641268103,0.0,0.0,0.0,71746.44235260654,0.0,3.508155053499601e6,889297.9487525354,0.0,6.733899250874619e6,0.0,0.0,0.0,0.0,0.0,0.0,2.733992805640929e6,1.6816867630438078e6,3.075202363801418e6,508355.8980367638,1.3064638527345743e6,6.920372360137884e6,1.1576985907872256e6,6.307950223584175e6,1.9192227891424177e6,1.2345394378691048e6,3347.6415991606736,97512.9510810367,831488.564768352,34657.29041210519,12.032967032967036,1648.5915766959633,54911.35852407118,494910.72845252685,201152.13788425352,403549.2620790471,0.0,3.5140997269504094e6,2.2601418845306006e6,996577.145961907,283801.12719011947,982062.6919033559,5.372994267122661e6,1.1246071460443598e6,1.376794585168474e6,1.6181133120680453e7,2.9368880047269952e6,0.0,1.089007945250278e7,630608.3833903358,0.0,1.3963940360930457e6,4.742464471047276e6,0.0,4.781433384467794e6,1.513324542595839e7,7.383988548416922e6,5.4981808927691495e6,547026.1831348028,1.932898025380128e7,1.530187550346301e7,2.0056326726906274e7,3.873394618670551e6,1.0207270195103906e7,6.978918133282573e6,1.1584162776745321e7,5.745660696934798e6,0.0,844205.0699375848,1.144360642408954e7,1.337738578735181e6,570049.1625066382,2.0046724088133844e6,1.0255520740458325e7,119768.1455819285,23872.152635743114,1.1976142774888226e6,0.0,0.0,859248.5717068815,585900.2391218732,1.148852651280687e6,1.065731699367354e6,0.0,0.0,0.0,4.408941688496037e6,1.5089301389446794e6,2.1383673735036454e6,0.0,1.7885349622924158e6,0.0,2.426835900795144e6,0.0,661301.51548056,6.06610690053405e6,7.192615526028898e6,2.773771945567815e8
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,518.4152020640398,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,939.5637999999998,4575.581999999999,1429.5865999999999,1407.7571432737036,184.33282551774812,4040.324215827721,3131.3789415415094,5647.632,1278.9808000000003,2807.775,1642.732,3043.456746662835,1830.132,0.0,140.17502211180718,371.9789999999999,46.62980539914061,145.62576,476.12750810217375,2103.3568999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.18265167257164,356.56803984366036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1284.176449277964,39848.593232955674
t2,0.0,0.0,0.0,0.0,34.60831286400001,0.0,237.5500367964817,0.0,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,889.3835999999999,4603.146,1656.3744,1039.8491418257238,192.38266716378595,3607.1430071876193,2849.839988273549,5818.344,1179.5088,2632.3439999999996,1438.3486,3258.3436507434376,1808.624,0.0,146.2492913770056,509.3395999999999,37.812343624385406,150.62628,482.4878698709619,2109.3116,43.34824090097057,0.0,0.0,0.0,0.0,0.0,0.0,50.76036619519542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1272.93554889357,37998.78416737748
t3,0.0,0.0,0.0,0.0,0.0,0.0,844.298632578,0.0,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,917.1302000000001,4434.684000000001,1919.9651999999999,951.9550034289362,188.6180290530292,3513.074350475789,2847.055205683165,5467.944,1195.6671999999999,2857.482,1517.8124000000003,3145.309430747944,1843.21,0.0,145.193630140074,620.7423999999999,34.3647659122236,154.45130400000002,486.9585355327206,2051.9128,0.0,4.031255654742672,0.0,0.0,0.0,0.0,0.0,251.22973827728723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1299.3097205626902,38642.5226237074
t4,0.0,0.0,0.0,0.0,3.9124692960000145,0.0,844.298632578,172.80506735467992,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,633.3731355219563,4462.23,1859.1614,1134.6550810109645,180.63673160879705,2646.5481856484007,2321.9055247043,5216.719999999999,1211.2351999999998,2796.36,1526.7096000000001,3189.2878334878556,1836.474,0.0,171.8389748204412,544.9711999999998,26.426898056802603,153.98611200000002,483.2922020601078,2066.9111,52.0,9.759920324866505,0.0,0.0,0.0,0.0,0.0,266.0574220797227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1291.5310177989973,37053.210530012686
t5,0.0,0.0,0.0,0.0,34.608312864000006,0.0,844.298632578,266.90744822371545,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,991.8383999999999,4550.898,2032.9392,686.507530202019,167.20921358943212,1399.2141724042547,1532.6827388699778,4785.472000000001,1228.1904000000002,2584.53,1667.471,3371.105572029091,1845.016,0.0,176.233836521424,372.96799999999996,20.910886994088003,149.702784,479.295844737464,2094.1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0574220797227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.069820960319,34784.39313771431
t6,0.0,0.0,0.0,0.0,0.0,0.0,844.298632578,78.70268648564443,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,979.5548,4435.74,2397.5568000000003,655.4354015493619,29.388996527505373,1208.1466397151778,1431.853076138872,4925.072,1144.9632000000001,2519.004,1586.6058,3297.1743112068634,1826.688,0.0,179.77820637488998,352.72339999999997,16.6726376068518,147.54936,486.1525882186969,2113.0467999999996,19.691404159333484,10.645544197958355,0.0,0.0,0.0,0.0,0.0,266.0574220797227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286.7230497197024,34189.34757821938
t7,0.0,0.0,0.0,0.0,48.0,0.0,1551.9250540000003,564.2630397984232,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34060163932959997,1.8665600418372001,1.6325629175413303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,944.5673999999999,4488.03,1793.1373883916413,1371.5485233324869,159.3515074279925,956.5011328595918,1370.6841073966275,4177.744,1285.6512000000002,2478.513,1718.1892,3218.2725183796333,1834.98,0.0,159.88697522713198,204.58499999999995,14.991044338015199,135.404304,486.77387292169175,2128.2221999999997,0.0,0.0,553.4403904045456,0.0,0.0,447.5937289317326,0.0,580.4,182.30771878946075,0.0,0.0,0.0,833.5018348274383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1347.411308368205,36989.83899565412
t8,0.0,0.0,0.0,0.0,17.304156432000006,0.0,1634.3735785779998,1163.787633748376,0.0,1950.1228216608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.5454394336997,343.3305938591073,163.54789456782487,43.9565084896042,170.945148627541,867.5740383785239,170.929,268.3348041561285,563.1600384625332,32.334475750230006,0.0,23.642944452810603,14.86669608,0.0,0.0,0.0,0.0,1023.2375999999998,3838.95,1465.8005999999998,626.6740358846351,117.7830218001145,1237.7935640476283,1968.4177991184138,3432.904,1222.6432000000002,2001.6629999999998,1293.5858000000003,2727.1148010575225,1798.948,0.0,146.40699327862077,17.792799999999996,0.390804767766,129.697008,490.4256702704043,2084.5038,52.0,10.645544197958355,0.0,0.0,0.0,-0.0008951856674387582,0.0,338.87376078095633,512.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.1316623082205,0.0,12.867513180274083,0.0,1441.242580193849,36028.678436377886
