Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42827720078145,56.42816434422694,-2.3891076950973957,-4.341300689067927,-4.3031765323325,-4.30318874401577,-3.8292989777510353,1.7030279697134756,-777.8673039208586,11.098253693148893,55.27883800960723,-0.0,-3.898001837105875,-6.012385034860959,-5.97116324333811,-3.365103147375759,-6.2058227193393485,0.6972330139264156,-843.0749898839052,-0.0,55.284366446251845,-6.205704230051094,10.440521204101042
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42839005756157,56.42827720078134,-2.389112473322342,-4.34130937168667,-4.303185138702777,-4.303197350410471,-3.829306636364308,1.7030313757762272,-777.8688596585778,11.099308002241738,55.28436644625186,0.0,-3.8983916762735027,-6.0129863334943074,-5.971760419380048,-5.970080219868253,-6.206443363675716,0.6971713319698424,-843.1593058144866,0.0,55.289895435795415,-6.206324862537348,10.441565360637105
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.428502914567396,56.42839005756145,-2.389117251556845,-4.3413180543227785,-4.303193745090269,-4.303205956822384,-3.8293142949928978,1.7030347818457907,-777.8704153994084,11.101394733928508,55.28989543579543,0.0,-3.8987815544289455,-6.013587692263534,-5.972357655145562,-5.970677287597013,-6.207064070082724,0.6972410560754498,-843.2436301775043,0.0,55.29542497829324,-6.206945557093057,10.442609621599265
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42861577179893,56.42839005756145,-2.3891220298009044,-4.341326736976253,-4.303202351494971,-4.30321456325151,-3.829321953636805,1.7026840760726578,-777.8719711433506,11.101416936762382,55.29542497829326,0.0,-3.8991714715761026,-6.014189111174652,-5.972954950640627,-5.971274415038517,-6.207684838566581,0.6973107871541653,-843.3279629738017,0.0,55.30095507380062,-6.207566313724429,10.443653986997965
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42827720078145,56.428502914567275,-2.3891268080545207,-4.341335419647091,-4.303210957916886,-4.30322316969785,-3.829329612296029,1.7003188253670074,-777.8735268904043,11.102471562211234,55.30095507380064,0.0,-3.899561427718875,-6.014790590233675,-5.9735523058712126,-5.9718716021987355,-6.2083056691334955,0.6973805252066859,-843.4123042042222,0.0,55.306485722372855,-6.208187132437672,10.444698456843648
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42839005756157,56.42793863179528,-2.389131586317693,-4.341344102335296,-4.303219564356015,-4.303231776161402,-3.8293372709705706,1.7003188253670074,-777.8750826405696,12.11102962407911,55.30648572237287,0.0,-3.8999514228611605,-6.01539212944662,-5.974149720843297,-3.367345630729025,-6.208926561789673,0.6974502702337093,-843.4966538696092,0.0,55.312016924065276,-6.208808013238995,10.445743031146762
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.428502914567396,56.42805148789825,-2.389136364590422,-4.341352785040866,-5.174740080705836,-3.645713082698261,-3.8293449296604294,1.699127893934495,-777.8766383938464,11.104581129538772,55.31201692406528,0.0,-3.900341457006861,-6.015993728819502,-5.974747195562853,-5.459325621365127,-6.209547516541328,0.6975200222359329,-843.581011970806,0.0,55.317548678933164,-6.209428956134609,10.446787709917755
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42827720078145,56.428164344226936,-2.02524179393776,-3.677978388947192,-4.307325583812632,-3.6457203741390094,-3.8293525883656065,1.6991312921970791,-777.8781941502345,11.10685621343684,55.317548678933164,0.0,-3.9007315301598773,-6.016595388358337,-5.975344730035857,-3.25097489363178,-6.210168533394667,0.6975897812140542,-843.665378508657,0.0,55.32308098703187,-6.210049961130721,10.447832493167072
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.42839005756157,56.428277200781324,59.93259745036322,-3.5513121580357105,-3.5190541432275353,-3.5190541432275353,19.828696359799583,15.401209654743054,-658.7853080197431,11.106691118843075,55.32308098703187,0.0,-3.9011216423241093,-6.017197108069143,-5.975942324268283,-3.251300023634143,-6.210789612355901,0.6976595471687711,-843.7497534840054,0.0,55.3286138484167,-6.210671028233545,10.448877380905161
