Resource,Zone,AnnualSum,Capacity,CapacityFactor
CNQ_RS,1,357430.7263110991,163.4,0.2497098796068036
GG_RS,2,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0
NNSW_RS,4,0.0,0.0,0.0
CNSW_RS,5,51343.83229291135,48.0,0.12210766812431555
SNW_RS,6,0.0,0.0,0.0
SNSW_RS,7,2.5472662084066505e6,2342.0,0.12416046701326058
VIC_RS,8,558633.126670725,2292.23,0.027820465167582825
SA_RS,9,0.0,0.0,0.0
TAS_RS,10,5.170910761108066e6,2294.2,0.25729518636773496
CNQ_COAL,1,0.0,0.0,0.0
GG_COAL,2,0.0,0.0,0.0
SQ_COAL,3,0.0,0.0,0.0
CNSW_COAL,5,0.0,0.0,0.0
SNW_COAL,6,0.0,0.0,0.0
VIC_COAL,8,0.0,0.0,0.0
CNQ_CCGT,1,1.495617611674233e6,1131.5708657746798,0.15088105326529364
GG_CCGT,2,941240.5165138377,598.742276634075,0.1794554213730773
SQ_CCGT,3,2.0124364515141798e6,1809.5554948168221,0.1269539338180258
NNSW_CCGT,4,440036.04020054947,299.02664893806667,0.16798644822733783
CNSW_CCGT,5,562229.1101641239,779.1879772370078,0.08236960418391567
SNW_CCGT,6,2.9899078768993714e6,3966.099657545856,0.08605776809671939
SNSW_CCGT,7,529902.2247706205,570.8918194578036,0.10595899168183767
VIC_CCGT,8,2.955587552772862e6,3712.808563790774,0.09087348123684497
SA_CCGT,9,977819.0436914465,1079.2619318878956,0.10342547550837371
TAS_CCGT,10,715617.1187400584,616.6143405957296,0.1324838663856607
CNQ_OCGT,1,0.0,212.885764918063,0.0
GG_OCGT,2,0.0,10410.688518616154,0.0
SQ_OCGT,3,0.0,4615.350183303328,0.0
NNSW_OCGT,4,0.0,1184.1779569599607,0.0
CNSW_OCGT,5,0.0,12.0,0.0
SNW_OCGT,6,0.0,1270.0,0.0
SNSW_OCGT,7,0.0,727.9190702985883,0.0
VIC_OCGT,8,0.0,4214.611449528866,0.0
SA_OCGT,9,0.0,2106.2942553574812,0.0
TAS_OCGT,10,0.0,2875.5504219403633,0.0
CNQ_BIO,1,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,1.012226704930283e7,8000.0,0.14443874214188065
CNQ_SQ3_SOLAR,1,7.173026414777693e6,3400.0,0.24083489171292682
CNQ_SQ4_SOLAR,1,229038.22715377374,423.0383483,0.06180507381145008
GG_SQ6_SOLAR,2,286379.73036465404,283.8224156227107,0.11518382003021685
SQ_SQ7_SOLAR,3,988886.7085099358,961.2040228137988,0.11744292354294988
SQ_SQ8_SOLAR,3,1.1202397219654597e7,7000.0,0.1826874954281602
NNSW_SN1_SOLAR,4,610887.8603040858,500.0,0.13947211422467942
NNSW_SN2_SOLAR,4,1.258847526617506e7,7000.0,0.2052915079284943
CNSW_SN3_SOLAR,5,1.0268523823339382e7,8000.0,0.14652573948829273
SNSW_SN5_SOLAR,7,3.050251883936024e6,3200.0,0.10881320932991133
SNW_SN9_SOLAR,6,1.874887110625993e6,1000.0,0.21402820897557354
VIC_SV2_SOLAR,8,5.908542640416254e6,5700.0,0.11833178403461413
VIC_SV6_SOLAR,8,3.5304016228250363e6,2000.0,0.2015069419420716
SA_SS3_SOLAR,9,3.069464721378423e6,4000.0,0.0875988790347738
SA_SS7_SOLAR,9,1.1488676078474703e6,700.0,0.18735610043174972
SA_SS5_SOLAR,9,3.9212841225143056e6,3000.0,0.14921172460100346
TAS_ST2_SOLAR,10,154913.01274604833,150.0,0.1178942258341331
CNQ_WQ1_WIND,1,5.232788788151439e6,1400.0,0.4266787987729555
CNQ_WQ2_WIND,1,1.4205408099402957e7,6000.0,0.2702703215259359
CNQ_WQ4_WIND,1,8.741530728127876e6,3800.0,0.26260306200817174
CNQ_WQ3_WIND,1,1.2390180305483365e7,5500.0,0.25716438990210816
GG_WQ6_WIND,2,8.678766350298395e6,3500.0,0.28306478637633853
SQ_WQ8_WIND,3,2.2704902514916316e7,9000.0,0.28798709430386465
NNSW_WN2_WIND,4,1.7565093195815396e7,7400.0,0.27096589528285336
CNSW_WN3_WIND,5,1.8006917350391835e7,8000.0,0.2569480215523992
SNW_WN9_WIND,6,3.9638989614242082e6,1600.0,0.2828124259007045
SNSW_WACT_WIND,7,8.873608777697628e6,3000.0,0.3376563461833248
VIC_WV3_WIND,8,7.135211694498332e6,2600.0,0.31327764728215884
VIC_WV4_WIND,8,1.2826301073586173e7,4500.0,0.32537547117164856
VIC_WV5_WIND,8,5.609122563407121e6,2000.0,0.3201553974547497
VIC_WV7_WIND,8,9.725554608125433e6,2712.409156516665,0.40931255747832435
SA_WS1_WIND,9,2.7419669453179003e6,1100.0,0.2845544775132779
