Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10
cTotal,1.6062969142391861e10,2.0607498212084274e10,6.32226084088653e9,1.4912199223258646e10,1.6479350770454119e10,4.870571419506101e9,3.1158534580935144e9,5.465592763431536e9,1.9498183221310146e10,8.256610875291379e9,3.9356782775677176e9
cFix,1.0201611538403178e11,2.045368846617463e10,6.228611174455469e9,1.4710355239488127e10,1.6433973453514624e10,4.813587665018739e9,2.8202113672257047e9,5.392456402071378e9,1.9187804241799183e10,8.158675975050691e9,3.81675139923322e9
cVar,1.9512399550672194e8,1.8148254825125184e7,8.273504140156609e6,1.930392299947439e7,5.734470077829802e6,6.332533952676029e6,2.6281290237945464e7,2.5397469930572357e7,3.0455282387845103e7,9.391430196340919e6,4.5805836758756675e7
cFuel,1.252559682345477e9,1.3566149108452338e8,8.53761622909042e7,1.8254006077104527e8,3.964284686166736e7,5.065122053468592e7,2.693608006298642e8,4.773889142958517e7,2.7992369712311727e8,8.854347004434766e7,7.312104157574052e7
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-
cNetworkExp,7.730192420107445e9,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
