Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10
t1,136.0887020996,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780003,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3953.8877928433317,0.0,1156.2752151200025,285.4944,673.6247029063493,2198.1586951926674,0.0,14412.45986612688,0.0,8360.09951020409,13553.348000926899,9064.027525287918,0.0,6069.257776771316,5587.106949651328,8820.677278838079,0.0,0.0,279445.1386152379,38462.88939498326
t2,68.0443510498,0.0,0.0,0.0,34.60831286400001,0.0,1688.5972651560005,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.5653948047193,0.0,2570.2562797949763,415.3662484126841,1249.4806612793257,1555.791148515851,0.0,14411.018620140267,0.0,8359.26350025307,13551.992666126807,10094.693320185424,0.0,5474.913280437892,4958.143847745114,8756.274101537158,0.0,0.0,280423.8704439018,38900.62198978578
t3,68.0443510498,0.0,0.0,0.0,30.695843567999997,0.0,844.298632578,172.80506735467998,0.0,2294.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4613.216103719869,0.0,2025.8161142160814,103.57961478779595,705.0068059527184,1532.4945368744843,0.0,14409.577518278253,0.0,8358.427573903045,13550.637466860195,11125.256048503441,0.0,6056.803694398973,4329.243642149089,8961.951652118021,0.0,0.0,281402.50439938286,37992.47097678108
t4,68.0443510498,0.0,0.0,0.0,48.0,0.0,1688.597265156,172.80506735467998,0.0,2294.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3689.84273486443,0.0,3751.503819599728,389.0738076285664,500.71565258106745,2156.3907635564483,0.0,14408.136560526425,0.0,8357.591731145656,13549.282403113508,9696.361934455635,0.0,6638.635919318656,3700.4063265736263,8360.130991752063,0.0,0.0,282381.0404914683,37318.3569158905
t5,136.0887020996,0.0,0.0,0.0,17.304156432000006,0.0,1091.1062882953781,218.56919174384072,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.75010117118205,0.0,0.0,6437.410018245473,0.0,1712.6355450704978,51.768681654864224,715.368420578106,2054.8071864897247,0.0,14406.695746870373,0.0,8356.755971972541,13547.927474873199,8267.610709819237,0.0,5831.829626260809,4154.0584585910965,7300.471449241124,0.0,0.0,284086.80238741916,38080.22164687138
t6,163.4,0.0,0.0,0.0,17.304156432000006,0.0,1935.4049208733782,391.37425909852067,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996.044844446995,113.55743365910755,0.0,4671.406486330764,0.0,934.6269542928355,241.67728430995962,1812.801812994325,1532.4853419256533,0.0,14405.255077295687,0.0,8355.920296375345,13546.572682125712,6839.0023603053,0.0,5025.104013832268,3816.712002077646,6240.917872684436,0.0,0.0,285792.3937071804,38511.260283369294
t7,163.4,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780001,564.1793264532007,0.0,2294.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.0932745460536,221.86414355394126,0.0,0.0,0.0,934.625085038927,276.1406860529683,705.0115385894602,1555.809254432506,0.0,14403.814551787958,0.0,8355.084704345707,13545.218024857499,6521.258576700243,0.0,4218.459073964969,4270.352503527566,5181.4702514854025,0.0,0.0,287497.8144678096,38533.921201806916
t8,163.4,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780001,736.9843938078806,0.0,2294.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.089058359505,221.86369982565418,0.0,0.0,0.0,934.623215788757,51.76837104339553,500.711646867864,1532.4792119904157,0.0,14402.37417033278,0.0,8354.249195875273,13543.863503055014,6520.606450842573,0.0,4444.153278110832,4723.947640927341,4221.481216751119,0.0,0.0,287469.06468636286,37783.178838100415
t9,68.0443510498,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780001,909.7894611625605,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2108.0848421813885,221.86325609825454,0.0,2782.6240452396123,0.0,1723.497654908883,293.44591825552345,767.2902072429728,1552.2258065734857,0.0,14400.933932915746,0.0,8353.413770955685,15455.009116704709,7164.348746722486,0.0,5026.146768072144,5177.4974188133765,4649.860158079522,0.0,0.0,287971.72195428325,36404.195260996006
