Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
15000,1,1,1,11,168,1010.7692307692308,1,1324.534689,1097.274507,3191.44915,586.913186,1008.660359,6390.553913,945.124872,5047.269624,1798.828264,1240.131775
,,,,,,842.3076923076924,2,1280.215802,1094.822528,3034.557787,566.876193,983.330836,6216.551046,914.893562,4737.167798,1609.716192,1228.818973
,,,,,,842.3076923076924,3,1309.706632,1096.454132,3138.957445,528.239958,934.489263,5881.030675,856.600157,4421.446982,1487.31929,1216.202831
,,,,,,1347.6923076923078,4,1316.652379,1096.838411,3163.546296,508.982334,910.144947,5713.795813,827.544724,4298.384799,1396.429501,1220.261338
,,,,,,1347.6923076923078,5,1354.346437,1098.923866,3296.985861,522.719953,927.511203,5833.094451,848.271704,4324.767962,1376.105831,1244.60636
,,,,,,168.46153846153848,6,1443.72728,1103.868935,3613.39929,591.309814,1014.218315,6428.734638,951.758402,4812.867608,1427.648337,1320.899355
,,,,,,1010.7692307692308,7,1647.665915,1115.312825,4339.311319,719.644407,1177.380838,7549.840391,1146.132942,5880.343538,1581.321782,1443.779062
,,,,,,673.8461538461539,8,1516.69905,1110.378701,3932.572982,674.411387,1232.780237,7960.698847,1168.270911,6669.739618,1764.317827,1600.148029
,,,,,,1179.2307692307693,9,1196.875998,1094.676619,2849.413049,525.928047,1168.588628,7552.960138,1043.403824,6687.117412,1719.681441,1636.773944
,,,,,,168.46153846153848,10,945.635549,1082.126359,1993.226321,387.278607,1074.400054,6927.740319,899.310478,6381.921153,1274.874886,1575.506639
,,,,,,168.46153846153848,11,784.794623,1074.023379,1443.422029,243.581061,957.562126,6142.552613,734.540122,6073.209147,757.749181,1493.07449
,,,,,,,12,727.770635,1071.105189,1247.379814,193.271285,899.63187,5746.121941,663.184725,5887.74725,599.49496,1444.963494
,,,,,,,13,750.047971,1071.974095,1317.295195,194.475745,879.960701,5605.28759,647.986676,5712.383605,599.683204,1423.066265
,,,,,,,14,841.362761,1076.328748,1623.391668,226.131545,882.838596,5615.065486,665.930972,5671.984099,521.797129,1404.55018
,,,,,,,15,1060.017347,1086.805752,2357.566669,358.938549,957.973833,6106.258024,791.842049,6011.592129,878.726152,1456.953869
,,,,,,,16,1281.082995,1097.468047,3101.554842,517.382769,1061.980964,6794.836323,953.594181,6154.830076,911.025994,1485.795169
,,,,,,,17,1557.707405,1111.001081,4037.225926,717.517379,1211.045707,7790.884047,1172.110135,6590.558813,1318.978926,1570.992255
,,,,,,,18,1775.918249,1122.277918,4790.11903,897.710623,1401.551509,9089.545359,1414.048421,7317.446138,1939.209247,1627.08413
,,,,,,,19,1805.436073,1123.880772,4893.869894,914.08826,1422.255111,9231.770124,1438.758594,7325.35846,2201.180528,1600.680906
,,,,,,,20,1766.382449,1121.720098,4755.617069,878.927711,1377.807297,8926.432945,1385.709224,6996.864242,2141.30977,1554.13412
,,,,,,,21,1719.533962,1119.128167,4589.77,835.455141,1322.851934,8548.913466,1320.11888,6595.261607,2058.753052,1498.942566
,,,,,,,22,1617.563024,1113.486541,4228.786615,766.525559,1235.715371,7950.323135,1216.119624,6121.425675,1945.889252,1424.759887
,,,,,,,23,1539.60107,1109.173231,3952.796643,708.045992,1161.788992,7442.481253,1127.887037,5559.868388,1811.650123,1327.594512
,,,,,,,24,1475.871897,1105.647362,3727.221015,644.832084,1081.877998,6893.526997,1032.51155,5597.258575,1918.908022,1259.567648
,,,,,,,25,1422.987222,1102.721474,3539.909276,585.483287,1006.853592,6378.139991,942.967987,5218.51288,1776.972945,1233.552093
,,,,,,,26,1382.899809,1100.503605,3398.014615,540.264269,949.690376,5985.453799,874.742585,4843.345878,1611.362913,1212.497406
,,,,,,,27,1363.831761,1099.44865,3330.514066,493.303773,890.32573,5577.644625,803.889708,4552.988352,1498.5088,1210.950925
,,,,,,,28,1360.844089,1099.283354,3319.93816,467.370771,857.542781,5352.440091,764.762611,4453.325369,1424.464016,1208.079864
,,,,,,,29,1417.008437,1102.390693,3518.760403,473.573619,865.384047,5406.306172,774.121319,4548.380588,1399.082074,1221.248615
,,,,,,,30,1568.754783,1110.786185,4055.942571,536.056045,944.370579,5948.909148,868.393309,5006.702421,1440.85843,1279.384194
,,,,,,,31,1806.568242,1124.142841,4902.707109,652.710765,1092.840502,6969.10222,1045.203633,6088.496139,1598.254469,1405.049306
,,,,,,,32,1695.890792,1120.42655,4570.109593,583.131538,1114.957312,7150.649369,1028.597016,6670.207208,1848.846773,1527.194139
,,,,,,,33,1367.450937,1104.265235,3456.865124,370.091017,990.357809,6333.638737,823.349035,5791.678221,1883.774713,1529.372612
,,,,,,,34,1105.200927,1091.091892,2561.354939,192.28046,861.355555,5473.216802,631.96529,4778.30765,1751.903795,1430.324302
