Time_Index,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
1,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.398738,0.268427,0.294173,0.418241,0.114052,0.10904,0.439271,0.068263,0.316959,0.712409,0.808879,0.903952,0.788268,0.588065,0.780765,0.924176,0.66253,0.57053,0.238522,0.478945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.365682,0.206406,0.146092,0.182383,0.108033,0.168233,0.559785,0.049918,0.329932,0.758504,0.830257,0.896281,0.810415,0.550977,0.839811,0.917173,0.702919,0.580727,0.355614,0.404173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.301078,0.114629,0.0965,0.041483,0.078026,0.338304,0.682695,0.030358,0.418352,0.777236,0.830445,0.901703,0.849503,0.545371,0.83231,0.908543,0.691985,0.555952,0.398242,0.397555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.289454,0.062593,0.078664,0.001774,0.063538,0.4877,0.787994,0.018674,0.455191,0.824115,0.824889,0.893597,0.798235,0.601248,0.778944,0.918715,0.709725,0.695012,0.445927,0.416272,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.257737,0.030533,0.080731,0.000754,0.07587,0.613708,0.72195,0.00653,0.448582,0.670084,0.817861,0.902098,0.788713,0.594138,0.748236,0.900467,0.760492,0.720857,0.52807,0.514985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255544,0.025283,0.053442,0.00175,0.05314,0.577086,0.774831,0.031744,0.45501,0.603799,0.826424,0.893076,0.713615,0.624953,0.755706,0.832603,0.76395,0.692844,0.667943,0.518671,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.002253,0.004327,0.000579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273179,0.022569,0.063639,0.004103,0.041653,0.657105,0.75549,0.027674,0.527034,0.711966,0.799402,0.904736,0.685924,0.608515,0.7497,0.795893,0.72658,0.734821,0.638461,0.522638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.310903,0.341911,0.359574,0.36613,0.386152,0.37823,0.35439,0.377841,0.07471,0.009857,0.343348,0.002888,0.018807,0.0,0.0,0.0,0.000757,0.158819,0.019779,0.082771,0.000461,0.035088,0.683336,0.537547,0.03872,0.486006,0.62903,0.827785,0.88706,0.566539,0.709023,0.823127,0.630512,0.470139,0.674499,0.671731,0.54893,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68957,0.732584,0.765956,0.765456,0.777142,0.764279,0.781941,0.810441,0.744806,0.086422,0.770768,0.131057,0.073566,0.099182,0.322821,0.289402,0.037156,0.035162,0.021109,0.012949,0.003163,0.025415,0.40998,0.419051,0.029939,0.377947,0.631074,0.72976,0.881838,0.458084,0.737513,0.690534,0.548268,0.403916,0.690762,0.672942,0.716615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.808226,0.787191,0.770262,0.763364,0.761486,0.765254,0.778698,0.78695,0.737386,0.410874,0.751041,0.493846,0.076313,0.301801,0.731634,0.680978,0.062473,0.005438,0.020306,0.035385,0.000172,0.039222,0.203428,0.415547,0.020561,0.295698,0.680635,0.566695,0.83775,0.425565,0.882451,0.636981,0.566471,0.303314,0.655924,0.7129,0.826363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81623,0.782385,0.761096,0.744073,0.738115,0.66686,0.718112,0.731703,0.689334,0.387078,0.697265,0.6296,0.35585,0.606356,0.731003,0.667917,0.054231,0.002958,0.049308,0.088327,0.02817,0.072074,0.250352,0.603026,0.031588,0.53003,0.454325,0.577991,0.762106,0.410887,0.872344,0.666807,0.512217,0.412054,0.815905,0.801261,0.929666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.768589,0.779203,0.726406,0.720373,0.714832,0.585114,0.681114,0.695043,0.649095,0.517034,0.650841,0.589052,0.130925,0.499266,0.654983,0.622645,0.088363,0.005206,0.063958,0.10276,0.11494,0.105627,0.305753,0.722848,0.060767,0.820599,0.557411,0.581655,0.781356,0.49942,0.835578,0.779799,0.38093,0.490798,0.873573,0.784781,0.915981,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77453,0.567223,0.698706,0.723699,0.666763,0.614795,0.671952,0.707417,0.648725,0.508711,0.658139,0.379008,0.156578,0.457113,0.614312,0.570352,0.124101,0.001371,0.063173,0.115395,0.156332,0.189812,0.463714,0.792337,0.091412,0.848515,0.438826,0.593077,0.76239,0.438978,0.835968,0.588443,0.33726,0.466779,0.893164,0.843061,0.910629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
