Resource,WACC,Capital_Recovery_Period,Lifetime,Min_Retired_Cap_MW,Min_Retired_Energy_Cap_MW,Min_Retired_Charge_Cap_MW
CNQ_COAL,0.07,35,35,3060,0,0
GG_COAL,0.07,35,35,1850,0,0
SQ_COAL,0.07,35,35,3292,0,0
CNSW_COAL,0.07,35,35,4040,0,0
SNW_COAL,0.07,35,35,4200,0,0
VIC_COAL,0.07,35,35,4630,0,0
CNQ_CCGT,0.07,30,30,0,0,0
GG_CCGT,0.07,30,30,0,0,0
SQ_CCGT,0.07,30,30,0,0,0
NNSW_CCGT,0.07,30,30,0,0,0
CNSW_CCGT,0.07,30,30,0,0,0
SNW_CCGT,0.07,30,30,0,0,0
SNSW_CCGT,0.07,30,30,0,0,0
VIC_CCGT,0.07,30,30,0,0,0
SA_CCGT,0.07,30,30,0,0,0
TAS_CCGT,0.07,30,30,0,0,0
CNQ_OCGT,0.07,25,25,0,0,0
GG_OCGT,0.07,25,25,0,0,0
SQ_OCGT,0.07,25,25,0,0,0
NNSW_OCGT,0.07,25,25,0,0,0
CNSW_OCGT,0.07,25,25,0,0,0
SNW_OCGT,0.07,25,25,0,0,0
SNSW_OCGT,0.07,25,25,0,0,0
VIC_OCGT,0.07,25,25,0,0,0
SA_OCGT,0.07,25,25,0,0,0
TAS_OCGT,0.07,25,25,0,0,0
CNQ_BIO,0.07,30,30,0,0,0
CNQ_BATTERY,0.07,20,20,0,0,0
GG_BATTERY,0.07,20,20,0,0,0
SQ_BATTERY,0.07,20,20,0,0,0
NNSW_BATTERY,0.07,20,20,0,0,0
CNSW_BATTERY,0.07,20,20,0,0,0
SNW_BATTERY,0.07,20,20,0,0,0
SNSW_BATTERY,0.07,20,20,0,0,0
VIC_BATTERY,0.07,20,20,0,0,0
SA_BATTERY,0.07,20,20,0,0,0
TAS_BATTERY,0.07,20,20,0,0,0
CNQ_PH,0.07,80,80,0,0,0
GG_PH,0.07,80,80,0,0,0
SQ_PH,0.07,80,80,0,0,0
NNSW_PH,0.07,80,80,0,0,0
CNSW_PH,0.07,80,80,0,0,0
SNW_PH,0.07,80,80,0,0,0
SNSW_PH,0.07,80,80,0,0,0
VIC_PH,0.07,80,80,0,0,0
SA_PH,0.07,80,80,0,0,0
TAS_PH,0.07,80,80,0,0,0
CNQ_RS,0.07,80,80,0,0,0
GG_RS,0.07,80,80,0,0,0
SQ_RS,0.07,80,80,0,0,0
NNSW_RS,0.07,80,80,0,0,0
CNSW_RS,0.07,80,80,0,0,0
SNW_RS,0.07,80,80,0,0,0
SNSW_RS,0.07,80,80,0,0,0
VIC_RS,0.07,80,80,0,0,0
SA_RS,0.07,80,80,0,0,0
TAS_RS,0.07,80,80,0,0,0
CNQ_SQ2_SOLAR,0.07,30,30,0,0,0
CNQ_SQ3_SOLAR,0.07,30,30,0,0,0
CNQ_SQ4_SOLAR,0.07,30,30,0,0,0
GG_SQ6_SOLAR,0.07,30,30,0,0,0
SQ_SQ7_SOLAR,0.07,30,30,0,0,0
SQ_SQ8_SOLAR,0.07,30,30,0,0,0
NNSW_SN1_SOLAR,0.07,30,30,0,0,0
NNSW_SN2_SOLAR,0.07,30,30,0,0,0
CNSW_SN3_SOLAR,0.07,30,30,0,0,0
SNSW_SN5_SOLAR,0.07,30,30,0,0,0
SNW_SN9_SOLAR,0.07,30,30,0,0,0
VIC_SV2_SOLAR,0.07,30,30,0,0,0
VIC_SV6_SOLAR,0.07,30,30,0,0,0
SA_SS3_SOLAR,0.07,30,30,0,0,0
SA_SS7_SOLAR,0.07,30,30,0,0,0
SA_SS5_SOLAR,0.07,30,30,0,0,0
TAS_ST2_SOLAR,0.07,30,30,0,0,0
CNQ_WQ1_WIND,0.07,25,25,0,0,0
CNQ_WQ2_WIND,0.07,25,25,0,0,0
CNQ_WQ4_WIND,0.07,25,25,0,0,0
CNQ_WQ3_WIND,0.07,25,25,0,0,0
GG_WQ6_WIND,0.07,25,25,0,0,0
SQ_WQ8_WIND,0.07,25,25,0,0,0
NNSW_WN2_WIND,0.07,25,25,0,0,0
CNSW_WN3_WIND,0.07,25,25,0,0,0
SNW_WN9_WIND,0.07,25,25,0,0,0
SNSW_WACT_WIND,0.07,25,25,0,0,0
VIC_WV3_WIND,0.07,25,25,0,0,0
VIC_WV4_WIND,0.07,25,25,0,0,0
VIC_WV7_WIND,0.07,25,25,0,0,0
VIC_WV5_WIND,0.07,25,25,0,0,0
SA_WS1_WIND,0.07,25,25,0,0,0
SA_WS3_WIND,0.07,25,25,0,0,0
SA_WS4_WIND,0.07,25,25,0,0,0
TAS_WT1_WIND,0.07,25,25,0,0,0
TAS_WT2_WIND,0.07,25,25,0,0,0
TAS_WT3_WIND,0.07,25,25,0,0,0
CNQ_PH_NEW,0.07,80,80,0,0,0
SNSW_PH_SNOWY,0.07,80,80,0,0,0
TAS_PH_NEW,0.07,80,80,0,0,0
