Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
15000,1,1,1,1,8760,8760,1,2521.746236,1704.810826,5000.584027,810.598375,1398.842085,8146.5974,1277.848148,8489.978475,2974.950593,1483.504004
,,,,,,,2,2436.979894,1700.121059,4698.214165,765.257557,1341.545748,7752.940613,1209.451918,7879.560473,2695.451727,1464.872537
,,,,,,,3,2407.339701,1698.481191,4592.96902,704.064715,1264.216735,7221.650602,1117.142568,7403.320898,2506.798311,1437.785014
,,,,,,,4,2383.236345,1697.147653,4507.775443,662.116854,1211.203685,6857.433963,1053.861897,7200.716964,2355.443043,1417.85107
,,,,,,,5,2418.999117,1699.126257,4636.37645,661.158802,1209.986568,6849.089059,1052.412683,7172.885384,2296.143959,1439.192643
,,,,,,,6,2578.270085,1707.938055,5205.78851,724.994562,1290.647116,7403.290777,1148.703719,7681.099783,2329.035414,1512.97998
,,,,,,,7,2844.105244,1722.877412,6161.902675,878.720812,1485.201121,8739.768658,1380.766154,8973.065823,2564.351447,1661.889374
,,,,,,,8,2542.515519,1711.223103,5236.497781,720.948491,1489.494432,8613.853787,1259.513484,10235.38816,2973.015411,1858.157601
,,,,,,,9,1936.696065,1682.894515,3228.52605,290.123846,1250.431203,6738.323361,784.657393,9002.854245,2721.631943,1728.933004
,,,,,,,10,1539.390587,1663.492346,1886.194151,0,1062.008182,5337.341937,447.042173,7216.365259,2065.864416,1537.171516
,,,,,,,11,1475.437834,1656.966376,1571.223038,0,902.524899,4815.360845,327.550037,7009.090504,1837.32469,1398.005056
,,,,,,,12,1492.539325,1654.81061,1541.739952,0,906.226122,4722.567385,320.582323,7004.096419,1466.206777,1400.853572
,,,,,,,13,1518.603454,1655.8263,1622.24465,0,937.097813,4729.103585,342.507644,7264.869302,1702.299925,1399.101298
,,,,,,,14,1518.553173,1657.641563,1674.612191,32.817661,967.860045,4839.605767,402.020458,7196.760563,1718.284374,1405.505579
,,,,,,,15,1637.947762,1665.705337,2142.054367,128.900727,1027.039875,5231.063899,527.02248,7378.692541,1804.110578,1420.524331
,,,,,,,16,2063.696191,1686.423417,3576.495595,427.649932,1218.955923,6678.684585,874.453694,8046.934157,1910.911525,1560.045133
,,,,,,,17,2671.613251,1715.025931,5595.277898,883.87413,1534.833976,9047.845073,1413.258,10165.65826,2317.852918,1728.682617
,,,,,,,18,3008.045971,1731.749172,6740.1294,1048.77115,1699.790932,10214.34745,1637.113824,11155.43655,3177.781042,1793.314823
