Time_Index,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ3_WIND,CNQ_WQ4_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNSW_WACT_WIND,SNW_WN9_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776592,0.76028,0.598105,0.328004,0.136212,0.271307,0.318481,0.602157,0.436498,0.238788,0.035023,0.209389,0.07365,0.087375,0.267187,0.264028,0.175866,0.131462,0.122768,0.283922
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748012,0.723545,0.461571,0.226229,0.126572,0.249836,0.338523,0.608746,0.413302,0.276658,0.058631,0.2585,0.03165,0.089235,0.293717,0.335404,0.260454,0.084755,0.12935,0.313511
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755429,0.680818,0.423122,0.193856,0.117222,0.283205,0.214824,0.659604,0.504674,0.243754,0.043959,0.244138,0.04078,0.035899,0.42514,0.4143,0.37081,0.12284,0.199377,0.431059
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75349,0.672021,0.381993,0.165815,0.127301,0.196594,0.233838,0.596715,0.519453,0.203035,0.059295,0.225796,0.000164,0.039341,0.33151,0.464074,0.38725,0.136227,0.206526,0.468489
5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69224,0.663402,0.328317,0.171338,0.09897,0.157555,0.185637,0.637592,0.579601,0.206056,0.064859,0.228376,0.001573,0.020186,0.366808,0.451321,0.310745,0.160075,0.336347,0.51054
6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744956,0.625574,0.325261,0.176594,0.088347,0.136173,0.221249,0.636198,0.533635,0.183851,0.057955,0.161979,0.00899,0.012444,0.367441,0.479924,0.302467,0.152112,0.37999,0.590552
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0,0,0,8.17E-04,0.003019,0,0,0,0,0,0,0,0,0,0,0,0,0.769078,0.6243,0.268647,0.173681,0.129132,0.171688,0.241521,0.720479,0.650334,0.186069,0.053151,0.193006,0.010662,0.011141,0.379409,0.376307,0.380011,0.162042,0.407171,0.584418
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.184369,0.126101,0.248776,0.225379,0.264639,0.147164,0.171639,0.160871,0.085176,0.014327,0.079495,0.003308,0.00695,0,0,0,0,0.826265,0.422758,0.27632,0.139789,0.062433,0.110107,0.206177,0.722035,0.694798,0.200198,0.082422,0.245083,0.051119,0.010099,0.53541,0.420263,0.508593,0.091937,0.345097,0.602733
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.413491,0.051062,0.341274,0.297088,0.500984,0.117372,0.308114,0.074429,0.31738,0.355501,0.082034,0.341149,0.352391,0.317911,0.334249,0.316889,0.158812,0.786571,0.471582,0.22559,0.137363,0.036023,0.02667,0.260216,0.615965,0.697883,0.142908,0.164377,0.244411,0.02633,0.017838,0.622301,0.388894,0.49115,0.088225,0.326856,0.654814
10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.416428097,0,0,0,0.360503259,0,0.360503259,0.075387316,0,0.850023024,0.437798,0.035193,0.463345,0.572561,0.606655,0.239851,0.427044,0.098715,0.419724,0.678909,0.087753,0.673088,0.666819,0.69408,0.745208,0.698098,0.285639,0.734755,0.560392,0.274252,0.165251,0.020084,0.002791,0.250714,0.695754,0.498856,0.222898,0.116579,0.160762,0.006989,0.026085,0.53371,0.195471,0.49509,0.086084,0.409729,0.775916
