Resource,ESR_1
CNQ_BATTERY,1
GG_BATTERY,1
SQ_BATTERY,1
NNSW_BATTERY,1
CNSW_BATTERY,1
SNW_BATTERY,1
SNSW_BATTERY,1
VIC_BATTERY,1
SA_BATTERY,1
TAS_BATTERY,1
CNQ_PH,1
GG_PH,1
SQ_PH,1
NNSW_PH,1
CNSW_PH,1
SNW_PH,1
SNSW_PH,1
VIC_PH,1
SA_PH,1
TAS_PH,1
CNQ_PH_NEW,1
SNSW_PH_SNOWY,1
TAS_PH_NEW,1
CNQ_RS,1
GG_RS,1
SQ_RS,1
NNSW_RS,1
CNSW_RS,1
SNW_RS,1
SNSW_RS,1
VIC_RS,1
SA_RS,1
TAS_RS,1
CNQ_SQ2_SOLAR,1
CNQ_SQ3_SOLAR,1
CNQ_SQ4_SOLAR,1
GG_SQ6_SOLAR,1
SQ_SQ7_SOLAR,1
SQ_SQ8_SOLAR,1
NNSW_SN1_SOLAR,1
NNSW_SN2_SOLAR,1
CNSW_SN3_SOLAR,1
SNSW_SN5_SOLAR,1
SNW_SN9_SOLAR,1
VIC_SV2_SOLAR,1
VIC_SV6_SOLAR,1
SA_SS3_SOLAR,1
SA_SS7_SOLAR,1
SA_SS5_SOLAR,1
TAS_ST2_SOLAR,1
CNQ_WQ1_WIND,1
CNQ_WQ2_WIND,1
CNQ_WQ4_WIND,1
CNQ_WQ3_WIND,1
GG_WQ6_WIND,1
SQ_WQ8_WIND,1
NNSW_WN2_WIND,1
CNSW_WN3_WIND,1
SNW_WN9_WIND,1
SNSW_WACT_WIND,1
VIC_WV3_WIND,1
VIC_WV4_WIND,1
VIC_WV7_WIND,1
VIC_WV5_WIND,1
SA_WS1_WIND,1
SA_WS3_WIND,1
SA_WS4_WIND,1
TAS_WT1_WIND,1
TAS_WT2_WIND,1
TAS_WT3_WIND,1
