Line,New_Trans_Capacity_p1,New_Trans_Capacity_p2,New_Trans_Capacity_p3
1,207.7731026661132,198.9619284925413,718.7530505314874
2,0.0,398.1416552436163,4843.713347994478
3,0.0,384.29779589103947,3039.32575118741
4,1643.9558477179728,1177.383955090205,3543.9142466115495
5,0.0,0.0,0.0
6,1622.2738660000005,1719.2255550187415,980.4534481928723
7,278.6452723047418,894.131136791723,541.796999877976
8,562.6476495790739,1528.3388131137729,1443.0864577579907
9,9.179031810425565,64.8926979254875,3200.679263939931
10,0.0,0.0,0.0
