Resource,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO
t1,12117.68736843189,0.0,19463.935327449424,0.0,35263.839962895116,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,13287.89374941904,0.0,17177.41889828077,0.0,31460.94281276598,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,7134.6619516302235,7488.8,11148.646548196273,0.0,25579.857319001203,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,14849.066008837937,2042.3999999999999,3545.351126069376,0.0,21631.063739875015,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,7713.429156760742,9531.2,0.0,0.0,23335.558211909327,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,862.883915694947,17020.0,2999.4767577746115,0.0,30217.814081343706,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,9678.136378076151,17020.0,0.0,4926.090009003577,38640.0,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3039.2368459339236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,15988.16549642476,4155.045855870167,4156.165723231898,30255.913702399994,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,8499.36549642476,0.0,0.0,13254.313702399997,0.0,0.0,0.0,0.0,1044.5325814554874,0.0,0.0,3782.6906498735502,0.0,5372.301768382465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,5571.523401244248,1010.5654964247603,0.0,0.0,7502.291367599999,0.0,0.0,0.0,0.0,2009.228975291435,0.0,0.0,1094.998834609526,0.0,3825.104771678482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,278.56447239998874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2194.1208856112557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.2769683034412,0.0,2421.8229772552877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,7488.8,0.0,0.0,9115.98976155549,8934.104359048233,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,3245.780520670177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,6352.97929608486,7488.8,5267.793263724239,14615.189164208528,26117.58976155549,12073.113998713832,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,6753.6133078847215,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,17281.082735767253,0.0,18593.80926372424,11535.806103424471,38640.0,12073.113998713832,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,17003.959111828965,0.0,18134.900046863942,22451.261045048377,38640.0,12073.113998713832,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,3568.822528067823,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,16095.72405347604,0.0,27113.46435181078,14506.205565903821,38640.0,11191.06048562558,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,316.3104707737748,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,9305.510654105754,6790.533310772909,27031.35480636607,0.0,38640.0,2256.956126577347,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,14279.333310772909,17524.454914590344,0.0,38640.0,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,2230.7955892252476,0.0,2705.7284920917677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,13428.711887265128,21510.69118137512,0.0,36777.396807115416,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,13006.628447049798,19244.159410880453,0.0,31222.59754132158,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,12386.88,5517.828447049797,14604.404569523447,0.0,27134.728544813323,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,9582.818514848967,27930.42056952345,0.0,19696.010991559284,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,6294.456362105622,24276.59052061079,0.0,21921.31943116159,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,6416.267926904813,25943.75735635562,0.0,19645.007284331285,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,6341.620778135221,28867.35368272552,0.0,21259.45527805643,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,13671.793153636736,30286.399999999998,0.0,24744.771993596078,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,12386.88,13377.863807584077,30286.399999999998,0.0,36039.756813199994,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,7018.450357074813,11108.961864574081,26048.661376659886,7281.500553699679,19038.156813199992,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,3620.16186457408,12722.64537665989,0.0,2036.5568131999958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,1196.291958085777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,220.0191930621765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,257.57500038186896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,266.29537773574776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,250.428979425868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,649.4348908409231,213.63515690809496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,5483.641281041392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,17870.52128104139,7488.8,13326.016,0.0,2117.8829455999903,0.0,0.0,0.0,0.0,1918.5647995920601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,22227.40094774276,0.0,26652.032,0.0,17258.70966493165,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,26028.532244070586,0.0,30286.399999999998,0.0,18928.88109224891,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,20066.13950620846,7488.8,30286.399999999998,0.0,16381.842672604438,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,28151.999999999996,459.5250885355358,30286.399999999998,0.0,13658.893819108207,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,17000.894013658202,7948.3250885355355,30286.399999999998,0.0,9746.940437256146,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,7637.5391949098175,15437.125088535537,30286.399999999998,0.0,5404.822585830241,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,10646.471867959908,7948.3250885355355,30286.399999999998,0.0,4408.624433498386,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,0.0,14412.878940057602,30286.399999999998,0.0,0.0,0.0,0.0,0.0,0.0,2035.9800692762606,0.0,0.0,1586.8405688197597,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,11486.085343901257,30286.399999999998,0.0,0.0,0.0,0.0,0.0,0.0,1158.1502593545606,0.0,0.0,3118.3648599760327,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t51,0.0,10258.356902478734,29608.55610061534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3782.6906498735502,0.0,4386.246306156151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t52,0.0,17020.0,24655.44050310969,0.0,0.0,0.0,0.0,0.0,0.0,1250.5598794213467,0.0,0.0,3782.6906498735502,0.0,652.6420718806703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t53,0.0,14474.495139171146,30240.01683815493,0.0,1857.1486626193612,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,350.8652137434608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t54,12386.88,6985.6951391711455,30286.399999999998,0.0,12492.585204728532,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,1624.4016441497718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t55,24773.76,3884.8732499571024,30286.399999999998,0.0,26040.28715661024,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,2039.7410559988004,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,12386.88,11373.673249957103,21605.611718526525,3752.8266596340513,21191.703114722968,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,7626.082477195531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,0.0,8511.900136516462,8279.595718526525,0.0,4190.103114722971,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,1127.4819578707834,0.0,197.65526172679367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,5686.256760832589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,861.4057675736517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,382.0347267675021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,321.8299365329416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,256.76320676632287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,181.1418493611095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,5.17543294569105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,0.0,7347.011320429724,0.0,3398.293626377572,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,12386.88,0.0,20673.027320429723,9075.171683479402,20399.893626377572,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t66,24773.76,0.0,25673.74664892334,6962.124766801404,37401.49362637757,0.0,0.0,0.0,0.0,2067.8608614400246,0.0,0.0,3782.6906498735502,0.0,7610.553026336679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
