Line,1,2,3,4,5,6,7,8,9,10
t1,929.6235773840579,0.0,0.0,630.2591332579555,-2700.0,2557.5278300766176,-822.0393304790593,-580.9226266827798,-471.1790318104256,0.0
t2,936.0192375780952,0.0,0.0,910.5497405900858,-2700.0,2796.8833489602184,-1148.6452723047419,-799.855365629736,-471.1790318104256,0.0
t3,167.7596817999728,0.0,0.0,1214.6138241185733,-2700.0,3100.611401195521,-1148.6452723047419,-449.39936794329526,-471.1790318104256,0.0
t4,781.4406208171208,0.0,0.0,1461.267811491783,-2700.0,3362.5932325788026,-1148.6452723047419,-1050.7163719907371,0.0,0.0
t5,-48.60136836644283,0.0,196.05960002837872,1498.0248904795803,-2700.0,3296.6207323142035,-1148.6452723047419,-670.8205962019579,-17.943625396574646,0.0
t6,-824.2442975587555,0.0,0.0,1350.5144363637999,-2700.0,3144.1896291582925,-1148.6452723047419,-784.8924589102054,-408.641005707714,0.0
t7,-796.1715483158148,602.3158294517706,0.0,1180.4123710800998,-2700.0,3349.8403909999997,0.0,-585.5150581300442,-471.1790318104256,0.0
t8,-720.7223436472322,0.0,1200.0,2380.770302967102,-2700.0,4672.012575,0.0,-965.3175768058126,-471.1790318104256,0.0
t9,46.3361649238294,0.0,1097.528104517185,2558.4057882342454,-2700.0,6112.273866,0.0,-716.3507917263008,-471.1790318104256,0.0
t10,827.7284299420545,0.0,776.8550311003864,2480.6180594120456,-2700.0,6112.273866,0.0,-1212.647649579074,-471.1790318104256,0.0
t11,883.3747110503127,-482.68099066766734,649.890164806067,2573.955847717973,-2593.565186975863,6112.273866,-302.5844240229698,-1203.5764185467187,-471.1790318104256,0.0
t12,883.5534785700814,-625.7152190373852,381.14077837146993,2573.955847717973,-2191.3796626469543,5746.121941,-374.17571370045954,-1157.21387868745,-471.1790318104256,0.0
t13,792.9596257030021,-1089.7668431571624,500.60371967156715,2573.955847717973,-1937.975314001392,5636.809392174038,0.0,-958.0824592600488,-471.1790318104256,0.0
t14,957.7731026661131,-894.6866707764601,798.068329164262,2573.955847717973,-1817.3075510891606,5665.065486,-126.11670171880202,-1088.6501620231654,-471.1790318104256,0.0
t15,597.8900967134914,-900.032936684454,454.78765626584516,2573.955847717973,-2390.724373954684,6106.258024,0.0,-1196.5529845938752,-471.1790318104256,0.0
t16,-149.58735601267975,0.0,958.1247452605008,2553.4586141798172,-2700.0,5803.967870657012,-293.82113003946955,-1212.647649579074,-471.1790318104256,0.0
