Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10
cTotal,2.0939463434863766e10,2.8812921097288193e10,5.979264343743865e9,1.175150439205383e10,1.1442483993028105e10,2.2997502039866364e10,9.522763096797253e9,3.689040101913033e9,2.4006741431394825e10,1.3752916436666046e10,3.2121909730806413e9
cFix,1.3239493023069345e11,2.8566224511882256e10,5.814922747479171e9,1.1371528228042635e10,1.138717387546966e10,2.2863886327222157e10,8.873867864699049e9,3.5806444765987697e9,2.336252172672412e10,1.3550733207512213e10,3.0234272650634294e9
cVar,3.325674863518128e8,2.7162066244305927e7,1.6102794859170338e7,3.8103789527340986e7,5.67112854503083e6,1.3926754250711966e7,5.982704101215592e7,2.949888464922084e7,7.02422537216788e7,1.981969893900522e7,5.221307460319303e7
cFuel,2.4398301887868776e9,2.1953451916163126e8,1.482388014055243e8,3.4187237448385435e8,4.963898901341368e7,1.1968895839349185e8,5.890681910860482e8,7.88967406650422e7,5.739774509490227e8,1.823635302148278e8,1.365506334140191e8
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-
cNetworkExp,4.133822392027142e9,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
