Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,836.6918877144446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,836.6907807522446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,901.0169960426641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,822.3802768763726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,821.8032883007686,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,822.3802768763728,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,822.3802768763728,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,966.1072431438454,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.6138517811194,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.3542388772527,0.0
AnnualSum,1.1083255553488054e6,748387.3266010587,1.7259513025797668e6,234327.82536047447,565008.5527009495,2.7807792009809692e6,372443.1547764299,2.9199658242909755e6,890995.295874659,612457.8705788591,1.1958641909092948e7
t1,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,3015.5154318713967
t2,363.95113900020084,314.42464053449527,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,3092.4045013739446
t3,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,807.7346976793539,0.0,0.0,0.0,0.0,2578.4459881460375
t4,363.95113900020084,237.53557103194697,748.3126092212262,109.72069730800773,56.0084273776842,332.197849929924,0.0,0.0,0.0,0.0,1847.72629386899
t5,363.95113900020084,237.53557103194697,495.50043564539595,109.72069730800773,56.0084273776842,491.2463732974585,0.0,0.0,0.0,0.0,1753.962643660694
t6,363.95113900020084,237.53557103194697,888.4648513482143,109.72069730800773,56.0084273776842,560.8752042174472,0.0,0.0,0.0,0.0,2216.555890283501
t7,363.95113900020084,237.53557103194697,947.1509251988214,109.72069730800773,56.0084273776842,1123.3483112499669,0.0,0.0,0.0,0.0,2837.715071166628
t8,0.0,129.53149979572274,0.0,0.0,56.0084273776842,507.610432665386,0.0,0.0,0.0,0.0,693.150359838793
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,363.95113900020084,237.53557103194697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.4867100321478
t18,363.95113900020084,237.53557103194697,373.49896190346675,0.0,56.0084273776842,0.0,0.0,0.0,0.0,0.0,1030.9940993132989
t19,363.95113900020084,237.53557103194697,477.7338699929492,0.0,56.0084273776842,0.0,0.0,0.0,0.0,0.0,1135.2290074027812
t20,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t21,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t22,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t23,363.95113900020084,237.53557103194697,1003.495455748844,0.0,56.0084273776842,0.0,0.0,0.0,0.0,0.0,1660.9905931586761
t24,363.95113900020084,237.53557103194697,1003.495455748844,0.0,56.0084273776842,0.0,0.0,0.0,0.0,0.0,1660.9905931586761
t25,363.95113900020084,237.53557103194697,1003.495455748844,78.20334281215148,56.0084273776842,0.0,0.0,0.0,0.0,0.0,1739.1939359708276
t26,363.95113900020084,237.53557103194697,915.672071891685,109.72069730800773,56.0084273776842,656.6118832827599,0.0,0.0,0.0,0.0,2339.4997898922848
t27,363.95113900020084,237.53557103194697,771.2410821541737,109.72069730800773,56.0084273776842,431.69364706208876,0.0,0.0,0.0,0.0,1970.1505639341021
t28,363.95113900020084,237.53557103194697,617.4484669346423,109.72069730800773,56.0084273776842,222.3572334742965,0.0,0.0,0.0,0.0,1607.0215351267784
t29,363.95113900020084,237.53557103194697,809.8961460204802,109.72069730800773,56.0084273776842,347.46878999008186,0.0,0.0,0.0,0.0,1924.5807707284018
t30,363.95113900020084,237.53557103194697,967.632285828965,109.72069730800773,56.0084273776842,40.3832027386368,0.0,0.0,0.0,0.0,1775.2313232854415
t31,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,542.920467454374,0.0,0.0,0.0,0.0,2313.6317579210577
t32,78.18183026079252,237.53557103194697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.7174012927395
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,363.95113900020084,237.53557103194697,820.2497165327792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1421.7364265649271
t42,363.95113900020084,237.53557103194697,265.9616460396158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.4483560717636
t43,363.95113900020084,237.53557103194697,179.41516064920276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,780.9018706813506
t44,363.95113900020084,237.53557103194697,572.4470806003272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1173.933790632475
t45,363.95113900020084,237.53557103194697,778.9174064391414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1380.4041164712892
t46,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t47,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t48,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t49,363.95113900020084,237.53557103194697,888.4747680385938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1489.9614780707416
t50,363.95113900020084,237.53557103194697,867.7073921997257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1469.1941022318736
t51,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t52,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t53,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t54,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t55,363.95113900020084,237.53557103194697,1003.495455748844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1604.9821657809919
t56,50.49724108930855,237.53557103194697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.0328121212555
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,290.9897764445609,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2942.5540693157564
t66,363.95113900020084,237.53557103194697,1040.035982824708,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,3052.0559589472605
t67,263.76297286351905,0.0,1190.5823313423905,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2864.878570296314
t68,0.0,164.11183010355023,1196.4718412912882,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2771.116937485243
t69,0.0,79.12276806983496,1169.0960446754284,109.72069730800773,258.95824875732603,1244.8041414047127,0.0,0.0,0.0,0.0,2861.70190021531
t70,0.0,58.431088014144095,1003.495455748844,109.72069730800773,543.5399911482732,1244.8041414047127,0.0,0.0,0.0,0.0,2959.9913736239814
t71,301.0326568446255,0.0,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2715.061378683874
t72,175.50559345490717,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2827.0698863261027
t73,344.7715499330566,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,2996.335842804252
t74,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,91.56428925363943,1244.8041414047127,0.0,0.0,0.0,0.0,3051.071293747352
t75,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1214.9739595412834,0.0,0.0,0.0,0.0,2985.685250007967
t76,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1045.4177912725766,0.0,0.0,0.0,0.0,2816.12908173926
t77,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,796.6359479706719,0.0,0.0,0.0,0.0,2567.3472384373554
t78,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,3015.5154318713967
t79,363.95113900020084,237.53557103194697,1003.495455748844,109.72069730800773,56.0084273776842,1244.8041414047127,0.0,0.0,0.0,0.0,3015.5154318713967
t80,363.95113900020084,237.53557103194697,217.6948155890047,109.72069730800773,56.0084273776842,510.09404531885093,0.0,0.0,0.0,0.0,1495.0046956256954
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,363.95113900020084,237.53557103194697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601.4867100321478
t90,363.95113900020084,237.53557103194697,771.8728473570253,0.0,0.0,432.9869257200741,0.0,0.0,0.0,0.0,1806.3464831092472
t91,363.95113900020084,237.53557103194697,212.20910645883993,0.0,0.0,763.015004338861,0.0,0.0,0.0,0.0,1576.7108208298487
t92,0.0,51.801149093556766,0.0,0.0,0.0,653.4286620842404,0.0,0.0,0.0,0.0,705.2298111777972
t93,0.0,0.0,0.0,0.0,0.0,172.41252742849215,0.0,0.0,0.0,0.0,172.41252742849215
t94,0.0,0.0,0.0,0.0,0.0,235.81431441510665,0.0,0.0,0.0,0.0,235.81431441510665
t95,0.0,0.0,0.0,0.0,0.0,35.67317306341587,0.0,0.0,0.0,0.0,35.67317306341587
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
