Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV7_WIND,VIC_WV5_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,Total
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10,0
AnnualSum,341618.91760729527,0.0,0.0,0.0,51711.066049414825,0.0,2.652484114034628e6,826244.3326866692,0.0,5.845098432999431e6,0.0,0.0,0.0,0.0,0.0,0.0,1.1450183863883151e6,794498.5866553482,1.9406951057029413e6,386262.08287012466,264112.0172497524,3.0061820763130398e6,537508.3909958489,3.000862433623843e6,944668.599027582,679496.219909395,164532.08297118914,101997.35662480457,0.0,0.0,238455.95891322667,0.0,0.0,111595.74696075867,10512.826053024995,19126.111508879254,6.296149867571829e-11,3.7291890959767923e6,4.0829523844169946e6,1.0703279865488943e7,742894.6362236257,466183.63314105925,2.3052027350359946e6,1.4435817334718704e7,2.6920631562626907e6,9.132645391711736e6,4.18872660875251e6,2.2321268065047897e6,6.48178646837928e6,4.457206006159755e6,3.8901831539614154e6,1.7212073420697274e6,5.9744639170647105e6,439703.12340280536,4.258749634303709e6,1.4701774450521134e7,9.243075029998872e6,1.827731090495252e7,9.783940065304203e6,1.8849053433681197e7,1.6234478600341102e7,1.750944660259754e7,3.1589441309826206e6,8.336061337159581e6,1.1123939898925887e7,9.59796908991412e6,7.380434710121814e6,0.0,2.6971472930917726e6,1.361821514396e7,2.285411058385514e6,1.9962035667939326e6,2.431579445020369e6,9.419342359053375e6,155880.17041203092,1.0763981820513424e6,583990.4884252457,4.204140884498714e6,0.0,4.669728457751806e6,827596.4089068222,1.5549292612071342e6,1.4055990584724504e6,0.0,2.6480146048002327e6,0.0,6.272090648227178e6,6.81556766763545e6,5.455871020818529e6,0.0,2.14133809224289e6,5.1663121774857445e6,2.7580411939869374e6,0.0,740232.4268077107,6.354815403648062e6,7.571836415810093e6,3.4204377182271475e8
t1,136.0887020996,0.0,0.0,0.0,34.60831286400001,0.0,844.298632578,172.80506735467992,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,805.9155999999999,2152.272,759.6579999999999,1786.7282455720604,804.9860000000001,3282.312,586.1022,26.408,33.638400000000004,0.0,3855.4316,3090.6476000000002,735.364,0.0,1004.7268,4209.087399999999,721.3336,205.77779999999998,724.7008000000001,2072.0861,-0.0003827203827105885,-0.0013348759230336071,0.0,-0.011467607310486258,0.0,761.8693343773164,-0.0011419776000076711,0.0,0.0,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,720.9920870808402,829.016253838345,0.0,0.0,250.0,0.0,627.5944601523364,40309.30824410809
t2,0.0,0.0,0.0,0.0,0.0,0.0,844.298632578,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,770.0559999999999,2060.2560000000003,821.4307999999999,2194.3126095701023,732.7355000000001,3336.1040000000003,549.4796000000001,5.624,4.768000000000001,0.0,3864.8357,3072.5222,645.044,0.0,997.1093000000001,4180.893999999999,729.5464000000001,197.2026,727.9744000000001,2106.0364,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011419776000076711,491.25056,209.22888103603907,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,720.9920870808402,1281.8843570286915,0.0,0.0,199.309929482497,0.0,0.0,39990.57345752538
t3,68.0443510498,0.0,0.0,0.0,17.304156432000003,0.0,844.298632578,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.5237999999999,1735.362,696.2664000000001,2719.7884602470835,690.403,2577.5280000000002,508.5206,10.848,1.0608,151.92,3863.2963,3049.0486,411.54400000000004,0.0,990.6468000000002,4145.3636,726.1928,269.23019999999997,738.2920000000001,2088.6576,0.0,0.0,0.0,0.0,0.0,42.313621100635636,-0.0011419776000076711,75.45510351488007,481.1204306135536,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,720.9920870808402,739.8395551587388,876.0127750304929,0.0,250.0,0.0,158.17844217972285,39647.729615734956
t4,68.0443510498,0.0,0.0,0.0,17.304156432000003,0.0,844.298632578,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.8422,1685.748,675.0206,1915.7483155683517,548.7755,2088.896,828.504,99.42399999999999,16.6816,354.68699999999995,3816.3747,3047.9673999999995,287.85,0.0,983.7091000000001,4231.9172,713.0000000000001,259.05240000000003,694.4272,2055.0085999999997,0.0,0.0,0.0,826.716387404111,0.0,0.0,-0.0011419776000076711,427.38520947479856,26.499457287827212,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,720.9920870808402,0.0,860.120910006273,0.0,250.0,0.0,0.0,38332.67250763121
t5,68.0443510498,0.0,0.0,0.0,17.304156432000003,0.0,844.298632578,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,697.8859999999999,1411.176,647.4021999999999,1816.3138019192404,351.92500000000007,2043.2959999999998,928.4188,144.40800000000002,13.328000000000001,650.5110000000001,3890.9754,3064.8891999999996,302.98199999999997,0.0,969.0956000000001,3950.1349999999993,717.528,303.84659999999997,730.3784,2114.8477,0.0,-0.0053394876737433705,0.0,543.1998547157605,0.0,949.2633415527846,-0.0011419776000076711,129.5108639301116,411.2915583526685,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,148.13992913474593,1479.605126361962,454.890461193371,0.0,250.0,0.0,0.0,39292.56313848198
t6,68.0443510498,0.0,0.0,0.0,17.304156432000003,0.0,1300.669938276697,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,258.77664283739483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,660.7411999999999,1266.3479999999997,791.3614,1342.3853626556674,308.0210000000001,1908.056,1427.7633999999998,299.312,42.019200000000005,1131.5729999999999,3810.4708,3010.4586000000004,248.516,0.0,946.8151,4215.9644,727.0920000000001,311.89559999999994,723.0864,2011.2050999999997,52.0,304.69787861671284,200.0,0.0,0.0,1422.539496433139,310.32,381.63230574782574,85.60275442718465,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,668.9556888834798,444.2067284993002,0.0,0.0,250.0,0.0,0.0,40195.51314658601
t7,163.4,0.0,0.0,0.0,48.0,0.0,1885.6286943013033,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3258,2.1867865547292817,2.2328542637108,2.6271509333,0.0,0.6297496429662133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.8722,1512.1799999999998,732.6286,1177.1507687355886,238.97999999999996,1783.568,1971.2046,406.10400000000004,62.265600000000006,1080.9540000000002,3927.8909,3024.453,239.41000000000003,0.0,974.6253000000002,4154.282999999999,731.2192,311.49,732.496,2140.2925999999998,43.67914720382721,362.7380225834905,167.99745600883213,1496.9611828740044,0.0,0.0,260.66713668708394,42.8327754971851,153.03165606454598,0.0,874.7507537113261,0.0,2000.0,2250.0,2000.0,0.0,302.4190321717893,470.9170537000329,0.0,0.0,250.0,0.0,0.0,42183.22515320272
t8,68.0443510498,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780001,172.80506735467998,0.0,1950.1228216608001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,949.2128195188152,625.7522975056929,2296.7961,241.1320792271952,165.64244068658581,638.92310697856,2163.714,606.2985680654103,427.7283571355947,94.34240000000003,350.65000000000003,21.093600000000002,82.054,0.0,0.0,0.0,1.0955,532.847,1061.97,641.0676,730.0101972757276,267.008,1777.952,1969.2066,341.48,87.50720000000001,1032.3120000000001,3965.6276999999995,3063.1382,332.894,0.0,913.5874,4153.841399999999,734.7744,343.4772,728.9128000000001,2109.652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.4,512.4287891569255,0.0,0.0,0.0,838.8969521044993,943.7590711175617,0.0,0.0,54.08700208721328,280.451193519673,714.4941298689743,0.0,0.0,0.0,0.0,40428.79313332371
