Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV7_WIND,VIC_WV5_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.5688794116069,-948.5688794116069,-977.0921214103344,-1006.4265870698632,-1009.3238752766803,-1006.3845430742741,-703.2243797353048,21.984419073660188,25.13455757398419,18.410301168031136,-646.6137155904726,20.259305403523054,-585.6666679614132,-595.2973880920417,-709.0914956278195,-0.0,-625.5770003049694,21.491747600596682,24.608123858619717,19.46232332735532,-722.1174427744987,-899.9315141051726,19.46232332735532
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-948.5707765531599,-948.5707749061579,-977.0940755984855,-1006.428599927063,-1009.325893928468,-1006.3865558473857,-703.2947564059726,21.98702899603118,25.134607843199873,18.410337988707113,-646.6783834288154,20.261331536676725,-585.7252404854615,-595.35692378442,-709.1624118690064,0.0,-625.6395642613954,21.49389699029571,24.610584917111428,19.464510604015317,-722.1896617406728,-900.0215162567981,19.464269754330747
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1009.6538282350631,-948.5726720515019,-977.0960297905451,-1006.43061746383,-1009.3279125842931,-1006.3885686245228,-703.3651401155025,21.987817151400332,25.136719328747006,18.41037480945673,-646.7430577345888,20.263357872463967,-585.7838188673484,-595.4164654309632,-709.2333352025266,0.0,-625.702134474843,21.49565471469401,24.6130462217336,19.46621637596835,-722.2618879294656,-900.1115274095391,19.466216375968344
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1009.6558475467581,-948.5745692006402,-1039.9700341581686,-1006.4326303290904,-1009.3299312441554,-1006.3905814056855,-703.435535876522,21.989745223913346,25.138585807031337,18.410411630279988,-646.8077385084398,20.265384410905057,-585.842403107659,-595.4760130322663,-709.3042656290894,0.0,-625.7647109459375,21.49733962156809,24.615507772510853,19.467476089349983,-722.3341213415998,-900.2015475642955,19.468163192287577
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1009.6578668624916,-948.576466353573,-1039.9721141023967,-1006.4346431983769,-1009.3319267842867,-1006.392594190874,-703.5059386778217,21.993054966133272,25.14180316723719,21.755264156556905,-646.8724257510147,20.26741115202026,-585.9009932069797,-595.5355665889252,-709.3752031494042,0.0,-625.8272936753051,21.499489570525146,24.617969569467796,19.46993788630694,-722.4063619777974,-900.2915767219677,19.470110203307904
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1009.6598861822639,-1009.6598875327156,-1039.974194050785,-1006.4366560716888,-1009.3339454521774,-1006.3946069800877,-703.575139775094,21.997027061171178,25.145651429843706,21.75530766717224,-646.9371194629609,20.26943809582984,-585.9595891658963,-595.5951261015354,-709.4461477641806,0.0,-625.8898826635714,21.50306814798054,24.620798898874412,19.473410693000105,-722.4786098387813,-900.381614883456,19.47205740904881
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1009.661905506075,-1009.6619068565291,-1039.976274003333,-1006.4386689490268,-1009.3359588893702,-1006.3966199415239,-703.5765469281879,21.997071055313285,25.14570172124715,19.94761462756724,-647.0018196449255,20.271465242354076,-586.0181909849948,-595.6546915706924,-709.5170994741281,23.773626735478928,-625.914601332128,21.505218669847523,24.62326122499691,19.475497652644417,-722.5508649252738,-900.471662049661,19.474004809529763
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-604.8197767854913,-205.4429000556367,-735.8269391852002,-757.820853527198,-644.3168603657643,-757.7711736979179,-641.3778469707831,23.684314196059482,25.150223987595393,22.685589016054823,-558.8008807257256,20.273492591613234,-570.5435966010316,-579.6843519524062,-664.0522800195527,23.776004335912518,-592.5773586143104,21.5073694067882,24.62572379737665,19.47757770229568,-558.8008807257256,-900.5617182214831,19.475952404770236
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.873456145149,22.638705064042995,24.636624723998093,26.364386672997938,21.10847766779746,26.41017281937888,26.40974239092444,27.595899129485243,30.001972395268265,22.685634387323592,-176.83110046142403,20.2755201436276,-181.6474113299891,-173.84028198519204,-176.53019496353335,23.77838217412993,-173.72776814858466,24.828363717343954,28.240494335510707,22.18715142417974,-176.81470065892677,-900.651783399823,19.47790019478972
