Resource,Zone,Model,New_Build,Can_Retire,Existing_Cap_MW,Max_Cap_MW,Min_Cap_MW,Inv_Cost_per_MWyr,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Heat_Rate_MMBTU_per_MWh,Fuel,Min_Power,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MAINT,Maintenance_Cycle_Length_Years,Maintenance_Duration,Maintenance_Begin_Cadence,region,cluster
CNQ_COAL,1,1,0,1,3060,-1,-1,0,64000,5.1,9.2,CNQ_CO,0,250,3,12,12,0.44,0.44,0,0.9,0.9,0,0,1,1,192,1,CNQ,
GG_COAL,2,1,0,1,1850,-1,-1,0,64000,5.1,9.2,GG_CO,0,250,3,12,12,0.44,0.44,0,0.9,0.9,0,0,1,1,192,1,SQ,
SQ_COAL,3,1,0,1,3292,-1,-1,0,64000,5.1,9.2,SQ_CO,0,250,3,12,12,0.44,0.44,0,0.9,0.9,0,0,1,1,192,1,GG,
CNSW_COAL,5,1,0,1,4040,-1,-1,0,64000,5.1,9.2,CNSW_CO,0,250,3,12,12,0.44,0.44,0,0.9,0.9,0,0,1,1,192,1,CNSW,
SNW_COAL,6,1,0,1,4200,-1,-1,0,64000,5.1,9.2,SNW_CO,0,250,3,12,12,0.44,0.44,0,0.9,0.9,0,0,1,1,192,1,SNW,
VIC_COAL,8,1,0,1,4630,-1,-1,0,163000,4.78,12.3,VIC_CO,0,250,3,12,12,0.74,0.74,0,0.9,0.9,0,0,1,1,192,1,VIC,3
CNQ_CCGT,1,1,1,1,244,-1,-1,145000,12530,8.79,7.7,QL_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,CNQ,1
GG_CCGT,2,1,1,1,180,-1,-1,145000,12530,8.79,7.7,QL_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,GG,1
SQ_CCGT,3,1,1,1,1100,-1,-1,145000,12530,8.79,7.7,QL_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,SQ,1
NNSW_CCGT,4,1,1,1,0,-1,-1,145000,12530,8.79,7.7,NSW_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,NNSW,2
CNSW_CCGT,5,1,1,1,0,-1,-1,145000,12530,8.79,7.7,NSW_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,CNSW,2
SNW_CCGT,6,1,1,1,501.77,-1,-1,145000,12530,8.79,7.7,NSW_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,SNW,2
SNSW_CCGT,7,1,1,1,0,-1,-1,145000,12530,8.79,7.7,NSW_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,SSNW,2
VIC_CCGT,8,1,1,1,21,-1,-1,145000,12530,8.79,7.7,VIC_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,VIC,3
SA_CCGT,9,1,1,1,713.4,-1,-1,145000,12530,8.79,7.7,SA_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,SA,4
TAS_CCGT,10,1,1,1,208,-1,-1,145000,12530,8.79,7.7,TAS_GA,0,15,2,4,4,2.2,2.9,0,0.9,0.9,0,0,1,1,192,1,TAS,5
CNQ_OCGT,1,1,1,1,120,-1,-1,85810,18080,12.57,11,QL_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,CNQ,1
GG_OCGT,2,1,1,1,0,-1,-1,85810,18080,12.57,11,QL_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,GG,1
SQ_OCGT,3,1,1,1,1600,-1,-1,85810,18080,12.57,11,QL_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,SQ,1
NNSW_OCGT,4,1,1,1,16,-1,-1,85810,18080,12.57,11,NSW_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,NNSW,2
CNSW_OCGT,5,1,1,1,12,-1,-1,85810,18080,12.57,11,NSW_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,CNSW,2
SNW_OCGT,6,1,1,1,1270,-1,-1,85810,18080,12.57,11,NSW_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,SNW,2
SNSW_OCGT,7,1,1,1,692,-1,-1,85810,18080,12.57,11,NSW_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,SSNW,2
VIC_OCGT,8,1,1,1,2400,-1,-1,85810,18080,12.57,11,VIC_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,VIC,3
SA_OCGT,9,1,1,1,2000,-1,-1,85810,18080,12.57,11,SA_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,SA,4
TAS_OCGT,10,1,1,1,178,-1,-1,85810,18080,12.57,11,TAS_GA,0,100,1,0,0,4,4,0,0.9,0.9,0,0,1,1,90,1,TAS,5
CNQ_BIO,1,1,1,1,270,-1,-1,725000,180000,11.3,9.61,QL_BI,0,250,3,4,4,0.8,0.8,0,0.9,0.9,0,0,1,1,192,1,CNQ,1
