Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
15000,1,1,1,1,8760,8760,1,1320.673714,1097.060895,3177.696621,490.982638,887.390546,5557.483733,800.387048,5180.404251,1798.55239,1173.51291
,,,,,,,2,1323.517163,1097.218211,3187.762539,463.081281,852.119366,5315.186019,758.290173,4874.328326,1637.50527,1164.446156
,,,,,,,3,1327.455462,1097.436101,3201.704424,428.907535,808.919015,5018.418353,706.729672,4561.204879,1522.713022,1163.38134
,,,,,,,4,1333.18577,1097.753135,3221.990065,414.356316,790.524254,4892.054331,684.77515,4459.821369,1445.51882,1168.261843
,,,,,,,5,1332.979291,1097.741711,3221.25953,429.051921,809.101532,5019.672184,706.947513,4566.562771,1418.911351,1231.397266
,,,,,,,6,1379.594646,1100.320744,3386.276836,485.807763,880.84877,5512.544614,792.579315,5068.580287,1478.720076,1314.327519
,,,,,,,7,1472.278437,1105.52628,3716.286815,609.936483,1038.04936,6592.521111,980.090214,6080.318965,1700.089953,1489.35799
,,,,,,,8,1441.064423,1105.107001,3637.956816,625.231008,1104.810182,7063.898723,1041.242277,6758.842322,2041.299111,1673.101254
,,,,,,,9,1285.273976,1097.95276,3122.499268,548.680672,1066.326707,6815.215502,972.540249,6275.495259,1876.055656,1647.364608
,,,,,,,10,1087.187068,1088.511762,2458.625083,440.203002,993.175946,6329.914755,860.237876,5396.019695,1370.351876,1532.268897
,,,,,,,11,1020.652533,1085.255997,2233.555833,349.285293,926.159313,5882.430905,761.532561,4594.066809,911.659476,1463.194428
,,,,,,,12,1025.242336,1085.319857,2245.127662,302.070855,881.314541,5578.359547,702.211461,3950.359364,713.939931,1393.985436
,,,,,,,13,1103.952321,1088.981993,2506.722888,317.219889,875.353639,5530.654719,704.907405,3733.940408,730.313402,1309.695941
,,,,,,,14,1175.872425,1092.341136,2746.069966,376.908329,901.768136,5698.917067,755.592363,3817.264065,917.45918,1306.796425
,,,,,,,15,1261.996925,1096.375048,3032.967657,445.347956,939.719266,5946.55861,819.861382,4096.649284,856.575383,1320.755199
,,,,,,,16,1390.838938,1102.630916,3467.605536,519.360788,998.09614,6338.11607,903.281533,4890.610154,1212.134117,1375.552025
,,,,,,,17,1596.799938,1112.638162,4162.566033,663.477056,1123.626073,7185.210278,1075.23702,6193.576106,1723.488778,1488.916178
,,,,,,,18,1722.960493,1119.331702,4602.126712,785.118125,1259.218498,8111.780638,1244.171345,7287.074591,2247.207283,1620.961481
,,,,,,,19,1711.728841,1118.696342,4562.023852,778.951836,1251.423451,8058.232057,1234.867799,7287.584111,2443.226659,1604.52839
,,,,,,,20,1660.490191,1115.861521,4380.639848,742.225747,1204.996596,7739.299671,1179.456392,6992.871237,2403.52391,1551.909908
,,,,,,,21,1600.237086,1112.527969,4167.344826,698.373791,1149.56166,7358.485673,1113.293656,6692.526403,2316.678624,1489.324471
,,,,,,,22,1521.887766,1108.193228,3889.989902,642.533137,1078.971349,6873.560821,1029.042669,6245.507061,2182.251997,1398.705362
,,,,,,,23,1483.702379,1106.08059,3754.814419,596.06553,1020.229874,6470.032319,958.933507,5739.037055,1948.440705,1296.752343
,,,,,,,24,1392.21635,1101.01905,3430.956173,568.506697,985.391697,6230.709136,917.353427,5768.961209,1990.016667,1220.698104
,,,,,,,25,1309.013206,1096.415768,3136.461108,538.597133,947.582246,5970.973578,872.226855,5374.583329,1858.017734,1191.459943
,,,,,,,26,1314.074621,1096.695795,3154.37882,503.751673,903.532737,5668.372608,819.652876,5004.593229,1675.881827,1153.948036
,,,,,,,27,1333.425152,1097.766379,3222.880497,459.352096,847.405495,5282.80287,752.66388,4691.67867,1577.435299,1148.0321
,,,,,,,28,1334.751154,1097.839741,3227.575121,436.245865,818.196001,5082.146359,717.80176,4512.968622,1490.397338,1134.570012
,,,,,,,29,1335.861837,1097.901191,3231.507423,442.0356,825.515029,5132.424907,726.53717,4583.708474,1472.342733,1147.03047
,,,,,,,30,1371.247719,1099.858944,3356.774177,504.607645,904.614789,5675.805881,820.944336,5020.361822,1535.827234,1220.692802
,,,,,,,31,1495.480758,1106.837127,3799.141512,629.989457,1063.399523,6766.664548,1010.345905,6024.721826,1734.946859,1390.865257
,,,,,,,32,1368.828764,1101.836415,3400.158168,611.937341,1110.640283,7110.037322,1039.357535,6605.717984,2047.277403,1541.918314
,,,,,,,33,1136.645227,1090.939699,2626.179146,434.208527,1002.861515,6401.093612,865.05332,6745.99758,1975.507001,1536.67405
,,,,,,,34,952.029172,1081.971892,2003.297327,308.491734,911.831212,5794.020999,729.882599,5987.124646,1520.208511,1499.582038
,,,,,,,35,835.072041,1076.149309,1605.214441,281.894231,879.834339,5574.653815,691.058416,5618.60818,1106.878314,1447.108113
,,,,,,,36,791.542129,1073.965251,1456.63638,222.001131,828.838483,5230.984432,620.537367,5916.724815,1287.402889,1408.919041
,,,,,,,37,842.048588,1076.310885,1624.391074,174.607228,784.26337,4928.899188,561.344135,5797.746267,668.497151,1373.860446
,,,,,,,38,983.403748,1083.125975,2100.051077,187.854928,782.299903,4910.377188,566.310394,5123.186379,776.158792,1339.531044
,,,,,,,39,1091.706611,1088.232446,2461.658894,246.551936,805.810283,5058.245415,614.174163,4949.234308,1104.892102,1376.750214
,,,,,,,40,1254.544697,1096.046543,3008.705081,374.737032,886.613132,5591.468772,742.352842,5480.326557,980.940022,1429.592248
,,,,,,,41,1517.306562,1108.713963,3892.873266,602.262816,1052.040534,6695.007175,987.533097,6445.728237,1435.0718,1481.012837
,,,,,,,42,1707.640543,1118.486334,4548.00829,743.771166,1206.950718,7752.722301,1181.788391,7165.962996,2072.466205,1544.267157
,,,,,,,43,1725.397998,1119.452599,4610.472323,750.248859,1215.139418,7808.975123,1191.561773,7026.259797,2337.526013,1525.048986
,,,,,,,44,1668.961608,1116.33021,4410.685769,721.364742,1178.625886,7558.143011,1147.982129,6769.228485,2294.910363,1469.333251
,,,,,,,45,1615.345473,1113.363853,4220.883057,685.224569,1132.939691,7244.29869,1093.454727,6378.838087,2238.587168,1408.940653
,,,,,,,46,1540.208814,1109.206855,3954.897605,635.979683,1070.687317,6816.651926,1019.155254,6018.239443,2082.808435,1318.583243
,,,,,,,47,1489.270085,1106.388628,3774.573589,593.766251,1017.32368,6450.066912,955.464668,5480.407644,1913.155566,1225.794059
,,,,,,,48,1384.187045,1100.574822,3402.577731,566.907799,983.370864,6216.825823,914.941294,5554.429411,1993.3338,1152.283573
,,,,,,,49,1332.181652,1097.697581,3218.485121,535.050436,943.099143,5940.175494,866.875943,5169.780278,1836.594819,1104.072569
,,,,,,,50,1327.079207,1097.415284,3200.422694,503.926349,903.753947,5669.891164,819.916669,4769.855547,1653.058587,1094.101851
,,,,,,,51,1347.31571,1098.534886,3272.060877,455.91358,843.059098,5252.94403,747.476158,4481.537537,1545.346381,1084.840183
,,,,,,,52,1332.704954,1097.726533,3220.338878,432.138601,813.0042,5046.479995,711.605039,4327.939685,1455.009564,1094.359312
,,,,,,,53,1332.244324,1097.701049,3218.708647,441.292508,824.576014,5125.973319,725.416232,4418.438989,1431.943281,1125.819121
,,,,,,,54,1364.728817,1099.49828,3333.704656,502.910341,902.469557,5661.068002,818.383731,4794.212361,1492.790027,1220.773901
,,,,,,,55,1484.516384,1106.173537,3758.933995,626.663295,1059.124134,6737.274064,1005.27066,5706.833857,1671.976062,1361.951646
,,,,,,,56,1431.688178,1104.640242,3606.109177,600.684705,1101.246184,7046.802061,1026.258118,6213.162498,1916.297284,1509.082494
,,,,,,,57,1201.879199,1093.854988,2840.046485,411.674095,984.321746,6276.408018,839.039631,6223.084946,1883.666475,1453.397676
,,,,,,,58,997.809749,1084.082658,2154.986,256.127574,873.751703,5539.994196,673.449583,5945.070027,1466.326554,1359.759545
,,,,,,,59,973.114989,1082.802619,2069.68619,144.470931,792.167195,4995.569526,552.806232,5683.313256,973.134867,1277.157376
,,,,,,,60,910.96523,1079.702763,1858.006897,73.69812,725.714203,4545.258059,464.502366,5484.61476,970.706501,1292.65645
,,,,,,,61,868.345092,1077.545693,1712.075292,88.100266,717.989615,4485.217084,465.413486,4894.269065,1289.188788,1255.965787
,,,,,,,62,928.290907,1080.41261,1913.221968,146.203947,742.536258,4640.684603,513.816189,4377.81799,1507.728056,1318.337032
,,,,,,,63,1077.921242,1087.593424,2415.909887,198.047429,766.895574,4796.943988,558.976785,4646.445173,1595.831564,1365.754234
,,,,,,,64,1251.839069,1095.935013,3000.074853,337.691151,854.389057,5374.031975,698.186052,5225.12023,1644.249679,1388.862858
,,,,,,,65,1512.753317,1108.482176,3877.258747,568.079008,1012.406212,6423.698053,938.830511,5984.622754,1778.884856,1456.531098
,,,,,,,66,1681.134531,1117.024264,4454.294363,704.778658,1157.659302,7414.110262,1122.957782,6777.307649,2050.333799,1534.449826
,,,,,,,67,1687.552397,1117.35876,4476.508049,708.028049,1161.766981,7442.328237,1127.860382,6675.221093,2190.90767,1515.691407
,,,,,,,68,1640.281732,1114.743472,4309.168034,680.30832,1126.725378,7201.607695,1086.037527,6334.082488,2122.946918,1469.590837
,,,,,,,69,1582.93797,1111.570881,4106.169087,652.772844,1091.916695,6962.487208,1044.492666,6025.817998,2044.225258,1430.355645
,,,,,,,70,1512.54186,1107.676158,3856.964635,605.019569,1031.549891,6547.793578,972.443679,5687.054731,1914.555447,1351.70843
,,,,,,,71,1455.056537,1104.495735,3653.465067,575.072819,993.693025,6287.733396,927.26075,5261.937697,1764.694534,1273.342903
,,,,,,,72,1354.647976,1098.940549,3298.016281,550.960549,963.211751,6078.34033,890.88074,5341.829379,1856.020956,1198.25215
,,,,,,,73,1326.596745,1097.388592,3198.699297,521.87176,926.440859,5825.736573,846.993145,4966.281513,1753.530045,1160.11878
,,,,,,,74,1324.356991,1097.264675,3190.770806,489.501165,885.519834,5544.627169,798.153127,4564.178623,1572.906512,1135.016751
,,,,,,,75,1328.496,1097.493669,3205.423224,444.292686,828.3699,5152.032321,729.943599,4315.330392,1468.61112,1114.541425
,,,,,,,76,1334.743348,1097.839309,3227.539313,422.169399,800.402924,4959.911533,696.564485,4141.37929,1395.968975,1114.25781
,,,,,,,77,1336.443485,1097.933371,3233.558146,434.319449,815.762308,5065.42374,714.896203,4155.918381,1367.154998,1128.883452
,,,,,,,78,1380.795328,1100.387173,3390.5642,490.89765,887.285177,5556.75433,800.260104,4553.406921,1412.634047,1184.575765
,,,,,,,79,1467.961416,1105.269891,3700.613332,605.847448,1032.74044,6556.006172,973.808079,5400.065713,1559.781185,1347.965115
,,,,,,,80,1419.022357,1103.894213,3560.138056,558.64892,1055.780698,6736.533303,968.99594,5910.295896,1789.514365,1491.655627
,,,,,,,81,1238.777955,1095.545754,2962.020239,354.973825,928.107504,5894.395674,765.905554,6072.216587,1790.866123,1450.113391
,,,,,,,82,1180.448046,1092.728744,2765.621216,200.660906,822.326149,5191.746993,604.769325,5975.50782,1607.644788,1326.467354
,,,,,,,83,1136.643679,1090.494011,2615.197038,98.603951,744.276667,4669.292774,491.705043,5609.906504,1539.544434,1249.735421
,,,,,,,84,1083.699333,1087.888581,2435.739286,49.121832,699.893336,4369.286967,431.634489,5357.550573,1490.408163,1218.511365
,,,,,,,85,1132.547208,1090.136803,2597.483109,55.786789,693.542957,4321.687469,429.827739,5266.798883,1541.880617,1258.664003
,,,,,,,86,1176.310855,1092.232605,2744.400145,97.019978,710.280811,4427.148924,463.629403,5046.230603,1625.93803,1255.645808
,,,,,,,87,1272.664323,1096.767042,3065.898635,185.9503,754.949737,4715.777255,543.411474,5154.674492,1728.991754,1330.370483
,,,,,,,88,1367.538165,1101.364096,3385.714471,334.184666,842.192179,5288.151445,686.661841,5443.292745,1755.211925,1360.529706
,,,,,,,89,1537.460297,1109.713205,3961.358568,541.608992,975.363834,6168.265243,896.018261,5829.20224,1786.303304,1410.798123
,,,,,,,90,1686.056064,1117.298812,4471.751666,653.167809,1092.417674,6965.924176,1045.089628,6537.107549,2041.488674,1490.623246
,,,,,,,91,1689.943931,1117.491074,4484.953367,654.951345,1094.672311,6981.412553,1047.780583,6447.783196,2225.703649,1481.314361
,,,,,,,92,1645.51024,1115.032743,4327.657132,630.25738,1063.45564,6766.967771,1010.522893,6147.36134,2154.184447,1450.073368
,,,,,,,93,1590.384111,1111.982845,4132.509546,605.186107,1031.762002,6549.246428,972.695931,5826.582956,2079.40612,1409.845046
,,,,,,,94,1512.097454,1107.651571,3855.373637,569.69714,986.898918,6241.056804,919.150987,5491.343216,1973.491135,1329.127896
,,,,,,,95,1463.442951,1104.959721,3683.136058,550.568875,962.718084,6074.945116,890.2907,4908.522561,1865.213769,1241.651702
,,,,,,,96,1365.257799,1099.527546,3335.559616,534.252473,942.09184,5933.251903,865.672885,5262.23809,1926.861416,1161.612079
,,,,,,,97,1332.295556,1097.703883,3218.786092,503.455427,903.159597,5665.805649,819.206749,4833.50782,1836.322521,1126.4854
