Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10
15000,1,1,1,11,168,1516.1538461538462,1,2463.189952,1701.571152,4793.730988,815.134139,1404.610761,8186.131955,1284.713222,8603.072953,2791.755455,1559.661026
,,,,,,1684.6153846153848,2,2397.816703,1697.954323,4560.258908,763.409338,1339.246215,7737.044614,1206.686256,8158.034849,2560.717253,1554.494807
,,,,,,673.8461538461539,3,2352.885227,1695.468452,4400.268902,702.538387,1262.322068,7208.541363,1114.861295,8030.645255,2405.431554,1558.14004
,,,,,,842.3076923076924,4,2327.453503,1694.061421,4310.301064,665.28102,1215.235299,6885.044192,1058.655568,8028.998897,2272.285916,1553.449409
,,,,,,505.3846153846154,5,2361.391984,1695.939095,4432.582877,663.776941,1213.328781,6871.961105,1056.383052,8058.196915,2258.761381,1561.47933
,,,,,,1010.7692307692308,6,2483.58889,1702.69974,4869.940344,719.888945,1284.232777,7359.119782,1141.025236,8117.470586,2273.740699,1586.392807
,,,,,,168.46153846153848,7,2671.474582,1713.439574,5551.820028,844.825427,1443.764944,8453.92711,1330.438054,8829.759694,2438.174326,1711.420953
,,,,,,842.3076923076924,8,2188.478141,1692.312403,3997.293903,636.094985,1383.792143,7886.35779,1132.389605,9726.454496,2682.555848,1853.309598
,,,,,,1179.2307692307693,9,1625.562642,1665.928741,2130.444625,279.242801,1197.076389,6402.387134,745.413136,9521.20458,2689.3123,1823.006608
,,,,,,168.46153846153848,10,1260.6379,1648.28631,903.175538,38.608785,1050.730934,5289.59694,469.55232,8755.657566,2289.470893,1724.987874
,,,,,,168.46153846153848,11,1152.055217,1640.081286,452.645491,24.549849,1014.09107,5101.762669,425.087677,8722.706699,2216.832509,1622.858459
,,,,,,,12,1175.057985,1638.326873,446.568435,72.589661,1009.653537,5154.915609,451.6893,8467.333842,2235.296079,1617.129706
,,,,,,,13,1193.819781,1638.307707,482.889653,100.524071,1004.873196,5157.042987,469.752447,7985.23216,2177.296269,1556.00934
,,,,,,,14,1190.616911,1640.257816,533.309171,111.271745,1004.286352,5142.854668,483.114028,8166.218461,2194.550998,1566.979216
,,,,,,,15,1339.228492,1650.403367,1118.091644,139.665658,1021.207395,5225.704058,527.109269,7953.789314,2275.521367,1576.707166
,,,,,,,16,1801.504476,1672.822502,2672.860596,330.903636,1138.664031,6097.521827,751.920788,8342.207818,2216.721552,1691.797649
