Time_Index,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV7_WIND,VIC_WV5_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW
1,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.575654,0.358712,0.19991,0.229912,0.229996,0.410289,0.079203,0.003301,0.021024,0.0,0.896612,0.909014,0.367682,0.177388,0.913388,0.915019,0.901667,0.342963,0.905876,0.900907,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55004,0.343376,0.216166,0.282359,0.209353,0.417013,0.074254,0.000703,0.00298,0.0,0.898799,0.903683,0.322522,0.10312,0.906463,0.90889,0.911933,0.328671,0.909968,0.915668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.537517,0.289227,0.183228,0.349976,0.197258,0.322191,0.068719,0.001356,0.000663,0.05064,0.898441,0.896779,0.205772,0.059018,0.900588,0.901166,0.907741,0.448717,0.922865,0.908112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.529173,0.280958,0.177637,0.246514,0.156793,0.261112,0.11196,0.012428,0.010426,0.118229,0.887529,0.896461,0.143925,0.056046,0.894281,0.919982,0.89125,0.431754,0.868034,0.893482,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49849,0.235196,0.170369,0.233719,0.10055,0.255412,0.125462,0.018051,0.00833,0.216837,0.904878,0.901438,0.151491,0.058932,0.880996,0.858725,0.89691,0.506411,0.912973,0.919499,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471958,0.211058,0.208253,0.172735,0.088006,0.238507,0.192941,0.037414,0.026262,0.377191,0.886156,0.885429,0.124258,0.109326,0.860741,0.916514,0.908865,0.519826,0.903858,0.874437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.000482,0.00332,0.005218,0.00155,0.0,0.000377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.430623,0.25203,0.192797,0.151473,0.06828,0.222946,0.266379,0.050763,0.038916,0.360318,0.913463,0.889545,0.119705,0.212499,0.886023,0.903105,0.914024,0.51915,0.91562,0.930562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.245,0.286644,0.332869,0.366089,0.387093,0.37696,0.360619,0.362961,0.071893,0.029482,0.35065,0.004488,0.041027,0.0,0.0,0.0,0.002191,0.380605,0.176995,0.168702,0.093936,0.076288,0.222244,0.266109,0.042685,0.054692,0.344104,0.922239,0.900923,0.166447,0.255407,0.830534,0.903009,0.918468,0.572462,0.911141,0.91724,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.581407,0.779088,0.735746,0.700256,0.781693,0.758627,0.795843,0.790744,0.783604,0.058802,0.733304,0.051036,0.069086,0.194262,0.052732,0.027419,0.046372,0.616988,0.208204,0.079542,0.102137,0.012051,0.057188,0.226783,0.040838,0.082534,0.214783,0.911274,0.905104,0.271895,0.393576,0.844611,0.887389,0.910348,0.601233,0.910684,0.914368,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,0.416428097,0.0,0.0,0.0,0.360503259,0.0,0.360503259,0.075387316,0.0,0.850023024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.724946,0.823415,0.816483,0.779447,0.772033,0.781605,0.793026,0.769472,0.751336,0.260374,0.749112,0.231314,0.101398,0.055997,0.04514,0.033048,0.087817,0.591572,0.14109,0.097944,0.142139,0.010938,0.105475,0.299131,0.017394,0.015818,0.209149,0.914618,0.889924,0.413784,0.270397,0.867009,0.890909,0.916462,0.529687,0.909576,0.920437,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
