Resource,Zone,StartCap_p1,EndCap_p1,EndCap_p2,EndCap_p3
CNQ_RS,1,163.4,163.4,163.4,163.4
GG_RS,2,0.0,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0,0.0
NNSW_RS,4,32.97,2.5079129465923367,2.5079129465923367,0.0
CNSW_RS,5,48.0,48.0,48.0,48.0
SNW_RS,6,0.0,0.0,0.0,0.0
SNSW_RS,7,2342.0,2342.0,2342.0,2342.0
VIC_RS,8,2292.23,2292.23,2292.23,2292.23
SA_RS,9,0.0,0.0,0.0,0.0
TAS_RS,10,2294.2,2294.2,2294.2,2294.2
CNQ_COAL,1,3060.0,3060.0,0.0,0.0
GG_COAL,2,1850.0,1850.0,0.0,0.0
SQ_COAL,3,3292.0,3292.0,0.0,0.0
CNSW_COAL,5,4040.0,4040.0,0.0,0.0
SNW_COAL,6,4200.0,4200.0,0.0,0.0
VIC_COAL,8,4630.0,981.5539836352709,0.0,0.0
CNQ_CCGT,1,244.0,244.0,890.8100582046318,890.8100582046318
GG_CCGT,2,180.0,180.0,581.3941850488957,581.3941850488957
SQ_CCGT,3,1100.0,1100.0,2456.1644395436774,2456.1644395436774
NNSW_CCGT,4,0.0,268.5533586285746,268.5533586285746,268.5533586285746
CNSW_CCGT,5,0.0,0.0,137.08672705166953,137.08672705166953
SNW_CCGT,6,501.7699999999999,501.7699999999999,3046.7937336431496,3046.7937336431496
SNSW_CCGT,7,0.0,491.25852595760387,491.25852595760387,491.25852595760387
VIC_CCGT,8,21.0,1956.4195482752812,2608.694428446724,2608.694428446724
SA_CCGT,9,713.4,990.4003217137054,990.4003217137054,990.4003217137054
TAS_CCGT,10,208.0,607.5418294648264,607.5418294648264,607.5418294648264
CNQ_OCGT,1,120.0,3182.0056429249253,16294.01503057372,16250.245118546787
GG_OCGT,2,0.0,0.0,1332.0184607513443,1321.0118417160247
SQ_OCGT,3,1600.0,1600.0,1600.0,1600.0
NNSW_OCGT,4,16.0,16.0,16.0,16.0
CNSW_OCGT,5,12.0,12.0,3390.4256981532976,3390.4256981532976
SNW_OCGT,6,1270.0,1270.0,1270.0,1270.0
SNSW_OCGT,7,692.0,692.0,692.0,692.0
VIC_OCGT,8,2400.0,2741.4703975701586,3939.311493085439,3855.9690297031693
SA_OCGT,9,2000.0,2000.0,2055.638148344409,2055.638148344409
TAS_OCGT,10,178.0,535.3952414509099,535.3952414509099,535.3952414509099
CNQ_BIO,1,270.0,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,24.11284089,24.11284089,1643.4427404371477,3874.338038852307
CNQ_SQ3_SOLAR,1,916.1614677,916.1614677,916.1614677,2183.0294633960343
CNQ_SQ4_SOLAR,1,423.0383483,423.0383483,423.0383483,6900.0
GG_SQ6_SOLAR,2,113.8374463,113.8374463,658.6706490148439,658.6706490148439
SQ_SQ7_SOLAR,3,427.9138106,427.9138106,427.9138106,427.9138106
SQ_SQ8_SOLAR,3,1694.936086,1694.936086,1694.936086,1694.936086
NNSW_SN1_SOLAR,4,494.8402631,494.8402631,2395.7593225648384,6000.0
NNSW_SN2_SOLAR,4,710.3859735,710.3859735,710.3859735,1670.4234561438016
CNSW_SN3_SOLAR,5,1004.9239489999999,2578.7898402098594,4068.0226845549237,5949.513264651561
SNSW_SN5_SOLAR,7,1389.47513,1389.47513,1428.8271027836315,3200.0
SNW_SN9_SOLAR,6,0.0,0.0,0.0,1000.0
VIC_SV2_SOLAR,8,696.51,1188.8372787745982,4700.0,4700.0
VIC_SV6_SOLAR,8,400.59,400.59,400.59,2000.0
SA_SS3_SOLAR,9,0.0,0.0,0.0,4000.0
SA_SS7_SOLAR,9,175.0,576.5740532498784,700.0,700.0
SA_SS5_SOLAR,9,175.0,175.0,1659.899028907867,3000.0
TAS_ST2_SOLAR,10,0.0,0.0,400.3554200364303,500.0
CNQ_WQ1_WIND,1,180.52,1400.0,1400.0,1400.0
