Resource,Zone,AnnualSum,Capacity,CapacityFactor
CNQ_RS,1,703793.0361271538,163.4,0.4916870917427948
GG_RS,2,0.0,0.0,0.0
SQ_RS,3,0.0,0.0,0.0
NNSW_RS,4,0.0,2.5079129465923367,0.0
CNSW_RS,5,75697.33781156642,48.0,0.18002601267971843
SNW_RS,6,0.0,0.0,0.0
SNSW_RS,7,3.591447268245551e6,2342.0,0.17505660327421954
VIC_RS,8,861577.4301310583,2292.23,0.04290738185718991
SA_RS,9,0.0,0.0,0.0
TAS_RS,10,6.730481344983657e6,2294.2,0.33489660371378244
CNQ_COAL,1,3.0489385100695714e6,3060.0,0.11374259520658501
GG_COAL,2,2.2224569202258233e6,1850.0,0.13713790696198136
SQ_COAL,3,6.253911972308105e6,3292.0,0.2168641834192007
CNSW_COAL,5,1.7069506128286365e6,4040.0,0.04823202373606041
SNW_COAL,6,1.0831396074718101e7,4200.0,0.2943954140769278
VIC_COAL,8,4.495961565383336e6,981.5539836352709,0.5228827249198181
CNQ_CCGT,1,0.0,244.0,0.0
GG_CCGT,2,0.0,180.0,0.0
SQ_CCGT,3,0.0,1100.0,0.0
NNSW_CCGT,4,1.414103355765296e6,268.5533586285746,0.6010996270605821
CNSW_CCGT,5,0.0,0.0,0.0
SNW_CCGT,6,565.3515210363928,501.7699999999999,0.00012862037361175338
SNSW_CCGT,7,2.8053110774548855e6,491.25852595760387,0.651878743382228
VIC_CCGT,8,6.16275756232497e6,1956.4195482752812,0.3595911408020418
SA_CCGT,9,5.197849563940239e6,990.4003217137054,0.5991131155338443
TAS_CCGT,10,2.8129360949865417e6,607.5418294648264,0.5285420868077433
CNQ_OCGT,1,0.0,3182.0056429249253,0.0
GG_OCGT,2,0.0,0.0,0.0
SQ_OCGT,3,0.0,1600.0,0.0
NNSW_OCGT,4,0.0,16.0,0.0
CNSW_OCGT,5,0.0,12.0,0.0
SNW_OCGT,6,0.0,1270.0,0.0
SNSW_OCGT,7,0.0,692.0,0.0
VIC_OCGT,8,97279.94915682286,2741.4703975701586,0.004050752120787987
SA_OCGT,9,412118.0697138865,2000.0,0.023522720874080773
TAS_OCGT,10,67587.5175184518,535.3952414509099,0.014410793072131804
CNQ_BIO,1,0.0,0.0,0.0
CNQ_SQ2_SOLAR,1,57484.86465375842,24.11284089,0.2721454179258297
CNQ_SQ3_SOLAR,1,2.4852244741341067e6,916.1614677,0.30966312597728307
CNQ_SQ4_SOLAR,1,1.0105990914617344e6,423.0383483,0.2727062299501738
GG_SQ6_SOLAR,2,263903.1561077287,113.8374463,0.264639905775247
SQ_SQ7_SOLAR,3,869880.5586875168,427.9138106,0.23205942687592607
SQ_SQ8_SOLAR,3,4.362449164145249e6,1694.936086,0.29381431196059105
NNSW_SN1_SOLAR,4,1.4065464851741365e6,494.8402631,0.3244777744063181
NNSW_SN2_SOLAR,4,1.7034917149669896e6,710.3859735,0.27374206669863926
CNSW_SN3_SOLAR,5,7.060881054133527e6,2578.7898402098594,0.31256391561929886
SNSW_SN5_SOLAR,7,3.337754785136165e6,1389.47513,0.27422026311917186
SNW_SN9_SOLAR,6,0.0,0.0,0.0
VIC_SV2_SOLAR,8,2.9556866173008764e6,1188.8372787745982,0.28381272535590324
VIC_SV6_SOLAR,8,977864.0561082269,400.59,0.27865976910889984
SA_SS3_SOLAR,9,0.0,0.0,0.0
SA_SS7_SOLAR,9,1.4566857063948906e6,576.5740532498784,0.28840757177769705
SA_SS5_SOLAR,9,372548.85618459503,175.0,0.24301947565857981
TAS_ST2_SOLAR,10,0.0,0.0,0.0
CNQ_WQ1_WIND,1,6.080451293577174e6,1400.0,0.49579674605163904
CNQ_WQ2_WIND,1,3.68931695696677e6,1259.3818128704088,0.33441399538987615
CNQ_WQ4_WIND,1,0.0,0.0,0.0
CNQ_WQ3_WIND,1,0.0,0.0,0.0
GG_WQ6_WIND,2,4.542440936753013e6,1469.9516853360064,0.3527622649802873
SQ_WQ8_WIND,3,1.7228259136191312e7,5696.497935547205,0.34524654808547495
NNSW_WN2_WIND,4,6.333667846602588e6,2159.5301320355334,0.3348049804679516
CNSW_WN3_WIND,5,9.323984437588938e6,3398.8630227599533,0.3131581878956136
SNW_WN9_WIND,6,0.0,0.0,0.0
SNSW_WACT_WIND,7,1.0338617994153239e7,3000.0,0.39340251119305386
VIC_WV3_WIND,8,7.741596893442598e6,2360.0,0.3744677701727208
VIC_WV4_WIND,8,1.097117982512018e7,3248.363818897947,0.385553422609126
VIC_WV5_WIND,8,0.0,0.0,0.0
VIC_WV7_WIND,8,0.0,0.0,0.0
SA_WS1_WIND,9,1.197562352171629e6,392.2932876,0.34848424735020506
SA_WS3_WIND,9,6.328420260461156e6,1846.974661158551,0.391138232350786
SA_WS4_WIND,9,1.9419682764889512e6,566.3837214,0.3914058048200267
TAS_WT1_WIND,10,516966.9940569226,168.0,0.3512767680860876
TAS_WT2_WIND,10,1.619384750575122e6,393.6,0.4696678681318783
TAS_WT3_WIND,10,0.0,0.0,0.0
