Costs,Total,Zone1,Zone2,Zone3,Zone4,Zone5,Zone6,Zone7,Zone8,Zone9,Zone10
cTotal,1.9251680769323353e10,1.0862455648133482e10,4.741503960664705e9,1.5895418475369368e10,6.064281495433406e9,1.1255042257010891e10,1.775609068656868e9,6.178496628324816e9,1.0797535317423874e10,2.4009556729822874e9,2.1595233287624984e9
cFix,6.905509299288475e10,1.0766110157212246e10,4.674963600473144e9,1.5707930788746975e10,5.9146552193598795e9,1.1181406367910704e10,1.311748868892997e9,5.855734841749809e9,1.0097641080168194e10,1.7886713220231202e9,1.7562307463476732e9
cVar,3.995159295800922e8,2.060985833110894e7,1.1334530293151705e7,3.2140513230260994e7,1.2429968497176955e7,9.249711984291194e6,5.5245089420932546e7,5.0590505840334035e7,8.307888593891144e7,5.086942180333936e7,7.396744424057084e7
cFuel,2.676212930297287e9,7.573563259012808e7,5.520582989840938e7,1.553471733921331e8,1.371963075763506e8,6.438617711589609e7,4.0861511034293824e8,2.721712807346726e8,6.168153513167663e8,5.614149291558285e8,3.293251381742544e8
cNSE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cStart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cUnmetRsv,0.0,-,-,-,-,-,-,-,-,-,-
cNetworkExp,1.9121915038531008e9,-,-,-,-,-,-,-,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-,-,-,-,-,-,-,-
cCO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
