Zone,1,2,3,4,5,6,7,8,9,10,Total
CO2_Price_1,581.5608266560031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_2,0.0,581.5607655772848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_3,0.0,0.0,603.860218153235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_4,0.0,0.0,0.0,436.1015563976251,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_5,0.0,0.0,0.0,0.0,562.0482166011209,0.0,0.0,0.0,0.0,0.0,0.0
CO2_Price_6,0.0,0.0,0.0,0.0,0.0,562.0482166011209,0.0,0.0,0.0,0.0,0.0
CO2_Price_7,0.0,0.0,0.0,0.0,0.0,0.0,357.33465930041206,0.0,0.0,0.0,0.0
CO2_Price_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485.98406097974026,0.0,0.0,0.0
CO2_Price_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.18828806782085,0.0,0.0
CO2_Price_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
AnnualSum,2.6591622109422716e6,1.938338027544155e6,5.454411865768234e6,577748.895238181,1.4887340464846203e6,9.44694138167433e6,1.1461435044271068e6,7.817117994003006e6,2.3641806461118106e6,1.188706927314698e6,3.408148549950841e7
t1,1148.7567625273432,0.0,1845.1810690422053,109.72069730800773,0.0,3343.012028482456,0.0,0.0,0.0,0.0,6446.670557360012
t2,1259.6923274449248,0.0,1628.4193115570167,109.72069730800773,0.0,2982.497378650215,0.0,0.0,0.0,0.0,5980.329714960164
t3,676.3659530145452,709.93824,1056.8916927690066,109.72069730800773,0.0,2424.970473841314,0.0,0.0,0.0,0.0,4977.887056932874
t4,1407.6914576378363,193.61951999999997,336.09928675137684,109.72069730800773,0.0,2050.6248425401513,0.0,0.0,0.0,0.0,4097.755804237372
t5,731.2330840609184,903.55776,0.0,109.72069730800773,0.0,2212.210918489004,0.0,0.0,0.0,0.0,3956.7224598579305
t6,81.80139520788096,1613.4959999999999,284.35039663703316,109.72069730800773,0.0,2864.648774911383,0.0,0.0,0.0,0.0,4954.017264064305
t7,917.4873286416192,1613.4959999999999,0.0,109.72069730800773,466.9933328535391,3663.0719999999997,161.261907045254,0.0,0.0,0.0,6932.031265848419
t8,0.0,1515.678089061067,393.8983471364918,109.72069730800773,394.0045105623838,2868.260618987519,200.70956588229058,0.0,404.6399362399949,0.0,5886.911765177756
t9,0.0,805.7398490610672,0.0,55.42289877202816,0.0,1256.5089389875197,200.70956588229058,0.0,285.0543318303736,0.0,2603.435584533279
t10,528.1804184379546,95.80160906106727,0.0,106.60968942896353,0.0,711.2172216484798,58.10063816438146,0.0,202.96005918526026,0.0,1702.8696359261069
t11,0.0,0.0,0.0,0.0,0.0,26.40791198351893,116.42005419053324,0.0,0.0,0.0,142.82796617405216
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,63.79281593818059,0.0,128.50192717316554,0.0,192.29474311134612
t16,0.0,709.93824,0.0,109.72069730800773,0.0,864.1958293954604,200.70956588229058,846.9530932377724,172.2211144267596,0.0,2903.7385402502905
t17,602.2624372688448,709.93824,499.3868014010578,109.72069730800773,1385.5199327669684,2475.94750939546,200.70956588229058,1502.8779291944347,404.6399362399949,0.0,7891.003049457059
t18,1638.2466433507354,0.0,1762.6931182010578,109.72069730800773,1093.5944186046397,3663.0719999999997,200.70956588229058,1144.5312070780712,404.6399362399949,0.0,10017.207586664797
t19,1611.975323801386,0.0,1719.188524442702,109.72069730800773,2128.379547070586,3663.0719999999997,200.70956588229058,1333.8929304173498,404.6399362399949,0.0,11171.578525162318
t20,1525.8746402695285,0.0,2570.356420551662,109.72069730800773,1375.1882876476823,3663.0719999999997,200.70956588229058,1077.6959676165613,404.6399362399949,0.0,10927.257515515726
t21,882.1624100092255,643.7425578612717,2562.5724356435035,109.72069730800773,0.0,3663.0719999999997,200.70956588229058,213.9594407995325,404.6399362399949,0.0,8680.579043743826
t22,0.0,1353.6807978612717,1661.3183259031646,109.72069730800773,0.0,3663.0719999999997,118.36601396429165,0.0,143.56595379038922,0.0,7049.723788827125
t23,0.0,1273.0418869127343,2039.2135239943614,109.72069730800773,0.0,3486.4972173145416,0.0,0.0,0.0,0.0,6908.473325529645
t24,0.0,1233.0283767803207,1824.346312151467,109.72069730800773,0.0,2959.9022469172855,0.0,0.0,0.0,0.0,6126.9976331570815
t25,1174.276224,523.0901367803208,1384.4975531908228,109.72069730800773,0.0,2572.372266048303,0.0,0.0,0.0,0.0,5763.956877327455
t26,0.0,908.4511952076821,2647.8038699908225,109.72069730800773,0.0,1867.18184199982,0.0,0.0,0.0,0.0,5533.157604506333
t27,0.0,596.714463127613,2301.420781353903,109.72069730800773,0.0,2078.1410820741185,0.0,0.0,0.0,0.0,5085.9970238636415
t28,0.0,608.2621994705762,2459.4681973825127,109.72069730800773,0.0,1862.3466905546059,0.0,0.0,0.0,0.0,5039.797784715703
t29,0.0,601.1856497672189,2736.625129122379,109.72069730800773,0.0,2015.3963603597492,0.0,0.0,0.0,0.0,5462.927836557355
t30,0.0,1296.0859909647627,2871.1507199999996,109.72069730800773,0.0,2345.804384992908,0.0,0.0,0.0,0.0,6622.761793265678
t31,1174.276224,1268.2214889589704,2871.1507199999996,109.72069730800773,0.0,3416.5689458913594,0.0,0.0,0.0,0.0,8839.938076158338
t32,665.3490938506922,1053.129584761623,2469.413098507357,109.72069730800773,690.2862524907295,1804.8172658913593,0.0,0.0,0.0,0.0,6792.715992809768
t33,0.0,343.19134476162276,1206.1067817073574,0.0,0.0,193.06558589135958,0.0,0.0,0.0,0.0,1742.3637123603398
t34,0.0,113.40847762653165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.40847762653165
t35,0.0,20.85781950229433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85781950229433
t36,0.0,24.418110036201178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.418110036201178
t37,0.0,25.244801809348886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.244801809348886
