BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10
AnnualSum,1.7075808226990283e7,60513.52685785232,-71495.6826423654,0.0,0.0,0.0,0.0,-3.73837148576382e6,-41625.686515011344,-1.3284828898926917e7,7.028801013086568e6,0.0,0.0,0.0,0.0,0.0,0.0,2.6628891246342137e6,0.0,-9.691690137720756e6,2.8714500831332162e7,1.080494824844284e6,-1.45019564598956e6,0.0,0.0,0.0,0.0,-1.344179282595375e6,-98262.21989562301,-2.69023585076959e7,1.0857809402509034e7,0.0,0.0,0.0,0.0,0.0,0.0,-7.912428392937485e6,-56636.5333806119,-2.8887444761909205e6,1.8167513442362625e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.0723843209939513e7,0.0,-7.443670232423145e6,1.0831961426239138e7,44810.682675512195,-52943.01288031335,0.0,0.0,0.0,0.0,3.6402745482132226e7,0.0,-4.722657457816672e7,2.0073131124989733e7,693054.1770335987,-897591.9517641246,0.0,0.0,0.0,0.0,-1.4251966506382124e7,-90447.09647205118,-5.526179747405031e6,3.4263903898967944e7,577950.5547394053,-682839.9255355772,0.0,0.0,0.0,0.0,5.041795571999089e6,-220109.5009510158,-3.898070059921991e7,1.6907153085355483e7,511032.3896099725,-603776.944214937,0.0,0.0,0.0,0.0,-5.001407939885502e6,-84841.91491104572,-1.1728158675953949e7,1.1747356702120699e7,0.0,0.0,0.0,0.0,0.0,0.0,-1.1352333612616803e6,-44820.48956791959,-1.0567302851291064e7
t1,2254.1582663840577,0.0,-0.0,0.0,0.0,0.0,0.0,-929.6235773840579,-0.0,-1324.534689,167.6509296159422,0.0,-0.0,0.0,0.0,0.0,0.0,929.6235773840579,-0.0,-1097.274507,2736.791279180048,454.65787081995194,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3191.44915,1217.1723192579552,0.0,-0.0,0.0,0.0,0.0,0.0,-630.2591332579555,-0.0,-586.913186,235.92905581866273,0.0,-0.0,0.0,0.0,0.0,0.0,772.731303181338,-0.0,-1008.6603590000001,3833.026082923382,0.0,-0.0,0.0,0.0,0.0,0.0,2557.5278300766176,-0.0,-6390.553913,2835.4161314781268,0.0,-0.0,0.0,0.0,0.0,0.0,-1877.9606695209407,-12.33058995718589,-945.124872,4845.319410820437,0.0,-0.0,0.0,0.0,0.0,0.0,230.062328014146,-28.11211483458397,-5047.269624,2388.464730083021,0.0,-0.0,0.0,0.0,0.0,0.0,-580.9226266827798,-8.713839400241694,-1798.828264,1718.378492287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1240.131775
t2,2216.235039578095,0.0,-0.0,0.0,0.0,0.0,0.0,-936.0192375780952,-0.0,-1280.215802,158.80329042190476,0.0,-0.0,0.0,0.0,0.0,0.0,936.0192375780952,-0.0,-1094.822528,2825.44968700404,209.10809999596037,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3034.557787,1477.4259335900856,0.0,-0.0,0.0,0.0,0.0,0.0,-910.5497405900858,-0.0,-566.876193,169.66444437013135,0.0,-0.0,0.0,0.0,0.0,0.0,813.6663916298677,-0.0,-983.330836,3419.667697039781,0.0,-0.0,0.0,0.0,0.0,0.0,2796.8833489602184,-0.0,-6216.551046,2507.6822952744874,0.0,-24.20432649465787,0.0,0.0,0.0,0.0,-1551.3547276952584,-17.229679084571124,-914.893562,4870.853291965671,0.0,-219.7794240549163,0.0,0.0,0.0,0.0,122.38912513541972,-36.295195046173546,-4737.167798,2421.569388114182,0.0,-0.0,0.0,0.0,0.0,0.0,-799.855365629736,-11.997830484446038,-1609.716192,1707.065690287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1228.818973
t3,1477.4663137999726,0.0,-0.0,0.0,0.0,0.0,0.0,-167.7596817999728,-0.0,-1309.706632,928.6944502000273,0.0,-0.0,0.0,0.0,0.0,0.0,167.7596817999728,-0.0,-1096.454132,3138.957445,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3138.957445,1742.8537821185732,0.0,-0.0,0.0,0.0,0.0,0.0,-1214.6138241185733,-0.0,-528.239958,120.48684007694668,0.0,-0.0,0.0,0.0,0.0,0.0,814.0024229230524,-0.0,-934.489263,2780.419273804479,0.0,-0.0,0.0,0.0,0.0,0.0,3100.611401195521,-0.0,-5881.030675,2796.7376053575563,0.0,-371.5530415777272,0.0,0.0,0.0,0.0,-1551.3547276952584,-17.229679084571124,-856.600157,4888.909600591735,186.02130452008117,-394.37869547991886,0.0,0.0,0.0,0.0,-228.06687255102094,-31.038355080876936,-4421.446982,2396.494565228308,0.0,-453.034916765864,0.0,0.0,0.0,0.0,-449.39936794329526,-6.740990519149429,-1487.31929,1694.449548287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1216.202831
t4,2098.0929998171214,0.0,-0.0,0.0,0.0,0.0,0.0,-781.4406208171208,-0.0,-1316.652379,315.3977901828792,0.0,-0.0,0.0,0.0,0.0,0.0,781.4406208171208,-0.0,-1096.838411,3163.546296,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3163.546296,1970.2501454917824,0.0,-0.0,0.0,0.0,0.0,0.0,-1461.267811491783,-0.0,-508.9823339999999,111.47036808701938,0.0,-0.0,0.0,0.0,0.0,0.0,798.6745789129799,-0.0,-910.144947,2351.202580421197,0.0,-0.0,0.0,0.0,0.0,0.0,3362.5932325788026,-0.0,-5713.795813,2956.4491307798294,0.0,-560.3199999999999,0.0,0.0,0.0,0.0,-1551.3547276952584,-17.229679084571124,-827.544724,4849.466203475748,80.11896025134463,-500.2810397486555,0.0,0.0,0.0,0.0,-97.9289003140047,-32.99042466443218,-4298.384799,2404.3945151131875,285.4710517287052,-226.9589482712947,0.0,0.0,0.0,0.0,-1050.7163719907371,-15.760745579861055,-1396.429501,1220.261338,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-1220.261338
t5,1305.7450686335571,0.0,-0.0,0.0,0.0,0.0,0.0,48.60136836644283,-0.0,-1354.346437,1147.5252343664429,0.0,-0.0,0.0,0.0,0.0,0.0,-48.60136836644283,-0.0,-1098.923866,3495.9863550288046,0.0,-0.0,0.0,0.0,0.0,0.0,-196.05960002837872,-2.9408940004256805,-3296.985861,1827.6261374516278,0.0,-0.0,0.0,0.0,0.0,0.0,-1301.9652904512016,-2.9408940004256805,-522.719953,26.10704483462251,0.0,-0.0,0.0,0.0,0.0,0.0,901.4041581653767,-0.0,-927.511203,2536.4737186857965,0.0,-0.0,0.0,0.0,0.0,0.0,3296.6207323142035,-0.0,-5833.094451,2854.5506325779997,0.0,-437.6945217981703,0.0,0.0,0.0,0.0,-1551.3547276952584,-17.229679084571124,-848.271704,4860.4944643002,266.05784540727905,-314.342154592721,0.0,0.0,0.0,0.0,-459.8810507062093,-27.561142408549117,-4324.767962,2387.3979816050596,91.01037726996384,-421.41962273003605,0.0,0.0,0.0,0.0,-670.8205962019579,-10.062308943029366,-1376.105831,1262.8191397775233,0.0,-0.0,0.0,0.0,0.0,0.0,-17.943625396574646,-0.26915438094861965,-1244.60636
t6,619.4829824412445,0.0,-0.0,0.0,0.0,0.0,0.0,824.2442975587555,-0.0,-1443.72728,1928.1132325587555,0.0,-0.0,0.0,0.0,0.0,0.0,-824.2442975587555,-0.0,-1103.868935,3613.39929,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-3613.39929,1941.824250363799,0.0,-0.0,0.0,0.0,0.0,0.0,-1350.5144363637999,-0.0,-591.309814,107.89350779449197,0.0,-0.0,0.0,0.0,0.0,0.0,906.3248072055075,-0.0,-1014.218315,3284.5450088417074,0.0,-0.0,0.0,0.0,0.0,0.0,3144.1896291582925,-0.0,-6428.734638,2655.6956325779997,0.0,-135.3528237981701,0.0,0.0,0.0,0.0,-1551.3547276952584,-17.229679084571124,-951.758402,4851.3964059261025,266.05784540727905,-314.342154592721,0.0,0.0,0.0,0.0,44.88819231317764,-35.13268105383992,-4812.867608,2266.9438789671685,234.9001519133449,-277.529848086655,0.0,0.0,0.0,0.0,-784.8924589102054,-11.773386883653082,-1427.648337,1735.6699757933297,0.0,-0.0,0.0,0.0,0.0,0.0,-408.641005707714,-6.1296150856157094,-1320.899355
t7,1462.8449335777325,0.0,-0.0,0.0,0.0,0.0,0.0,193.8557188640443,-9.034737441776556,-1647.665915,1911.4843733158148,0.0,-0.0,0.0,0.0,0.0,0.0,-796.1715483158148,-0.0,-1115.312825,3746.0302269900067,0.0,-0.0,0.0,0.0,0.0,0.0,602.3158294517706,-9.034737441776556,-4339.311319,1900.0567780800998,0.0,-0.0,0.0,0.0,0.0,0.0,-1180.4123710800998,-0.0,-719.644407,646.8088579199,0.0,-0.0,0.0,0.0,0.0,0.0,530.5719800800998,-0.0,-1177.380838,4200.0,0.0,-0.0,0.0,0.0,0.0,0.0,3349.8403909999997,-0.0,-7549.840391,3846.132942,0.0,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-1146.132942,4839.501213648637,-0.0013542400000021715,-0.0,0.0,0.0,0.0,0.0,1056.6940899404697,-15.850411349107043,-5880.343538,2175.6195660019944,0.0,-0.0,0.0,0.0,0.0,0.0,-585.5150581300442,-8.78272587195066,-1581.321782,1922.025779287582,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1443.779062
t8,795.9767063527675,0.0,-0.0,0.0,0.0,0.0,0.0,720.7223436472322,-0.0,-1516.69905,1831.1010446472324,0.0,-0.0,0.0,0.0,0.0,0.0,-720.7223436472322,-0.0,-1110.378701,5150.572982,0.0,-0.0,0.0,0.0,0.0,0.0,-1200.0,-18.0,-3932.572982,1873.1816899671019,0.0,-0.0,0.0,0.0,0.0,0.0,-1180.7703029671022,-18.0,-674.411387,824.0225090328981,0.0,-0.0,0.0,0.0,0.0,0.0,408.7577279671022,-0.0,-1232.780237,3288.6862719999995,0.0,-0.0,0.0,0.0,0.0,0.0,4672.012575,-0.0,-7960.698847,3868.270911,0.0,-0.0,0.0,0.0,0.0,0.0,-2700.0,-0.0,-1168.270911,4857.970719764266,396.81973874874086,-0.0,0.0,0.0,0.0,0.0,1436.496608616238,-21.54744912924357,-6669.739618,2744.1262826077054,-0.011115149805736026,-0.0,0.0,0.0,0.0,0.0,-965.3175768058126,-14.479763652087188,-1764.317827,2078.3947462875817,0.0,-0.0,0.0,0.0,0.0,0.0,-471.1790318104256,-7.067685477156384,-1600.148029
