Line,1,2,3,4,5,6,7,8,9,10,Total
AnnualSum,0.0,83251.37303002269,113273.0667612238,0.0,0.0,0.0,180894.19294410237,169683.82982209144,89640.97913583918,0.0,636743.4416932795
t1,0.0,0.0,0.0,0.0,0.0,0.0,24.66117991437178,17.42767880048339,14.135370954312767,0.0,56.22422966916793
t2,0.0,0.0,0.0,0.0,0.0,0.0,34.45935816914225,23.995660968892075,14.135370954312767,0.0,72.59039009234709
t3,0.0,0.0,0.0,0.0,0.0,0.0,34.45935816914225,13.481981038298859,14.135370954312767,0.0,62.07671016175387
t4,0.0,0.0,0.0,0.0,0.0,0.0,34.45935816914225,31.52149115972211,0.0,0.0,65.98084932886437
t5,0.0,0.0,5.881788000851361,0.0,0.0,0.0,34.45935816914225,20.124617886058733,0.5383087618972393,0.0,61.00407281794958
t6,0.0,0.0,0.0,0.0,0.0,0.0,34.45935816914225,23.546773767306163,12.259230171231419,0.0,70.26536210767983
t7,0.0,18.069474883553113,0.0,0.0,0.0,0.0,0.0,17.56545174390132,14.135370954312767,0.0,49.7702975817672
t8,0.0,0.0,36.0,0.0,0.0,0.0,0.0,28.959527304174376,14.135370954312767,0.0,79.09489825848713
t9,0.0,0.0,32.92584313551555,0.0,0.0,0.0,0.0,21.490523751789024,14.135370954312767,0.0,68.55173784161734
t10,0.0,0.0,23.30565093301159,0.0,0.0,0.0,0.0,36.379429487372214,14.135370954312767,0.0,73.82045137469657
t11,0.0,14.480429720030019,19.49670494418201,0.0,0.0,0.0,9.077532720689094,36.10729255640156,14.135370954312767,0.0,93.29733089561545
t12,0.0,18.771456571121554,11.434223351144096,0.0,0.0,0.0,11.225271411013786,34.7164163606235,14.135370954312767,0.0,90.2827386482157
t13,0.0,32.693005294714865,15.018111590147013,0.0,0.0,0.0,0.0,28.742473777801468,14.135370954312767,0.0,90.5889616169761
t14,0.0,26.8406001232938,23.94204987492786,0.0,0.0,0.0,3.7835010515640604,32.659504860694966,14.135370954312767,0.0,101.36102686479344
t15,0.0,27.000988100533615,13.643629687975354,0.0,0.0,0.0,0.0,35.896589537816254,14.135370954312767,0.0,90.67657828063798
t16,0.0,0.0,28.743742357815023,0.0,0.0,0.0,8.814633901184086,36.379429487372214,14.135370954312767,0.0,88.07317670068409
t17,0.0,0.0,0.0,0.0,0.0,0.0,8.005486165535427,29.739511791845967,14.135370954312767,0.0,51.88036891169416
