Resource,CNQ_RS,GG_RS,SQ_RS,NNSW_RS,CNSW_RS,SNW_RS,SNSW_RS,VIC_RS,SA_RS,TAS_RS,CNQ_COAL,GG_COAL,SQ_COAL,CNSW_COAL,SNW_COAL,VIC_COAL,CNQ_CCGT,GG_CCGT,SQ_CCGT,NNSW_CCGT,CNSW_CCGT,SNW_CCGT,SNSW_CCGT,VIC_CCGT,SA_CCGT,TAS_CCGT,CNQ_OCGT,GG_OCGT,SQ_OCGT,NNSW_OCGT,CNSW_OCGT,SNW_OCGT,SNSW_OCGT,VIC_OCGT,SA_OCGT,TAS_OCGT,CNQ_BIO,CNQ_SQ2_SOLAR,CNQ_SQ3_SOLAR,CNQ_SQ4_SOLAR,GG_SQ6_SOLAR,SQ_SQ7_SOLAR,SQ_SQ8_SOLAR,NNSW_SN1_SOLAR,NNSW_SN2_SOLAR,CNSW_SN3_SOLAR,SNSW_SN5_SOLAR,SNW_SN9_SOLAR,VIC_SV2_SOLAR,VIC_SV6_SOLAR,SA_SS3_SOLAR,SA_SS7_SOLAR,SA_SS5_SOLAR,TAS_ST2_SOLAR,CNQ_WQ1_WIND,CNQ_WQ2_WIND,CNQ_WQ4_WIND,CNQ_WQ3_WIND,GG_WQ6_WIND,SQ_WQ8_WIND,NNSW_WN2_WIND,CNSW_WN3_WIND,SNW_WN9_WIND,SNSW_WACT_WIND,VIC_WV3_WIND,VIC_WV4_WIND,VIC_WV5_WIND,VIC_WV7_WIND,SA_WS1_WIND,SA_WS3_WIND,SA_WS4_WIND,TAS_WT1_WIND,TAS_WT2_WIND,TAS_WT3_WIND,CNQ_BATTERY,GG_BATTERY,SQ_BATTERY,NNSW_BATTERY,CNSW_BATTERY,SNW_BATTERY,SNSW_BATTERY,VIC_BATTERY,SA_BATTERY,TAS_BATTERY,CNQ_PH,GG_PH,SQ_PH,NNSW_PH,CNSW_PH,SNW_PH,SNSW_PH,VIC_PH,SA_PH,TAS_PH,CNQ_PH_NEW,SNSW_PH_SNOWY,TAS_PH_NEW,Total
Zone,1,2,3,4,5,6,7,8,9,10,1,2,3,5,6,8,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,1,1,1,2,3,3,4,4,5,7,6,8,8,9,9,9,10,1,1,1,1,2,3,4,5,6,7,8,8,8,8,9,9,9,10,10,10,1,2,3,4,5,6,7,8,9,10,1,2,3,4,5,6,7,8,9,10,1,7,10,0
AnnualSum,461054.5531865569,0.0,0.0,0.0,63931.4414397941,0.0,2.9129186486624e6,849100.3355757752,0.0,5.429255923766381e6,0.0,0.0,0.0,0.0,0.0,0.0,2.486831997017807e6,1.6507799198062324e6,4.211593510953958e6,573451.1983467197,444886.4510397186,6.804532162148739e6,908227.9368667038,6.684673452430029e6,1.9619131447093552e6,1.4979049643437034e6,158140.87136898356,126685.70915462874,9002.217999206656,64.17582417582419,656623.4699846825,1209.4913977299548,2357.0784948384644,323582.6837873471,153226.4291641021,806.6726119117781,0.0,2.530959005895981e6,1.9317038202341234e6,452073.3685666966,1.0998754767049192e6,607903.2457716769,3.1579430177142294e6,5.335736189499085e6,970443.1478872665,8.912674160047516e6,2.4320778681403296e6,0.0,1.0181633105778923e7,934764.2794578895,0.0,1.0365745749628451e6,3.1089004591706833e6,673401.5196246101,4.687244297531858e6,1.4328215749871526e7,6.125950432343911e6,0.0,8.032613783643131e6,2.1649619075665135e7,1.4355673893325398e7,2.2729910165365037e7,3.7516583149111713e6,9.410211143184971e6,1.2742548952474076e7,1.0327452373747086e7,5.391775672949901e6,0.0,3.1384243008922185e6,1.4687056735731483e7,2.425214843848546e6,529342.35653467,2.1532236393568125e6,2.1101243420649706e6,119654.31918603617,524030.3962430993,447339.3091344426,0.0,0.0,1.8887969560744e6,642879.0910496552,1.1921548103413458e6,1.057373060966933e6,0.0,0.0,0.0,3.3624557082829378e6,2.18117408369795e6,4.5129125884583425e6,0.0,1.8771758237974185e6,4.54344798084099e6,2.2464566520737135e6,0.0,0.0,0.0,0.0,2.649115285331274e8
t1,33.08288769296294,0.0,0.0,0.0,17.304156432000003,0.0,844.2986325780001,0.0,0.0,1060.530590394461,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,2456.1644395436774,268.5533586285746,137.08672705166953,3046.7937336431496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.2332,1499.9133736942429,698.7824781309454,0.0,333.70490450341737,872.3199999999999,2212.611719037838,546.104,507.13439999999997,2137.227,3478.1797,3073.4368,1576.5359999999998,0.0,858.8415,4251.209599999999,530.024,95.84904,142.3958338731978,260.885561732341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.43,0.0,0.0,0.0,1046.8302100070923,525.234818607354,445.05394159941443,0.0,0.0,32.01366003610206,160.6758073166199,0.0,0.0,0.0,0.0,35691.64631775658
t2,163.4,0.0,0.0,0.0,17.304156432000003,0.0,844.2986325780001,0.0,0.0,1024.4772023432088,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,2456.1644395436774,268.5533586285746,137.08672705166953,3046.7937336431496,0.0,0.0,0.0,0.0,0.0,131.73606123864624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,511.9547999999999,1153.3531269609014,347.0288904661749,0.0,316.09390408075,1345.864,2819.6417499484287,399.344,527.8912,2275.512,3570.1051,3047.3554000000004,1620.83,0.0,923.7921,4218.9958,562.3351999999999,97.56213600000001,212.2988741792512,220.15659447754012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.4393142576001,0.0,0.0,0.0,448.3277134745087,131.2299259944826,111.19673287178796,0.0,0.0,347.3621858587476,94.6233920590196,0.0,0.0,0.0,0.0,35295.31269534165
t3,68.0443510498,0.0,0.0,0.0,3.9124692960000074,0.0,211.11481177662677,0.0,0.0,1010.4409239715754,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,2456.1644395436774,268.5533586285746,137.08672705166953,1977.0186597856723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.50919999999996,640.5226378613081,229.22739047987486,0.0,228.2963812890931,2706.432,3438.7404529972086,242.86399999999998,669.3632,2331.708,3570.9134999999997,3065.7902000000004,1699.006,0.0,915.5409999999999,4179.297799999999,553.588,93.399936,237.74746846550855,216.55171156291607,0.0,0.0,0.0,0.0,0.0,0.0,262.654848,491.25056,69.39605553373877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.95852405815333,0.0,0.0,0.0,0.0,33989.29885060492
t4,40.733053149399986,0.0,0.0,0.0,0.0,0.0,1103.299548934388,0.0,0.0,943.7253130253475,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,1831.5766253866639,268.5533586285746,137.08672705166953,813.090424292822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,405.2356,349.7564619045168,186.85951756175,0.0,185.90592205606333,3901.6000000000004,3969.1324010269336,149.392,728.3056000000001,2472.3450000000003,3547.0227,3038.2298,1596.47,0.0,856.8384,4226.088999999999,567.7800000000001,116.762016,266.21505358656,226.74702638809268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.98379180413247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07109601248759,0.0,0.0,0.0,0.0,33809.01068006292
t5,0.0,0.0,0.0,0.0,34.608312864000006,0.0,1009.5757020413076,0.0,0.0,844.6046820476589,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,1212.7912915185357,268.5533586285746,137.08672705166953,1202.379010523393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.8318,170.61195423339055,191.76949700342774,0.0,221.98813790792167,4909.664000000001,3636.468217932363,52.24,717.7312000000001,2010.252,3516.8023,3067.1331999999998,1577.426,0.0,823.0596000000002,4142.1482,608.3936,121.103976,315.25380465290226,280.5168672994386,0.0,0.0,0.0,0.0,0.0,0.0,300.8192751657519,0.0,29.25270943182534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410.59291088479443,0.0,0.0,0.0,0.0,33645.86257844048
t6,68.0443510498,0.0,0.0,0.0,0.0,0.0,1053.2044675596806,0.0,0.0,788.7134209906794,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,2174.6145048932945,268.5533586285746,137.08672705166953,1372.80315892679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.76159999999993,141.27606323921043,126.94684147176655,0.0,155.48239947840986,4616.688,3902.830259392965,253.952,728.0160000000001,1811.397,3553.6232,3036.4584,1427.23,0.0,831.2766,3829.9737999999993,611.1600000000001,116.39779200000001,398.75693003062753,282.52466397869284,0.0,0.0,0.0,0.0,0.0,0.0,10.219558994487628,524.6992822444246,496.0420372870351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.88874202958453,0.0,0.0,0.0,0.0,34649.82540250122
t7,163.4,0.0,0.0,0.0,17.304156432000006,0.0,844.2986325780001,0.0,0.0,922.129102634578,0.0,0.0,0.0,0.0,0.0,0.0,890.8100582046318,581.3941850488957,2318.25506336571,268.5533586285746,137.08672705166953,2749.5173590543586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.483984972230443,1.8515830584661999,0.981367993794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.45059999999995,126.11080454240953,151.16893163470212,0.0,121.8725702949606,5256.84,3805.409479833397,221.39200000000002,843.2544,2135.898,3437.4285999999997,3076.1023999999998,1371.848,0.0,824.67,3661.107799999999,581.264,123.449928,381.15639853143824,284.68552383398355,0.0,0.0,0.0,0.0,0.0,0.0,254.00499282794775,580.3986285476641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.2340899782233,782.8318928166198,0.0,0.0,0.0,0.0,37453.64461986425
t8,68.0443510498,0.0,0.0,0.0,48.0,0.0,844.2986325780001,0.0,0.0,1039.6653515980545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.0424557245234,0.0,0.0,137.08672705166953,1242.431828377054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.95127833013055,313.2456835827747,152.11359105162418,241.15908472380477,165.2397737908112,641.07567580778,849.033146323753,268.4129466132135,303.9219747630983,14.083948752138253,0.0,13.5736,7.5338961300000005,0.0,0.0,0.0,0.30306905296757775,222.34659999999997,110.52087389978814,196.61534028403858,0.0,102.66402771732113,5466.688,2707.6287570398067,309.76,777.6096,1887.09,3559.4754999999996,3016.004,1133.078,0.0,905.4397,2900.3551999999995,376.1112,113.315832,401.0183374425714,299.0070079064067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.5905038166198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1540.4746197970876,900.0,0.0,0.0,0.0,0.0,34550.01011520484
