Line,1,2,3,4,5,6,7,8,9,10
t1,1412.4216318759234,2311.672422449931,2121.4424582395886,4106.267120758684,-2700.0,7468.614821622685,-2584.5734089744406,-1528.9965743842365,-3736.7509936758443,0.0
t2,1479.396528,2492.0264441023896,2686.6160204386247,4654.699960132045,-2700.0,8001.601096132045,-2584.5734089744406,-1962.5908808591905,-1482.2884035656696,0.0
t3,1519.188139,2672.07961281597,2275.7147385455473,4216.7826894673635,-2700.0,7638.477501899364,-2584.5734089744406,-4184.072920450838,-1003.72195469975,0.0
t4,1658.297599,1706.3869185512094,1016.4525869684151,4091.9876575679996,-2700.0,7617.953353,-2584.5734089744406,-3301.8459237322177,-3323.583709025419,0.0
t5,1857.0848604876735,1038.132411027284,198.40485208066522,3098.4658160152153,-2700.0,6670.656916447216,-2584.5734089744406,-3393.377763087005,-757.0972223259116,0.0
t6,1603.3668523832873,963.8088392816755,-270.6526185863444,2607.9862111348607,-2700.0,6305.6655935668605,-2584.5734089744406,-2573.848367344206,-3364.967125774187,0.0
t7,1041.8633048128847,2004.3004877265905,-99.64560445021839,4764.890822999999,-2700.0,8480.259678999999,-2584.5734089744406,-2661.158088797135,-3418.639034148572,0.0
t8,1692.7755237728047,2608.907090223873,1844.996763192276,6826.476520927368,-1386.5405065050377,7614.153305999999,-2584.5734089744406,-3985.282623825443,-555.573202621478,0.0
t9,1721.4487106383128,7341.8550032380945,4623.6235470784495,7295.2540494197265,365.694969357607,8596.767198728141,-2076.2779118225717,-2799.1738855203853,-3410.6719257556615,0.0
t10,1875.4880816901418,4283.953331281357,2179.9827625469916,7295.2540494197265,1007.5673366731346,7524.864463388838,-1260.9931767886512,-2019.3413711080398,-3365.7175448751827,0.0
t11,1769.922310987326,5337.9119525391125,1993.2238000448485,7295.2540494197265,-395.7074808705399,8811.952869211615,-2584.5734089744406,-3146.277584288267,-2502.0820753546045,0.0
t12,1797.0523532101392,4409.160438015497,3039.088334401036,4238.062142433254,228.25576561081468,5142.702671243098,-1787.3106533703185,-3410.9212240927177,-1652.1155483953953,0.0
t13,1669.7992505112986,5387.850313247841,1792.6990135315918,7295.2540494197265,1605.8030662707706,6957.7627072980085,0.0,-1311.5102564605622,0.0,0.0
t14,1838.4544284783988,6084.708451441355,4352.4053661048465,7295.2540494197265,530.1041225905649,8323.26215875445,-1331.4127131399598,-2481.348146015427,0.0,0.0
t15,1798.5887383504107,6505.984556793486,4362.116548531514,7295.2540494197265,2052.1047737825897,7144.36437619034,-1787.9594733992387,-4184.072920450838,0.0,0.0
t16,1622.814923376278,4994.116236449484,1927.3019328516564,6618.832167562511,-160.13423211959204,7270.752462441541,-2584.5734089744406,-4184.072920450838,-568.1063247994213,0.0
t17,1601.9343765673093,4579.320580250834,-936.3724034662265,4500.201581081196,-1639.4676385210644,8462.660741,-2584.5734089744406,-4184.072920450838,-840.421112315271,0.0
t18,1051.1987388759233,4574.421817642544,-1881.7143889476765,3540.689299867014,-2234.9044199126,8811.952869211615,-2584.5734089744406,-1685.9564096205777,-3736.7509936758443,0.0
t19,763.1866431138774,3424.3329776533997,-3533.8545228542143,2997.235186852934,-2700.0,8012.143364284934,-2584.5734089744406,-1261.8312697526696,-3736.7509936758443,0.0
t20,573.3192097318865,2735.3227562552747,-3925.8824112537445,1701.047202852932,-2700.0,7587.433966284932,-2584.5734089744406,-1157.7151840383847,-1383.1816947236268,0.0
t21,931.5901914165097,1522.4784356050704,-4598.4230821614265,1211.2090592849336,-2700.0,7085.744830284934,-2584.5734089744406,-1187.1391958610434,-3141.0578716455757,0.0
t22,1522.5355189556128,1173.6147234557736,-3986.0811465949882,-396.37660818702165,-2700.0,6975.755876244978,-2584.5734089744406,-1065.583739486611,-2697.5716650393024,0.0
t23,1875.4880816901416,1468.054259164714,-3576.7063520027987,385.8287005815306,-2013.0093268398248,7482.646659421355,-2584.5734089744406,-3124.8414953684337,-754.4737937544832,0.0
t24,1875.4880816901416,1680.5343062013417,-2703.908914103227,1139.6106666401233,-2700.0,8782.488349368123,-2584.5734089744406,-3029.4637416738524,-3736.7509936758443,0.0
t25,1875.4880816901416,1039.3021755231744,-3174.6790474088534,-231.1395926078874,-2438.6622276078865,7086.047498999999,-2584.5734089744406,-3180.940996846266,-1254.3694012466106,0.0
t26,1875.4880816901416,195.24465395495915,-3424.8314536592543,-117.82792843200073,-2700.0,6641.954330999999,-2584.5734089744406,-3280.4374086689268,-833.9060124736945,0.0
